pod,queue_sec,jct_sec
ph-application-1508364558011-27835-x95h4,2.0,233.0
ph-application-1508364558011-27886-9q29n,1790.0,1797.0
ph-application-1508364558011-27924-5x45f,3.0,64.0
ph-application-1508364558011-27933-hpjff,1.0,7.0
ph-application-1508364558011-27953-4fd7x,4.0,45.0
ph-application-1508364558011-27958-jtblh,2.0,9.0
ph-application-1508364558011-28027-66v85,0.0,7.0
ph-application-1508364558011-28089-drxn8,43.0,59.0
ph-application-1508364558011-28094-lfgb7,1.0,7.0
ph-application-1508364558011-28136-rzjdn,4.0,11.0
ph-application-1508364558011-28143-zq5wz,2.0,9.0
ph-application-1508364558011-28153-frmld,0.0,7.0
ph-application-1508364558011-28193-xkbvx,3.0,9.0
ph-application-1508364558011-28201-l659w,1.0,7.0
ph-application-1508364558011-28245-nzvsn,4.0,10.0
ph-application-1508364558011-28257-fzjzk,2.0,4.0
ph-application-1508364558011-28272-qcrq5,0.0,7.0
ph-application-1508364558011-28319-xxxtk,3.0,9.0
ph-application-1508364558011-28327-tbzrz,1.0,7.0
ph-application-1508364558011-28399-957hz,4.0,10.0
ph-application-1508364558011-28411-hvg62,2.0,8.0
ph-application-1508364558011-28494-jvp5h,5.0,12.0
ph-application-1508364558011-28499-xp46n,3.0,10.0
ph-application-1508364558011-28507-s8d2k,1.0,3.0
ph-application-1508364558011-28520-89z2r,4.0,246.0
ph-application-1508364558011-28529-l4fkd,2.0,244.0
ph-application-1508364558011-28545-mjm9s,1751.0,1752.0
ph-application-1508364558011-28575-sg5d2,1754.0,1806.0
ph-application-1508364558011-28580-tlg27,16.0,23.0
ph-application-1508364558011-28614-rl25p,19.0,26.0
ph-application-1508364558011-28621-bhpbt,18.0,24.0
ph-application-1508364558011-28654-wpllb,16.0,22.0
ph-application-1508364558011-28672-k9zz6,1798.0,1804.0
ph-application-1508364558011-28695-jp7z6,1806.0,1958.0
ph-application-1508364558011-28711-xt2w6,10.0,16.0
ph-application-1508364558011-28753-zqm75,1957.0,1963.0
ph-application-1508364558011-28806-8vnsr,11.0,12.0
ph-application-1508364558011-28841-jm4v7,14.0,25.0
ph-application-1508364558011-28939-f6gwc,12.0,68.0
ph-application-1508364558011-29004-2h6dp,10.0,16.0
ph-application-1508364558011-29010-2svrd,195.0,201.0
ph-application-1508364558011-29174-8hqtc,1955.0,2077.0
ph-application-1508364558011-29183-x8glz,4.0,10.0
ph-application-1508364558011-29239-hlmfw,199.0,231.0
ph-application-1508364558011-29284-rzmwj,5.0,11.0
ph-application-1508364558011-29493-qd7hf,8.0,44.0
ph-application-1508364558011-29537-gst5h,6.0,12.0
ph-application-1508364558011-29567-4rl8x,9.0,15.0
ph-application-1508364558011-29647-vkkmx,7.0,13.0
ph-application-1508364558011-29741-bt8mn,10.0,26.0
ph-application-1508364558011-29743-2wtp5,13.0,19.0
ph-application-1508364558011-29797-w5txw,11.0,22.0
ph-application-1508364558011-29807-wh7jw,19.0,35.0
ph-application-1508364558011-29900-zpznd,22.0,38.0
ph-application-1508364558011-29911-9n5jl,20.0,81.0
ph-application-1508364558011-29965-dlck4,28.0,44.0
ph-application-1508364558011-30067-xkwzd,31.0,37.0
ph-application-1508364558011-30131-jftc4,2051.0,2058.0
ph-application-1508364558011-30135-v74b8,32.0,34.0
ph-application-1508364558011-30180-s4zr8,35.0,41.0
ph-application-1508364558011-30208-k6kqr,201.0,202.0
ph-application-1508364558011-30245-rghrl,26.0,33.0
ph-application-1508364558011-30299-7th7w,34.0,41.0
ph-application-1508364558011-30319-rw5p7,32.0,69.0
ph-application-1508364558011-30343-gwxh8,35.0,42.0
ph-application-1508364558011-30383-d67wq,34.0,40.0
ph-application-1508364558011-30444-fkr5f,37.0,43.0
ph-application-1508364558011-30456-9t8qr,40.0,41.0
ph-application-1508364558011-30512-b6q8p,190.0,222.0
ph-application-1508364558011-30525-54b78,36.0,37.0
ph-application-1508364558011-30529-cbp64,39.0,40.0
ph-application-1508364558011-30539-vh8rb,37.0,38.0
ph-application-1508364558011-30563-xk5vj,35.0,106.0
ph-application-1508364558011-30573-7nwzk,38.0,39.0
ph-application-1508364558011-30651-xhx6x,36.0,122.0
ph-application-1508364558011-30661-bx9cz,39.0,105.0
ph-application-1508364558011-30697-q4gsm,42.0,43.0
ph-application-1508364558011-30726-r2p7m,45.0,46.0
ph-application-1508364558011-30763-6s9bh,43.0,44.0
ph-application-1508364558011-30770-rlvqk,46.0,47.0
ph-application-1508364558011-30782-5lsvq,44.0,45.0
ph-application-1508364558011-30787-j9x4w,47.0,48.0
ph-application-1508364558011-30805-kwn4x,45.0,117.0
ph-application-1508364558011-30844-tnrhd,48.0,64.0
ph-application-1508364558011-30878-pxxnc,67.0,73.0
ph-application-1508364558011-30884-z6f8p,70.0,76.0
ph-application-1508364558011-30982-h875p,73.0,84.0
ph-application-1508364558011-31071-l4v77,76.0,87.0
ph-application-1508364558011-31134-4nsxm,79.0,85.0
ph-application-1508364558011-31151-dwmqs,82.0,93.0
ph-application-1508364558011-31208-v88d7,80.0,91.0
ph-application-1508364558011-31210-wh7b9,83.0,94.0
ph-application-1508364558011-31239-crp45,107.0,113.0
ph-application-1508364558011-31435-tfdds,79.0,85.0
ph-application-1508364558011-31615-n9bpj,92.0,98.0
ph-application-1508364558011-31714-9kgx2,1986.0,2182.0
ph-application-1508364558011-31847-xq5rp,94.0,95.0
ph-application-1508364558011-31851-hn6pc,102.0,108.0
ph-application-1508364558011-31856-cn6b7,100.0,176.0
ph-application-1508364558011-31873-xkr78,103.0,119.0
