ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-11T17:59:04.573915+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-11T17:59:07.720414+00:00,0.0,0.0,8,0,0.0,2,0
2026-06-11T17:59:10.938685+00:00,0.0,0.0,8,1,12.5,3,1
2026-06-11T17:59:14.090831+00:00,0.0,0.0,8,3,37.5,2,3
2026-06-11T17:59:17.590543+00:00,0.0,0.0,8,3,37.5,4,3
2026-06-11T17:59:20.745809+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-11T17:59:23.908730+00:00,0.0,0.0,8,7,87.5,3,6
2026-06-11T17:59:27.305919+00:00,0.0,0.0,8,5,62.5,5,4
2026-06-11T17:59:30.495375+00:00,0.0,0.0,8,6,75.0,4,6
2026-06-11T17:59:33.658189+00:00,0.0,0.0,8,8,100.0,3,8
2026-06-11T17:59:36.891598+00:00,0.0,0.0,8,5,62.5,5,5
2026-06-11T17:59:40.053930+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-11T17:59:43.257398+00:00,0.0,0.0,8,5,62.5,5,5
2026-06-11T17:59:46.422914+00:00,0.0,0.0,8,6,75.0,5,5
2026-06-11T17:59:49.584550+00:00,0.0,0.0,8,5,62.5,4,5
2026-06-11T17:59:52.950478+00:00,0.0,0.0,8,5,62.5,6,5
2026-06-11T17:59:56.126709+00:00,0.0,0.0,8,5,62.5,4,5
2026-06-11T17:59:59.320141+00:00,0.0,0.0,8,7,87.5,4,7
2026-06-11T18:00:02.545426+00:00,0.0,0.0,8,4,50.0,6,4
2026-06-11T18:00:05.710131+00:00,0.0,0.0,8,8,100.0,6,5
2026-06-11T18:00:08.885930+00:00,0.0,0.0,8,8,100.0,8,5
2026-06-11T18:00:12.080043+00:00,0.0,0.0,8,8,100.0,9,5
2026-06-11T18:00:15.249923+00:00,0.0,0.0,8,7,87.5,11,4
