ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-11T21:36:21.953433+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-11T21:36:25.113534+00:00,0.0,0.0,8,0,0.0,2,0
2026-06-11T21:36:28.305117+00:00,0.0,0.0,8,1,12.5,3,1
2026-06-11T21:36:31.466736+00:00,0.0,0.0,8,3,37.5,2,3
2026-06-11T21:36:34.903559+00:00,0.0,0.0,8,3,37.5,4,3
2026-06-11T21:36:38.069276+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-11T21:36:41.248157+00:00,0.0,0.0,8,7,87.5,3,6
2026-06-11T21:36:44.636271+00:00,0.0,0.0,8,5,62.5,5,4
2026-06-11T21:36:47.795583+00:00,0.0,0.0,8,6,75.0,4,6
2026-06-11T21:36:50.949960+00:00,0.0,0.0,8,8,100.0,3,8
2026-06-11T21:36:54.444712+00:00,0.0,0.0,8,5,62.5,5,5
2026-06-11T21:36:57.607268+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-11T21:37:00.783977+00:00,0.0,0.0,8,7,87.5,4,6
2026-06-11T21:37:04.009578+00:00,0.0,0.0,8,6,75.0,5,5
2026-06-11T21:37:07.196599+00:00,0.0,0.0,8,6,75.0,4,6
2026-06-11T21:37:10.516390+00:00,0.0,0.0,8,5,62.5,6,5
2026-06-11T21:37:13.678920+00:00,0.0,0.0,8,5,62.5,4,5
2026-06-11T21:37:16.846000+00:00,0.0,0.0,8,6,75.0,4,6
2026-06-11T21:37:20.202717+00:00,0.0,0.0,8,4,50.0,6,4
2026-06-11T21:37:23.375277+00:00,0.0,0.0,8,8,100.0,6,5
2026-06-11T21:37:26.550605+00:00,0.0,0.0,8,8,100.0,8,5
2026-06-11T21:37:29.713323+00:00,0.0,0.0,8,8,100.0,9,5
2026-06-11T21:37:32.898368+00:00,0.0,0.0,8,7,87.5,11,4
2026-06-11T21:37:36.086649+00:00,0.0,0.0,8,8,100.0,12,5
2026-06-11T21:37:39.359903+00:00,0.0,0.0,8,4,50.0,13,4
2026-06-11T21:37:42.541879+00:00,0.0,0.0,8,7,87.5,11,7
2026-06-11T21:37:45.749877+00:00,0.0,0.0,8,8,100.0,11,8
2026-06-11T21:37:48.927163+00:00,0.0,0.0,8,3,37.5,13,3
2026-06-11T21:37:52.107463+00:00,0.0,0.0,8,5,62.5,13,5
2026-06-11T21:37:55.353827+00:00,0.0,0.0,8,7,87.5,12,7
2026-06-11T21:37:58.563780+00:00,0.0,0.0,8,8,100.0,13,8
2026-06-11T21:38:01.772966+00:00,0.0,0.0,8,8,100.0,12,8
2026-06-11T21:38:04.956094+00:00,0.0,0.0,8,6,75.0,14,6
2026-06-11T21:38:08.135319+00:00,0.0,0.0,8,7,87.5,14,7
2026-06-11T21:38:11.318176+00:00,0.0,0.0,8,7,87.5,15,7
2026-06-11T21:38:14.561358+00:00,0.0,0.0,8,6,75.0,16,6
2026-06-11T21:38:17.743918+00:00,0.0,0.0,8,8,100.0,15,8
2026-06-11T21:38:20.924605+00:00,0.0,0.0,8,8,100.0,17,8
2026-06-11T21:38:24.143792+00:00,0.0,0.0,8,7,87.5,19,7
2026-06-11T21:38:27.368340+00:00,0.0,0.0,8,8,100.0,19,8
2026-06-11T21:38:30.634228+00:00,0.0,0.0,8,6,75.0,21,6
2026-06-11T21:38:33.833050+00:00,0.0,0.0,8,8,100.0,20,8
2026-06-11T21:38:37.045669+00:00,0.0,0.0,8,8,100.0,22,8
2026-06-11T21:38:40.245870+00:00,0.0,0.0,8,7,87.5,24,7
2026-06-11T21:38:43.437080+00:00,0.0,0.0,8,7,87.5,24,7
2026-06-11T21:38:46.633069+00:00,0.0,0.0,8,7,87.5,26,7
2026-06-11T21:38:49.852617+00:00,0.0,0.0,8,6,75.0,26,6
2026-06-11T21:38:53.049535+00:00,0.0,0.0,8,6,75.0,26,6
2026-06-11T21:38:56.273950+00:00,0.0,0.0,8,6,75.0,28,6
2026-06-11T21:38:59.463293+00:00,0.0,0.0,8,6,75.0,28,5
2026-06-11T21:39:02.680710+00:00,0.0,0.0,8,8,100.0,28,7
2026-06-11T21:39:06.002297+00:00,0.0,0.0,8,6,75.0,29,6
2026-06-11T21:39:09.191008+00:00,0.0,0.0,8,7,87.5,29,7
2026-06-11T21:39:12.395092+00:00,0.0,0.0,8,8,100.0,30,8
2026-06-11T21:39:15.876842+00:00,0.0,0.0,8,6,75.0,31,6
2026-06-11T21:39:19.070704+00:00,0.0,0.0,8,5,62.5,31,5
2026-06-11T21:39:22.273473+00:00,0.0,0.0,8,5,62.5,32,5
2026-06-11T21:39:25.477356+00:00,0.0,0.0,8,6,75.0,31,6
2026-06-11T21:39:28.712105+00:00,0.0,0.0,8,7,87.5,31,7
2026-06-11T21:39:31.912753+00:00,0.0,0.0,8,7,87.5,32,7
2026-06-11T21:39:35.116620+00:00,0.0,0.0,8,7,87.5,33,7
2026-06-11T21:39:38.323615+00:00,0.0,0.0,8,6,75.0,33,6
2026-06-11T21:39:41.663924+00:00,0.0,0.0,8,6,75.0,35,6
2026-06-11T21:39:44.878252+00:00,0.0,0.0,8,6,75.0,35,6
2026-06-11T21:39:48.089235+00:00,0.0,0.0,8,6,75.0,36,6
2026-06-11T21:39:51.443027+00:00,0.0,0.0,8,6,75.0,36,6
2026-06-11T21:39:54.657829+00:00,0.0,0.0,8,7,87.5,36,7
2026-06-11T21:39:57.861165+00:00,0.0,0.0,8,7,87.5,37,7
2026-06-11T21:40:01.063410+00:00,0.0,0.0,8,8,100.0,38,8
2026-06-11T21:40:04.295693+00:00,0.0,0.0,8,8,100.0,39,8
2026-06-11T21:40:07.508054+00:00,0.0,0.0,8,8,100.0,41,8
2026-06-11T21:40:10.728742+00:00,0.0,0.0,8,8,100.0,43,8
2026-06-11T21:40:13.979351+00:00,0.0,0.0,8,8,100.0,44,8
2026-06-11T21:40:17.245743+00:00,0.0,0.0,8,6,75.0,46,6
2026-06-11T21:40:20.456713+00:00,0.0,0.0,8,8,100.0,45,8
2026-06-11T21:40:23.686949+00:00,0.0,0.0,8,8,100.0,47,8
2026-06-11T21:40:26.993927+00:00,0.0,0.0,8,6,75.0,49,6
2026-06-11T21:40:30.200362+00:00,0.0,0.0,8,8,100.0,48,8
2026-06-11T21:40:33.407836+00:00,0.0,0.0,8,8,100.0,50,8
2026-06-11T21:40:36.661899+00:00,0.0,0.0,8,7,87.5,52,7
2026-06-11T21:40:39.873987+00:00,0.0,0.0,8,5,62.5,52,5
2026-06-11T21:40:43.284354+00:00,0.0,0.0,8,5,62.5,54,5
2026-06-11T21:40:46.520471+00:00,0.0,0.0,8,7,87.5,52,7
2026-06-11T21:40:49.762023+00:00,0.0,0.0,8,8,100.0,53,8
2026-06-11T21:40:53.011664+00:00,0.0,0.0,8,8,100.0,55,8
2026-06-11T21:40:56.227335+00:00,0.0,0.0,8,3,37.5,56,3
2026-06-11T21:40:59.491946+00:00,0.0,0.0,8,8,100.0,56,5
2026-06-11T21:41:02.711833+00:00,0.0,0.0,8,8,100.0,58,5
2026-06-11T21:41:05.928775+00:00,0.0,0.0,8,2,25.0,59,2
2026-06-11T21:41:09.161543+00:00,0.0,0.0,8,2,25.0,61,2
2026-06-11T21:41:12.404794+00:00,0.0,0.0,8,8,100.0,60,4
2026-06-11T21:41:15.638094+00:00,0.0,0.0,8,6,75.0,62,3
2026-06-11T21:41:18.907172+00:00,0.0,0.0,8,4,50.0,64,1
2026-06-11T21:41:22.164676+00:00,0.0,0.0,8,5,62.5,63,2
