pod,queue_sec,jct_sec
ph-application-1508364558011-27835-j4zsq,2.0,234.0
ph-application-1508364558011-27886-cmqs4,1821.0,1827.0
ph-application-1508364558011-27924-62849,4.0,65.0
ph-application-1508364558011-27933-tvb7t,2.0,8.0
ph-application-1508364558011-27953-wt6d7,5.0,46.0
ph-application-1508364558011-27958-hclm9,3.0,9.0
ph-application-1508364558011-28027-cp2bd,1.0,7.0
ph-application-1508364558011-28089-54q22,323.0,339.0
ph-application-1508364558011-28094-xq76p,2.0,8.0
ph-application-1508364558011-28136-m8wxt,5.0,11.0
ph-application-1508364558011-28143-zbfbd,3.0,9.0
ph-application-1508364558011-28153-4x55t,1.0,7.0
ph-application-1508364558011-28193-986bs,4.0,10.0
ph-application-1508364558011-28201-ppppr,2.0,8.0
ph-application-1508364558011-28245-bt8r5,5.0,11.0
ph-application-1508364558011-28257-8mc7b,3.0,4.0
ph-application-1508364558011-28272-gvzms,1.0,7.0
ph-application-1508364558011-28319-sm8fc,4.0,10.0
ph-application-1508364558011-28327-2pggm,2.0,8.0
ph-application-1508364558011-28399-pktfk,5.0,11.0
ph-application-1508364558011-28411-jmlv9,3.0,9.0
ph-application-1508364558011-28494-crcfz,6.0,12.0
ph-application-1508364558011-28499-k22jr,3.0,9.0
ph-application-1508364558011-28507-t6fqd,1.0,2.0
ph-application-1508364558011-28520-49tb5,4.0,245.0
ph-application-1508364558011-28529-6b7wk,2.0,243.0
ph-application-1508364558011-28545-hjbkx,1903.0,1905.0
ph-application-1508364558011-28575-q64dp,2035.0,2086.0
ph-application-1508364558011-28580-9bglb,1.0,7.0
ph-application-1508364558011-28614-mlzn4,4.0,10.0
ph-application-1508364558011-28621-g5cv9,2.0,9.0
ph-application-1508364558011-28654-wd4xq,0.0,7.0
ph-application-1508364558011-28672-pbnsc,1769.0,1775.0
ph-application-1508364558011-28695-sb95q,2476.0,2627.0
ph-application-1508364558011-28711-8ndpv,4.0,10.0
ph-application-1508364558011-28753-sxj9c,1773.0,1780.0
ph-application-1508364558011-28806-kv5n7,0.0,1.0
ph-application-1508364558011-28841-nxr2h,3.0,14.0
ph-application-1508364558011-28939-p4gdm,1.0,57.0
ph-application-1508364558011-29004-hhkph,4.0,10.0
ph-application-1508364558011-29010-pq6hc,63.0,69.0
ph-application-1508364558011-29174-j8bmw,2060.0,2181.0
ph-application-1508364558011-29183-2hsdf,3.0,10.0
ph-application-1508364558011-29239-vnzpb,1055.0,1086.0
ph-application-1508364558011-29284-gm245,4.0,11.0
ph-application-1508364558011-29493-qw9d9,2.0,39.0
ph-application-1508364558011-29537-72mkm,0.0,7.0
ph-application-1508364558011-29567-jls9t,3.0,9.0
ph-application-1508364558011-29647-2qnzp,6.0,13.0
ph-application-1508364558011-29741-l59np,15.0,31.0
ph-application-1508364558011-29743-tq2g2,3.0,9.0
ph-application-1508364558011-29797-pqf2k,5.0,17.0
ph-application-1508364558011-29807-jx955,54.0,71.0
ph-application-1508364558011-29900-drkt7,52.0,69.0
ph-application-1508364558011-29911-7l4zj,50.0,112.0
ph-application-1508364558011-29965-hs4cm,38.0,54.0
ph-application-1508364558011-30067-z7wfb,0.0,7.0
ph-application-1508364558011-30131-mvz74,1740.0,1746.0
ph-application-1508364558011-30135-bv68x,1408.0,1409.0
ph-application-1508364558011-30180-dz5vg,5.0,11.0
ph-application-1508364558011-30208-bdffm,33.0,34.0
ph-application-1508364558011-30245-7jgp7,11.0,17.0
ph-application-1508364558011-30299-bxzcz,9.0,15.0
ph-application-1508364558011-30319-gdxb2,32.0,69.0
ph-application-1508364558011-30343-hnrdx,5.0,11.0
ph-application-1508364558011-30383-r54j5,3.0,9.0
ph-application-1508364558011-30444-k59k9,6.0,12.0
ph-application-1508364558011-30456-2gvsd,1342.0,1343.0
ph-application-1508364558011-30512-fnjjc,1042.0,1073.0
ph-application-1508364558011-30525-xnqr5,1236.0,1238.0
ph-application-1508364558011-30529-vrg8p,1352.0,1353.0
ph-application-1508364558011-30539-k9gzq,1350.0,1351.0
ph-application-1508364558011-30563-8jfcj,1013.0,1084.0
ph-application-1508364558011-30573-qp45m,1324.0,1325.0
ph-application-1508364558011-30651-ffcvs,1126.0,1212.0
ph-application-1508364558011-30661-z9vw8,110.0,176.0
ph-application-1508364558011-30697-h8q57,1361.0,1363.0
ph-application-1508364558011-30726-92mx8,1354.0,1355.0
ph-application-1508364558011-30763-vz9vq,1202.0,1204.0
ph-application-1508364558011-30770-wl7kg,1360.0,1362.0
ph-application-1508364558011-30782-7bvq8,1289.0,1290.0
ph-application-1508364558011-30787-ltf5q,1260.0,1262.0
ph-application-1508364558011-30805-5zqmx,1019.0,1090.0
ph-application-1508364558011-30844-c7mbn,58.0,75.0
ph-application-1508364558011-30878-4zs9m,0.0,6.0
ph-application-1508364558011-30884-lcqzq,8.0,15.0
ph-application-1508364558011-30982-rfxb9,7.0,18.0
ph-application-1508364558011-31071-bkl7l,25.0,36.0
ph-application-1508364558011-31134-96b72,2.0,9.0
ph-application-1508364558011-31151-s7h6b,31.0,42.0
ph-application-1508364558011-31208-lqsj4,29.0,40.0
ph-application-1508364558011-31210-fc8jl,32.0,43.0
ph-application-1508364558011-31239-pmh4k,4.0,11.0
ph-application-1508364558011-31435-m5gqk,13.0,19.0
ph-application-1508364558011-31615-2zsb5,6.0,12.0
ph-application-1508364558011-31714-tnvcv,2507.0,2703.0
ph-application-1508364558011-31847-2mpgj,1305.0,1307.0
ph-application-1508364558011-31851-qsj4c,5.0,11.0
ph-application-1508364558011-31856-prw2w,1035.0,1111.0
ph-application-1508364558011-31873-wc44f,26.0,43.0
ph-application-1508364558011-31888-crk2q,1276.0,1277.0
ph-application-1508364558011-31895-nc7jx,2.0,8.0
ph-application-1508364558011-31921-nj9j9,884.0,950.0
ph-application-1508364558011-31983-xp7k6,18.0,75.0
ph-application-1508364558011-32007-4xgxd,1273.0,1274.0
ph-application-1508364558011-32064-qzk4l,4.0,10.0
ph-application-1508364558011-32069-ph5k6,1146.0,1148.0
ph-application-1508364558011-32174-jddjs,1214.0,1215.0
ph-application-1508364558011-32219-rvgx9,1222.0,1223.0
