pod,queue_sec,jct_sec
ph-application-1508364558011-27835-np4fb,3.0,234.0
ph-application-1508364558011-27886-hkf7k,1784.0,1790.0
ph-application-1508364558011-27924-k5bb6,4.0,65.0
ph-application-1508364558011-27933-968n4,2.0,8.0
ph-application-1508364558011-27953-rrmnq,5.0,46.0
ph-application-1508364558011-27958-z8wtn,2.0,8.0
ph-application-1508364558011-28027-gxlfz,0.0,6.0
ph-application-1508364558011-28089-zk27h,43.0,59.0
ph-application-1508364558011-28094-jfd99,1.0,7.0
ph-application-1508364558011-28136-psknj,4.0,10.0
ph-application-1508364558011-28143-76w8m,2.0,8.0
ph-application-1508364558011-28153-gsm4p,0.0,6.0
ph-application-1508364558011-28193-xrp7q,3.0,9.0
ph-application-1508364558011-28201-4d4rg,1.0,7.0
ph-application-1508364558011-28245-bp6k2,4.0,10.0
ph-application-1508364558011-28257-9xnvl,2.0,3.0
ph-application-1508364558011-28272-4wwwz,0.0,6.0
ph-application-1508364558011-28319-kfz78,3.0,9.0
ph-application-1508364558011-28327-75ppp,1.0,7.0
ph-application-1508364558011-28399-kr8d7,4.0,10.0
ph-application-1508364558011-28411-hblsn,2.0,8.0
ph-application-1508364558011-28494-7w4dm,5.0,11.0
ph-application-1508364558011-28499-2nphv,3.0,9.0
ph-application-1508364558011-28507-mcgl7,1.0,3.0
ph-application-1508364558011-28520-9sgxc,4.0,246.0
ph-application-1508364558011-28529-6ndpm,2.0,244.0
ph-application-1508364558011-28545-hn44g,1850.0,1852.0
ph-application-1508364558011-28575-bpf2v,1997.0,2049.0
ph-application-1508364558011-28580-5d4jj,21.0,28.0
ph-application-1508364558011-28614-lhfr7,14.0,20.0
ph-application-1508364558011-28621-r98fp,17.0,24.0
ph-application-1508364558011-28654-ts9mz,15.0,22.0
ph-application-1508364558011-28672-xlbw9,1732.0,1738.0
ph-application-1508364558011-28695-rnjs7,2167.0,2318.0
ph-application-1508364558011-28711-6tdxc,9.0,16.0
ph-application-1508364558011-28753-v5gdw,1736.0,1743.0
ph-application-1508364558011-28806-25892,15.0,17.0
ph-application-1508364558011-28841-9f5mm,13.0,25.0
ph-application-1508364558011-28939-vdtrn,12.0,68.0
ph-application-1508364558011-29004-ng92f,4.0,10.0
ph-application-1508364558011-29010-rlfbj,369.0,375.0
ph-application-1508364558011-29174-c4vzb,2023.0,2144.0
ph-application-1508364558011-29183-94s7n,3.0,10.0
ph-application-1508364558011-29239-8nzfw,415.0,446.0
ph-application-1508364558011-29284-9s6pf,4.0,11.0
ph-application-1508364558011-29493-lvqtc,23.0,59.0
ph-application-1508364558011-29537-njf95,0.0,7.0
ph-application-1508364558011-29567-r9rc9,3.0,10.0
ph-application-1508364558011-29647-llr9f,6.0,13.0
ph-application-1508364558011-29741-kbfp2,5.0,21.0
ph-application-1508364558011-29743-9tf2k,3.0,9.0
ph-application-1508364558011-29797-t2bnk,6.0,17.0
ph-application-1508364558011-29807-6z4g9,9.0,25.0
ph-application-1508364558011-29900-2jmz9,17.0,33.0
ph-application-1508364558011-29911-9gkvf,45.0,107.0
ph-application-1508364558011-29965-d8dlw,43.0,60.0
ph-application-1508364558011-30067-52hb2,11.0,17.0
ph-application-1508364558011-30131-wtm6z,1703.0,1709.0
ph-application-1508364558011-30135-jpwbf,42.0,43.0
ph-application-1508364558011-30180-cgjtb,25.0,31.0
ph-application-1508364558011-30208-sdqp8,340.0,341.0
ph-application-1508364558011-30245-9t2vv,11.0,17.0
ph-application-1508364558011-30299-5q9h8,9.0,15.0
ph-application-1508364558011-30319-pxncl,27.0,64.0
ph-application-1508364558011-30343-vrmpd,20.0,26.0
ph-application-1508364558011-30383-84766,13.0,19.0
ph-application-1508364558011-30444-qkh2v,21.0,28.0
ph-application-1508364558011-30456-g6x69,29.0,31.0
ph-application-1508364558011-30512-sflkj,1005.0,1036.0
ph-application-1508364558011-30525-p7t2f,122.0,123.0
ph-application-1508364558011-30529-tbrtf,345.0,347.0
ph-application-1508364558011-30539-rzvzg,343.0,345.0
ph-application-1508364558011-30563-6vpcs,19.0,91.0
ph-application-1508364558011-30573-lzs9c,298.0,300.0
ph-application-1508364558011-30651-xlcsz,107.0,193.0
ph-application-1508364558011-30661-2bplx,85.0,151.0
ph-application-1508364558011-30697-xh966,1127.0,1128.0
ph-application-1508364558011-30726-wf866,1114.0,1116.0
ph-application-1508364558011-30763-jpknf,104.0,105.0
ph-application-1508364558011-30770-dk6fk,1164.0,1165.0
ph-application-1508364558011-30782-dkv98,326.0,327.0
ph-application-1508364558011-30787-92xxt,277.0,278.0
ph-application-1508364558011-30805-jr9d7,91.0,162.0
ph-application-1508364558011-30844-wh65d,63.0,79.0
ph-application-1508364558011-30878-vhzn5,0.0,6.0
ph-application-1508364558011-30884-w7bf5,3.0,10.0
ph-application-1508364558011-30982-lmskv,6.0,18.0
ph-application-1508364558011-31071-d9h5f,20.0,31.0
ph-application-1508364558011-31134-ds9ct,8.0,14.0
ph-application-1508364558011-31151-js5th,16.0,27.0
ph-application-1508364558011-31208-jv8k5,39.0,51.0
ph-application-1508364558011-31210-zcjqh,37.0,49.0
ph-application-1508364558011-31239-cpw9s,25.0,31.0
ph-application-1508364558011-31435-4mk9f,28.0,34.0
ph-application-1508364558011-31615-l72vn,6.0,12.0
ph-application-1508364558011-31714-fqkbd,2464.0,2660.0
ph-application-1508364558011-31847-dspbt,1082.0,1083.0
ph-application-1508364558011-31851-mv4qx,10.0,16.0
