ts,gpu_util_avg,gpu_mem_used_mib,n_gpu,alloc_used,alloc_pct,pending_gpu_pods,running_gpu_pods
2026-06-11T20:42:41.314003+00:00,0.0,0.0,8,0,0.0,1,0
2026-06-11T20:42:44.490113+00:00,0.0,0.0,8,0,0.0,2,0
2026-06-11T20:42:47.660846+00:00,0.0,0.0,8,1,12.5,3,1
2026-06-11T20:42:50.842492+00:00,0.0,0.0,8,3,37.5,2,3
2026-06-11T20:42:54.280408+00:00,0.0,0.0,8,3,37.5,4,3
2026-06-11T20:42:57.442272+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-11T20:43:00.622525+00:00,0.0,0.0,8,7,87.5,3,6
2026-06-11T20:43:04.010072+00:00,0.0,0.0,8,5,62.5,5,4
2026-06-11T20:43:07.175706+00:00,0.0,0.0,8,6,75.0,4,6
2026-06-11T20:43:10.328878+00:00,0.0,0.0,8,8,100.0,3,8
2026-06-11T20:43:13.881896+00:00,0.0,0.0,8,5,62.5,5,5
2026-06-11T20:43:17.040908+00:00,0.0,0.0,8,5,62.5,3,5
2026-06-11T20:43:20.203407+00:00,0.0,0.0,8,8,100.0,3,7
2026-06-11T20:43:23.569169+00:00,0.0,0.0,8,6,75.0,5,5
2026-06-11T20:43:26.758977+00:00,0.0,0.0,8,5,62.5,4,5
2026-06-11T20:43:29.946327+00:00,0.0,0.0,8,6,75.0,5,6
2026-06-11T20:43:33.114413+00:00,0.0,0.0,8,5,62.5,4,5
2026-06-11T20:43:36.279811+00:00,0.0,0.0,8,5,62.5,4,5
2026-06-11T20:43:39.546371+00:00,0.0,0.0,8,4,50.0,6,4
2026-06-11T20:43:42.719758+00:00,0.0,0.0,8,8,100.0,6,5
2026-06-11T20:43:45.889866+00:00,0.0,0.0,8,8,100.0,8,5
2026-06-11T20:43:49.052876+00:00,0.0,0.0,8,8,100.0,9,5
2026-06-11T20:43:52.252831+00:00,0.0,0.0,8,7,87.5,11,4
2026-06-11T20:43:55.446907+00:00,0.0,0.0,8,8,100.0,12,5
2026-06-11T20:43:58.704692+00:00,0.0,0.0,8,4,50.0,13,4
2026-06-11T20:44:01.881778+00:00,0.0,0.0,8,7,87.5,11,7
2026-06-11T20:44:05.086228+00:00,0.0,0.0,8,8,100.0,11,8
2026-06-11T20:44:08.260404+00:00,0.0,0.0,8,4,50.0,13,4
2026-06-11T20:44:11.447137+00:00,0.0,0.0,8,6,75.0,12,6
2026-06-11T20:44:14.765771+00:00,0.0,0.0,8,6,75.0,12,6
2026-06-11T20:44:17.988221+00:00,0.0,0.0,8,7,87.5,12,7
2026-06-11T20:44:21.183611+00:00,0.0,0.0,8,8,100.0,12,8
2026-06-11T20:44:24.372705+00:00,0.0,0.0,8,5,62.5,14,5
2026-06-11T20:44:27.562082+00:00,0.0,0.0,8,7,87.5,13,7
2026-06-11T20:44:30.779003+00:00,0.0,0.0,8,7,87.5,14,7
2026-06-11T20:44:33.980324+00:00,0.0,0.0,8,6,75.0,15,6
2026-06-11T20:44:37.170255+00:00,0.0,0.0,8,8,100.0,14,8
2026-06-11T20:44:40.354599+00:00,0.0,0.0,8,8,100.0,16,8
2026-06-11T20:44:43.566749+00:00,0.0,0.0,8,6,75.0,18,6
2026-06-11T20:44:46.768506+00:00,0.0,0.0,8,8,100.0,17,8
2026-06-11T20:44:49.977174+00:00,0.0,0.0,8,8,100.0,19,8
2026-06-11T20:44:53.182580+00:00,0.0,0.0,8,6,75.0,20,6
2026-06-11T20:44:56.398656+00:00,0.0,0.0,8,8,100.0,20,8
2026-06-11T20:44:59.588213+00:00,0.0,0.0,8,8,100.0,22,8
2026-06-11T20:45:02.783912+00:00,0.0,0.0,8,5,62.5,23,5
2026-06-11T20:45:05.980864+00:00,0.0,0.0,8,5,62.5,25,5
2026-06-11T20:45:09.204591+00:00,0.0,0.0,8,7,87.5,24,6
2026-06-11T20:45:12.398423+00:00,0.0,0.0,8,8,100.0,25,7
2026-06-11T20:45:16.022996+00:00,0.0,0.0,8,4,50.0,27,4
2026-06-11T20:45:19.280183+00:00,0.0,0.0,8,7,87.5,24,7
2026-06-11T20:45:22.475255+00:00,0.0,0.0,8,7,87.5,26,7
2026-06-11T20:45:25.862028+00:00,0.0,0.0,8,6,75.0,27,6
2026-06-11T20:45:29.056189+00:00,0.0,0.0,8,7,87.5,26,7
2026-06-11T20:45:32.273314+00:00,0.0,0.0,8,8,100.0,27,8
2026-06-11T20:45:35.567196+00:00,0.0,0.0,8,7,87.5,28,7
2026-06-11T20:45:38.762359+00:00,0.0,0.0,8,7,87.5,29,7
2026-06-11T20:45:41.977901+00:00,0.0,0.0,8,8,100.0,30,8
2026-06-11T20:45:45.249820+00:00,0.0,0.0,8,7,87.5,31,7
2026-06-11T20:45:48.443549+00:00,0.0,0.0,8,8,100.0,32,8
2026-06-11T20:45:51.641958+00:00,0.0,0.0,8,8,100.0,33,8
2026-06-11T20:45:54.863018+00:00,0.0,0.0,8,5,62.5,35,5
2026-06-11T20:45:58.073068+00:00,0.0,0.0,8,8,100.0,34,8
2026-06-11T20:46:01.282066+00:00,0.0,0.0,8,8,100.0,35,8
2026-06-11T20:46:04.484950+00:00,0.0,0.0,8,7,87.5,37,7
2026-06-11T20:46:07.714835+00:00,0.0,0.0,8,8,100.0,37,8
2026-06-11T20:46:10.996429+00:00,0.0,0.0,8,6,75.0,39,6
2026-06-11T20:46:14.198786+00:00,0.0,0.0,8,7,87.5,40,6
2026-06-11T20:46:17.418627+00:00,0.0,0.0,8,7,87.5,41,6
2026-06-11T20:46:20.954292+00:00,0.0,0.0,8,5,62.5,42,5
2026-06-11T20:46:24.182063+00:00,0.0,0.0,8,7,87.5,41,7
2026-06-11T20:46:27.416061+00:00,0.0,0.0,8,7,87.5,42,7
2026-06-11T20:46:30.654903+00:00,0.0,0.0,8,7,87.5,43,7
2026-06-11T20:46:33.869601+00:00,0.0,0.0,8,5,62.5,44,5
2026-06-11T20:46:37.246464+00:00,0.0,0.0,8,4,50.0,45,4
2026-06-11T20:46:40.489404+00:00,0.0,0.0,8,6,75.0,44,6
2026-06-11T20:46:43.721640+00:00,0.0,0.0,8,8,100.0,44,7
2026-06-11T20:46:46.991413+00:00,0.0,0.0,8,7,87.5,46,6
2026-06-11T20:46:50.202107+00:00,0.0,0.0,8,5,62.5,47,5
2026-06-11T20:46:53.447260+00:00,0.0,0.0,8,8,100.0,45,8
2026-06-11T20:46:56.670040+00:00,0.0,0.0,8,6,75.0,47,6
2026-06-11T20:46:59.889062+00:00,0.0,0.0,8,6,75.0,46,6
2026-06-11T20:47:03.104298+00:00,0.0,0.0,8,6,75.0,48,6
2026-06-11T20:47:06.351260+00:00,0.0,0.0,8,5,62.5,48,5
2026-06-11T20:47:09.581817+00:00,0.0,0.0,8,8,100.0,46,8
2026-06-11T20:47:12.816460+00:00,0.0,0.0,8,8,100.0,48,8
2026-06-11T20:47:16.048023+00:00,0.0,0.0,8,7,87.5,50,7
2026-06-11T20:47:19.334753+00:00,0.0,0.0,8,8,100.0,50,8
2026-06-11T20:47:22.552168+00:00,0.0,0.0,8,8,100.0,52,8
2026-06-11T20:47:25.776718+00:00,0.0,0.0,8,7,87.5,53,7
2026-06-11T20:47:29.034614+00:00,0.0,0.0,8,8,100.0,54,8
2026-06-11T20:47:32.309091+00:00,0.0,0.0,8,8,100.0,56,8
2026-06-11T20:47:35.537082+00:00,0.0,0.0,8,8,100.0,57,8
2026-06-11T20:47:38.794360+00:00,0.0,0.0,8,6,75.0,59,6
2026-06-11T20:47:42.032974+00:00,0.0,0.0,8,6,75.0,60,6
2026-06-11T20:47:45.272505+00:00,0.0,0.0,8,7,87.5,60,7
2026-06-11T20:47:48.497141+00:00,0.0,0.0,8,7,87.5,62,7
2026-06-11T20:47:51.761289+00:00,0.0,0.0,8,6,75.0,62,6
2026-06-11T20:47:55.006210+00:00,0.0,0.0,8,8,100.0,63,7
2026-06-11T20:47:58.310650+00:00,0.0,0.0,8,7,87.5,65,6
2026-06-11T20:48:01.589012+00:00,0.0,0.0,8,5,62.5,65,5
2026-06-11T20:48:04.831526+00:00,0.0,0.0,8,7,87.5,64,7
2026-06-11T20:48:08.073245+00:00,0.0,0.0,8,7,87.5,65,7
2026-06-11T20:48:11.313605+00:00,0.0,0.0,8,6,75.0,66,6
2026-06-11T20:48:14.605360+00:00,0.0,0.0,8,6,75.0,68,6
2026-06-11T20:48:17.851120+00:00,0.0,0.0,8,6,75.0,67,6
2026-06-11T20:48:21.089707+00:00,0.0,0.0,8,6,75.0,67,6
2026-06-11T20:48:24.466458+00:00,0.0,0.0,8,3,37.5,69,3
2026-06-11T20:48:27.739259+00:00,0.0,0.0,8,5,62.5,67,5
2026-06-11T20:48:30.983904+00:00,0.0,0.0,8,7,87.5,66,7
2026-06-11T20:48:34.352197+00:00,0.0,0.0,8,6,75.0,68,6
2026-06-11T20:48:37.623693+00:00,0.0,0.0,8,6,75.0,67,6
2026-06-11T20:48:40.872777+00:00,0.0,0.0,8,8,100.0,67,8
2026-06-11T20:48:44.128677+00:00,0.0,0.0,8,8,100.0,68,8
2026-06-11T20:48:47.449244+00:00,0.0,0.0,8,7,87.5,70,7
2026-06-11T20:48:50.704542+00:00,0.0,0.0,8,8,100.0,71,8
2026-06-11T20:48:53.953846+00:00,0.0,0.0,8,7,87.5,72,7
2026-06-11T20:48:57.235508+00:00,0.0,0.0,8,7,87.5,73,7
2026-06-11T20:49:00.518526+00:00,0.0,0.0,8,8,100.0,74,8
2026-06-11T20:49:03.767857+00:00,0.0,0.0,8,6,75.0,75,6
2026-06-11T20:49:07.018891+00:00,0.0,0.0,8,8,100.0,75,8
2026-06-11T20:49:10.329555+00:00,0.0,0.0,8,8,100.0,76,8
2026-06-11T20:49:13.592589+00:00,0.0,0.0,8,6,75.0,78,6
2026-06-11T20:49:16.850448+00:00,0.0,0.0,8,7,87.5,78,7
2026-06-11T20:49:20.214174+00:00,0.0,0.0,8,7,87.5,79,7
2026-06-11T20:49:23.461086+00:00,0.0,0.0,8,7,87.5,80,7
2026-06-11T20:49:26.725280+00:00,0.0,0.0,8,7,87.5,81,7
2026-06-11T20:49:30.024813+00:00,0.0,0.0,8,7,87.5,82,7
2026-06-11T20:49:33.393179+00:00,0.0,0.0,8,8,100.0,83,8
2026-06-11T20:49:36.647640+00:00,0.0,0.0,8,8,100.0,85,8
2026-06-11T20:49:40.133929+00:00,0.0,0.0,8,6,75.0,86,6
2026-06-11T20:49:43.398567+00:00,0.0,0.0,8,5,62.5,86,5
2026-06-11T20:49:46.685885+00:00,0.0,0.0,8,5,62.5,88,5
2026-06-11T20:49:49.997326+00:00,0.0,0.0,8,6,75.0,86,6
2026-06-11T20:49:53.271588+00:00,0.0,0.0,8,5,62.5,87,4
2026-06-11T20:49:56.734460+00:00,0.0,0.0,8,5,62.5,89,4
2026-06-11T20:50:00.021424+00:00,0.0,0.0,8,6,75.0,87,6
2026-06-11T20:50:03.291075+00:00,0.0,0.0,8,6,75.0,88,6
2026-06-11T20:50:06.886550+00:00,0.0,0.0,8,5,62.5,89,5
2026-06-11T20:50:10.194885+00:00,0.0,0.0,8,4,50.0,87,4
2026-06-11T20:50:13.494036+00:00,0.0,0.0,8,8,100.0,88,5
2026-06-11T20:50:16.757831+00:00,0.0,0.0,8,8,100.0,90,5
2026-06-11T20:50:20.064800+00:00,0.0,0.0,8,4,50.0,91,4
2026-06-11T20:50:23.368744+00:00,0.0,0.0,8,4,50.0,93,4
2026-06-11T20:50:27.097708+00:00,0.0,0.0,8,3,37.5,94,3
2026-06-11T20:50:30.388525+00:00,0.0,0.0,8,8,100.0,90,8
2026-06-11T20:50:33.743144+00:00,0.0,0.0,8,8,100.0,92,8
2026-06-11T20:50:37.096634+00:00,0.0,0.0,8,4,50.0,94,4
2026-06-11T20:50:40.396506+00:00,0.0,0.0,8,6,75.0,92,5
2026-06-11T20:50:43.696441+00:00,0.0,0.0,8,8,100.0,92,7
2026-06-11T20:50:47.260089+00:00,0.0,0.0,8,4,50.0,94,4
2026-06-11T20:50:50.546560+00:00,0.0,0.0,8,2,25.0,92,2
2026-06-11T20:50:53.837715+00:00,0.0,0.0,8,2,25.0,94,2
2026-06-11T20:50:57.110506+00:00,0.0,0.0,8,8,100.0,93,5
2026-06-11T20:51:00.444060+00:00,0.0,0.0,8,3,37.5,94,3
2026-06-11T20:51:03.734515+00:00,0.0,0.0,8,3,37.5,96,3
2026-06-11T20:51:07.013051+00:00,0.0,0.0,8,8,100.0,96,5
2026-06-11T20:51:10.325175+00:00,0.0,0.0,8,7,87.5,97,4
2026-06-11T20:51:13.698708+00:00,0.0,0.0,8,7,87.5,99,4
2026-06-11T20:51:17.014488+00:00,0.0,0.0,8,8,100.0,100,5
2026-06-11T20:51:20.321931+00:00,0.0,0.0,8,8,100.0,101,5
2026-06-11T20:51:23.609876+00:00,0.0,0.0,8,8,100.0,103,5
2026-06-11T20:51:26.911334+00:00,0.0,0.0,8,7,87.5,104,4
2026-06-11T20:51:30.228404+00:00,0.0,0.0,8,8,100.0,105,5
2026-06-11T20:51:33.503594+00:00,0.0,0.0,8,8,100.0,107,5
2026-06-11T20:51:36.803566+00:00,0.0,0.0,8,4,50.0,108,4
2026-06-11T20:51:40.165744+00:00,0.0,0.0,8,3,37.5,110,3
2026-06-11T20:51:43.467582+00:00,0.0,0.0,8,6,75.0,108,6
2026-06-11T20:51:46.794628+00:00,0.0,0.0,8,7,87.5,107,7
2026-06-11T20:51:50.131185+00:00,0.0,0.0,8,7,87.5,109,7
2026-06-11T20:51:53.440677+00:00,0.0,0.0,8,4,50.0,110,4
2026-06-11T20:51:56.741086+00:00,0.0,0.0,8,5,62.5,107,5
2026-06-11T20:52:00.289881+00:00,0.0,0.0,8,5,62.5,109,5
2026-06-11T20:52:03.600196+00:00,0.0,0.0,8,7,87.5,108,7
2026-06-11T20:52:06.887633+00:00,0.0,0.0,8,7,87.5,108,7
2026-06-11T20:52:10.275813+00:00,0.0,0.0,8,7,87.5,110,7
2026-06-11T20:52:13.580697+00:00,0.0,0.0,8,7,87.5,111,7
2026-06-11T20:52:16.898041+00:00,0.0,0.0,8,8,100.0,111,8
2026-06-11T20:52:20.222044+00:00,0.0,0.0,8,6,75.0,113,6
2026-06-11T20:52:23.518150+00:00,0.0,0.0,8,6,75.0,113,6
2026-06-11T20:52:26.824888+00:00,0.0,0.0,8,7,87.5,112,7
2026-06-11T20:52:30.299934+00:00,0.0,0.0,8,7,87.5,114,7
2026-06-11T20:52:33.605485+00:00,0.0,0.0,8,8,100.0,115,8
2026-06-11T20:52:36.898598+00:00,0.0,0.0,8,8,100.0,116,8
2026-06-11T20:52:40.226408+00:00,0.0,0.0,8,7,87.5,118,7
2026-06-11T20:52:43.563931+00:00,0.0,0.0,8,7,87.5,119,7
