job_id,arrival_time_s,duration_s,gpu_count,gpu_type,preemptible
ph-application_1504131676014_19362,1506229542.0,184.0,1,any,False
ph-application_1504131676014_19363,1506229548.0,179.0,1,any,False
ph-application_1504131676014_19372,1506229605.0,298.0,1,any,False
ph-application_1504131676014_19408,1506229797.0,191.0,1,any,False
ph-application_1504131676014_19517,1506230869.0,299.0,1,any,False
ph-application_1504131676014_19524,1506230942.0,306.0,1,any,False
ph-application_1504131676014_19556,1506231213.0,176.0,1,any,False
ph-application_1504131676014_19607,1506231538.0,198.0,1,any,False
ph-application_1504131676014_19635,1506231703.0,352.0,1,any,False
ph-application_1504131676014_19656,1506231836.0,168.0,1,any,False
ph-application_1504131676014_19722,1506232226.0,186.0,1,any,False
ph-application_1504131676014_19798,1506232626.0,199.0,1,any,False
ph-application_1504131676014_19828,1506232817.0,354.0,1,any,False
ph-application_1504131676014_19853,1506232923.0,172.0,1,any,False
ph-application_1504131676014_19953,1506233687.0,346.0,1,any,False
ph-application_1504131676014_20002,1506234164.0,348.0,1,any,False
ph-application_1504131676014_20011,1506234225.0,218.0,1,any,False
ph-application_1504131676014_20078,1506235131.0,347.0,1,any,False
ph-application_1504131676014_20104,1506235826.0,212.0,1,any,False
ph-application_1504131676014_20182,1506236668.0,349.0,1,any,False
ph-application_1504131676014_20217,1506244317.0,65.0,1,any,False
ph-application_1504131676014_20285,1506261216.0,14.0,2,any,False
ph-application_1504131676014_20292,1506261871.0,4112.0,8,any,False
ph-application_1504131676014_20385,1506271850.0,218.0,1,any,False
ph-application_1504131676014_20442,1506272824.0,225.0,1,any,False
ph-application_1504131676014_20520,1506285747.0,1227.0,1,any,False
ph-application_1504131676014_20589,1506286574.0,162.0,1,any,False
ph-application_1504131676014_20669,1506291784.0,448.0,8,any,False
ph-application_1504131676014_20672,1506292167.0,1534.0,1,any,True
ph-application_1504131676014_20757,1506293714.0,70.0,1,any,False
ph-application_1504131676014_20820,1506298145.0,911.0,1,any,False
ph-application_1504131676014_20831,1506298318.0,87.0,1,any,False
ph-application_1504131676014_20921,1506300918.0,9551.0,8,any,True
ph-application_1504131676014_21058,1506327117.0,74.0,1,any,False
ph-application_1504131676014_21099,1506329519.0,126.0,1,any,False
ph-application_1504131676014_21112,1506331260.0,1211.0,1,any,True
ph-application_1504131676014_21126,1506333333.0,133.0,1,any,False
ph-application_1504131676014_21159,1506334376.0,519.0,1,any,False
ph-application_1504131676014_21201,1506334797.0,167.0,1,any,False
ph-application_1504131676014_21231,1506339717.0,66.0,1,any,False
ph-application_1504131676014_21312,1506349317.0,85.0,1,any,False
ph-application_1504131676014_21417,1506363717.0,74.0,1,any,False
ph-application_1504131676014_21476,1506368034.0,1173.0,1,any,False
ph-application_1504131676014_21527,1506368320.0,1338.0,1,any,False
ph-application_1504131676014_21542,1506368794.0,1499.0,1,any,False
ph-application_1504131676014_21546,1506369608.0,12872.0,4,any,True
ph-application_1504131676014_21596,1506375858.0,1206.0,1,any,True
ph-application_1504131676014_21667,1506383272.0,153.0,1,any,False
ph-application_1504131676014_21673,1506384717.0,82.0,1,any,False
ph-application_1504131676014_21707,1506388178.0,69.0,1,any,False
ph-application_1504131676014_21856,1506388916.0,67.0,1,any,False
ph-application_1504131676014_21928,1506392210.0,869.0,1,any,False
ph-application_1504131676014_21986,1506393038.0,1096.0,1,any,False
ph-application_1504131676014_22082,1506394785.0,902.0,1,any,False
ph-application_1504131676014_22096,1506394918.0,68.0,1,any,False
ph-application_1504131676014_22130,1506397428.0,249.0,1,any,True
ph-application_1504131676014_22145,1506398780.0,512.0,1,any,False
ph-application_1504131676014_22153,1506398815.0,486.0,1,any,False
ph-application_1504131676014_22175,1506399377.0,499.0,1,any,False
ph-application_1504131676014_22267,1506401597.0,278.0,8,any,True
ph-application_1504131676014_22303,1506406640.0,163.0,1,any,False
ph-application_1504131676014_22409,1506427317.0,90.0,1,any,False
ph-application_1504131676014_22439,1506430318.0,71.0,1,any,False
ph-application_1504131676014_22469,1506432284.0,14475.0,1,any,True
ph-application_1504131676014_22480,1506433863.0,92.0,1,any,True
ph-application_1504131676014_22566,1506440582.0,513.0,8,any,True
