job_id,arrival_time_s,duration_s,gpu_count,gpu_type,preemptible
ph-application_1506638472019_2512,0.0,20.0,2,any,False
ph-application_1506638472019_2516,143.0,74609.0,1,any,False
ph-application_1506638472019_2525,2924.0,71.0,1,any,False
ph-application_1506638472019_2554,12099.0,5996.0,1,any,False
ph-application_1506638472019_2555,12142.0,6274.0,1,any,False
ph-application_1506638472019_2560,12252.0,166.0,4,any,True
ph-application_1506638472019_2570,13548.0,7141.0,1,any,False
ph-application_1506638472019_2589,17325.0,66.0,1,any,False
ph-application_1506638472019_2621,20151.0,3946.0,1,any,False
ph-application_1506638472019_2624,20184.0,3656.0,1,any,False
ph-application_1506638472019_2629,20217.0,3677.0,1,any,False
ph-application_1506638472019_2642,20300.0,4308.0,1,any,False
ph-application_1506638472019_2643,20308.0,2507.0,1,any,False
ph-application_1506638472019_2700,20731.0,2502.0,1,any,False
ph-application_1506638472019_2712,20782.0,3203.0,1,any,False
ph-application_1506638472019_2721,20818.0,2771.0,1,any,False
ph-application_1506638472019_2773,21022.0,3607.0,1,any,False
ph-application_1506638472019_2803,21185.0,3233.0,1,any,False
ph-application_1506638472019_2808,21205.0,2494.0,1,any,False
ph-application_1506638472019_2812,21223.0,2973.0,1,any,False
ph-application_1506638472019_2827,21287.0,2480.0,1,any,False
ph-application_1506638472019_2857,21423.0,2454.0,1,any,False
ph-application_1506638472019_2870,21486.0,2746.0,1,any,False
ph-application_1506638472019_2891,21574.0,2896.0,1,any,False
ph-application_1506638472019_2899,21612.0,2668.0,1,any,False
ph-application_1506638472019_2903,21635.0,2795.0,1,any,False
ph-application_1506638472019_2905,21638.0,2641.0,1,any,False
ph-application_1506638472019_2912,21673.0,3315.0,1,any,False
ph-application_1506638472019_2940,21798.0,2560.0,1,any,False
ph-application_1506638472019_2942,21811.0,3911.0,1,any,False
ph-application_1506638472019_2943,21813.0,3743.0,1,any,False
ph-application_1506638472019_2976,21971.0,2868.0,1,any,False
ph-application_1506638472019_2979,21985.0,2478.0,1,any,False
ph-application_1506638472019_2990,23815.0,330.0,1,any,False
ph-application_1506638472019_2992,24105.0,3589.0,1,any,False
ph-application_1506638472019_2994,24115.0,3605.0,1,any,False
ph-application_1506638472019_2995,24115.0,3637.0,1,any,False
ph-application_1506638472019_3021,24266.0,2404.0,1,any,False
ph-application_1506638472019_3023,24276.0,2890.0,1,any,False
ph-application_1506638472019_3035,24344.0,2686.0,1,any,False
ph-application_1506638472019_3055,24438.0,2582.0,1,any,False
ph-application_1506638472019_3059,24463.0,2443.0,1,any,False
ph-application_1506638472019_3069,24503.0,2422.0,1,any,False
ph-application_1506638472019_3106,24668.0,2517.0,1,any,False
ph-application_1506638472019_3121,24743.0,3862.0,1,any,False
ph-application_1506638472019_3159,24899.0,2682.0,1,any,False
ph-application_1506638472019_3171,24958.0,2493.0,1,any,False
ph-application_1506638472019_3175,24974.0,2417.0,1,any,False
ph-application_1506638472019_3180,24997.0,3048.0,1,any,False
ph-application_1506638472019_3211,25134.0,6128.0,1,any,True
ph-application_1506638472019_3216,25153.0,2444.0,1,any,False
ph-application_1506638472019_3256,25333.0,2475.0,1,any,False
ph-application_1506638472019_3264,25360.0,2755.0,1,any,False
ph-application_1506638472019_3286,25464.0,2770.0,1,any,False
ph-application_1506638472019_3298,25530.0,2517.0,1,any,False
ph-application_1506638472019_3304,25549.0,2450.0,1,any,False
ph-application_1506638472019_3312,25584.0,2538.0,1,any,False
ph-application_1506638472019_3315,25597.0,2459.0,1,any,False
ph-application_1506638472019_3318,25608.0,2537.0,1,any,False
ph-application_1506638472019_3339,25702.0,2749.0,1,any,False
ph-application_1506638472019_3348,25788.0,3790.0,1,any,False
ph-application_1506638472019_3349,25806.0,3679.0,1,any,False
ph-application_1506638472019_3359,26707.0,43284.0,4,any,False
ph-application_1506638472019_3388,28133.0,2383.0,1,any,False
ph-application_1506638472019_3390,28136.0,3132.0,1,any,False
ph-application_1506638472019_3412,28235.0,2460.0,1,any,False
ph-application_1506638472019_3423,28281.0,2390.0,1,any,False
ph-application_1506638472019_3426,28294.0,2370.0,1,any,False
ph-application_1506638472019_3471,28551.0,3593.0,1,any,False
ph-application_1506638472019_3476,28575.0,2928.0,1,any,False
ph-application_1506638472019_3478,28581.0,2433.0,1,any,False
ph-application_1506638472019_3501,28676.0,2422.0,1,any,False
ph-application_1506638472019_3510,28716.0,2410.0,1,any,False
ph-application_1506638472019_3525,28794.0,2488.0,1,any,False
ph-application_1506638472019_3528,28808.0,2634.0,1,any,False
ph-application_1506638472019_3542,28889.0,2409.0,1,any,False
ph-application_1506638472019_3544,28916.0,3574.0,1,any,True
ph-application_1506638472019_3545,28940.0,2489.0,1,any,False
ph-application_1506638472019_3584,34126.0,78.0,1,any,False
ph-application_1506638472019_3587,34345.0,3620.0,1,any,False
ph-application_1506638472019_3622,34555.0,2374.0,1,any,False
ph-application_1506638472019_3630,34616.0,2459.0,1,any,False
ph-application_1506638472019_3644,34677.0,3563.0,1,any,False
ph-application_1506638472019_3645,34688.0,3571.0,1,any,False
ph-application_1506638472019_3656,34731.0,2400.0,1,any,False
ph-application_1506638472019_3730,46124.0,70.0,1,any,False
ph-application_1506638472019_3742,48608.0,51170.0,8,any,False
ph-application_1506638472019_3749,50657.0,89.0,4,any,False
ph-application_1506638472019_3752,51283.0,1306.0,8,any,True
ph-application_1506638472019_3757,52456.0,3154.0,1,any,False
ph-application_1506638472019_3758,52471.0,1016.0,1,any,False
ph-application_1506638472019_3774,56324.0,109.0,1,any,False
ph-application_1506638472019_3803,59676.0,6.0,1,any,False
ph-application_1506638472019_3815,61054.0,1219.0,1,any,False
ph-application_1506638472019_3826,62497.0,1628.0,1,any,False
ph-application_1506638472019_3855,65346.0,64.0,8,any,False
ph-application_1506638472019_3881,66947.0,42.0,1,any,False
ph-application_1506638472019_3902,68150.0,34.0,1,any,False
ph-application_1506638472019_3907,68261.0,30.0,1,any,False
ph-application_1506638472019_3936,68503.0,39.0,1,any,False
ph-application_1506638472019_3962,70124.0,79.0,1,any,False
ph-application_1506638472019_3967,70867.0,155428.0,8,any,True
ph-application_1506638472019_3974,72442.0,133.0,4,any,False
ph-application_1506638472019_3989,75248.0,87495.0,8,any,True
ph-application_1506638472019_3993,76724.0,71.0,1,any,False
ph-application_1506638472019_3998,76941.0,28000.0,4,any,False
ph-application_1506638472019_4004,77534.0,103594.0,2,any,False
ph-application_1506638472019_4007,77762.0,1023.0,1,any,False
ph-application_1506638472019_4018,80207.0,976.0,1,any,False
ph-application_1506638472019_4032,81612.0,26.0,1,any,False
ph-application_1506638472019_4066,82953.0,38979.0,8,any,True
ph-application_1506638472019_4067,82959.0,81163.0,8,any,True
ph-application_1506638472019_4082,84524.0,73.0,1,any,False
ph-application_1506638472019_4122,84964.0,5906.0,1,any,True
ph-application_1506638472019_4143,85727.0,14.0,2,any,False
ph-application_1506638472019_4147,86902.0,137.0,8,any,True
ph-application_1506638472019_4161,87772.0,6640.0,1,any,False
ph-application_1506638472019_4179,91125.0,69.0,1,any,False
ph-application_1506638472019_4184,91962.0,131.0,1,any,True
ph-application_1506638472019_4206,98324.0,64.0,1,any,False
ph-application_1506638472019_4208,98968.0,19.0,1,any,False
ph-application_1506638472019_4209,98970.0,19.0,1,any,False
ph-application_1506638472019_4210,99524.0,66.0,1,any,False
ph-application_1506638472019_4221,103724.0,78.0,1,any,False
ph-application_1506638472019_4224,104924.0,76.0,1,any,False
ph-application_1506638472019_4227,105524.0,71.0,1,any,False
ph-application_1506638472019_4231,106857.0,119.0,1,any,True
ph-application_1506638472019_4279,112939.0,161.0,1,any,False
ph-application_1506638472019_4299,117524.0,71.0,1,any,False
ph-application_1506638472019_4325,125324.0,71.0,1,any,False
ph-application_1506638472019_4335,128032.0,985.0,2,any,False
ph-application_1506638472019_4343,128924.0,63.0,1,any,False
ph-application_1506638472019_4352,130392.0,5556.0,2,any,True
ph-application_1506638472019_4363,134242.0,114021.0,1,any,False
ph-application_1506638472019_4364,134324.0,72.0,1,any,False
ph-application_1506638472019_4377,138472.0,87.0,8,any,True
ph-application_1506638472019_4401,142509.0,7826.0,2,any,True
ph-application_1506638472019_4408,142749.0,901.0,8,any,False
ph-application_1506638472019_4424,145012.0,319.0,4,any,False
ph-application_1506638472019_4436,145506.0,34.0,4,any,False
ph-application_1506638472019_4443,145811.0,80.0,8,any,False
ph-application_1506638472019_4476,149557.0,11316.0,8,any,False
ph-application_1506638472019_4479,150419.0,26.0,1,any,False
ph-application_1506638472019_4481,150420.0,30.0,1,any,False
ph-application_1506638472019_4512,154931.0,2542.0,1,any,False
ph-application_1506638472019_4528,157861.0,89.0,8,any,True
ph-application_1506638472019_4540,159371.0,47.0,8,any,False
ph-application_1506638472019_4567,161958.0,1847.0,1,any,False
ph-application_1506638472019_4569,162007.0,47356.0,8,any,True
ph-application_1506638472019_4573,162580.0,24.0,1,any,False
ph-application_1506638472019_4576,162934.0,57231.0,1,any,False
ph-application_1506638472019_4577,163124.0,73.0,1,any,False
ph-application_1506638472019_4644,165027.0,25.0,8,any,False
ph-application_1506638472019_4652,165992.0,15.0,1,any,False
ph-application_1506638472019_4732,167165.0,1496.0,1,any,False
ph-application_1506638472019_4767,167720.0,17023.0,1,any,True
ph-application_1506638472019_4799,169109.0,15662.0,1,any,True
ph-application_1506638472019_4802,169245.0,15501.0,1,any,True
ph-application_1506638472019_4810,170215.0,2461.0,1,any,False
ph-application_1506638472019_4817,170511.0,3545.0,1,any,False
ph-application_1506638472019_4824,170530.0,3103.0,1,any,False
ph-application_1506638472019_4855,170811.0,6042.0,1,any,False
ph-application_1506638472019_4872,170860.0,3658.0,1,any,False
ph-application_1506638472019_4895,170926.0,3333.0,1,any,False
ph-application_1506638472019_4904,170960.0,4045.0,1,any,False
ph-application_1506638472019_4905,170965.0,4053.0,1,any,False
ph-application_1506638472019_4913,170997.0,4040.0,1,any,False
ph-application_1506638472019_4932,171069.0,3371.0,1,any,False
ph-application_1506638472019_4950,171115.0,3370.0,1,any,False
ph-application_1506638472019_4976,171219.0,3589.0,1,any,False
ph-application_1506638472019_4997,171265.0,4926.0,1,any,True
ph-application_1506638472019_5001,171271.0,3465.0,1,any,False
ph-application_1506638472019_5005,171281.0,4057.0,1,any,False
ph-application_1506638472019_5030,171329.0,3387.0,1,any,False
ph-application_1506638472019_5045,171362.0,3390.0,1,any,False
ph-application_1506638472019_5052,171375.0,3638.0,1,any,False
ph-application_1506638472019_5072,171423.0,3534.0,1,any,False
ph-application_1506638472019_5074,171423.0,3537.0,1,any,False
ph-application_1506638472019_5078,171434.0,4100.0,1,any,False
ph-application_1506638472019_5091,171471.0,4104.0,1,any,False
ph-application_1506638472019_5092,171475.0,4043.0,1,any,False
ph-application_1506638472019_5101,171499.0,4032.0,1,any,False
ph-application_1506638472019_5105,171510.0,4062.0,1,any,False
ph-application_1506638472019_5117,171528.0,4042.0,1,any,False
ph-application_1506638472019_5129,171551.0,3450.0,1,any,False
ph-application_1506638472019_5145,171585.0,4016.0,1,any,False
ph-application_1506638472019_5147,171588.0,4136.0,1,any,False
ph-application_1506638472019_5165,171622.0,3722.0,1,any,False
