job_id,arrival_time_s,duration_s,gpu_count,gpu_type,preemptible
ph-application_1501012364013_23793,1503507628.0,172800,4,any,False
ph-application_1504131676014_11361,1505685799.0,172800,1,any,False
ph-application_1504131676014_19360,1506229523.0,163.0,1,any,False
ph-application_1504131676014_19432,1506229959.0,205.0,1,any,False
ph-application_1504131676014_19633,1506231695.0,176.0,1,any,False
ph-application_1504131676014_19831,1506232825.0,112.0,1,any,False
ph-application_1504131676014_19933,1506233491.0,164.0,1,any,False
ph-application_1504131676014_20032,1506234528.0,203.0,1,any,False
ph-application_1504131676014_20042,1506234618.0,345.0,1,any,False
ph-application_1504131676014_20090,1506235434.0,212.0,1,any,False
ph-application_1504131676014_20163,1506236451.0,348.0,1,any,False
ph-application_1504131676014_20177,1506236546.0,344.0,1,any,False
ph-application_1504131676014_20357,1506271615.0,142.0,1,any,False
ph-application_1504131676014_20365,1506271669.0,143.0,1,any,False
ph-application_1504131676014_20421,1506272080.0,227.0,1,any,False
ph-application_1504131676014_20453,1506275559.0,9190.0,8,any,True
ph-application_1504131676014_20455,1506275582.0,331.0,1,any,False
ph-application_1504131676014_20521,1506285954.0,268.0,1,any,False
ph-application_1504131676014_20540,1506286307.0,153.0,1,any,False
ph-application_1504131676014_20671,1506291987.0,14516.0,1,any,True
ph-application_1504131676014_20705,1506293434.0,72.0,1,any,False
ph-application_1504131676014_20710,1506293469.0,71.0,1,any,False
ph-application_1504131676014_20712,1506293486.0,73.0,1,any,False
ph-application_1504131676014_20725,1506293565.0,69.0,1,any,False
ph-application_1504131676014_20811,1506297717.0,85.0,1,any,False
ph-application_1504131676014_20815,1506297933.0,1157.0,1,any,False
ph-application_1504131676014_20879,1506299110.0,1094.0,1,any,False
ph-application_1504131676014_20973,1506307740.0,6.0,1,any,True
ph-application_1504131676014_21043,1506320517.0,70.0,1,any,False
ph-application_1504131676014_21218,1506337686.0,158.0,1,any,False
ph-application_1504131676014_21271,1506343917.0,77.0,1,any,False
ph-application_1504131676014_21277,1506344550.0,123.0,1,any,True
ph-application_1504131676014_21310,1506348943.0,7315.0,1,any,False
ph-application_1504131676014_21364,1506355035.0,4997.0,1,any,False
ph-application_1504131676014_21406,1506362192.0,13400.0,8,any,False
ph-application_1504131676014_21498,1506368120.0,1222.0,1,any,False
ph-application_1504131676014_21526,1506368281.0,1109.0,1,any,False
ph-application_1504131676014_21714,1506388225.0,68.0,1,any,False
ph-application_1504131676014_21850,1506388890.0,73.0,1,any,False
ph-application_1504131676014_21869,1506388965.0,68.0,1,any,False
ph-application_1504131676014_21953,1506392514.0,915.0,1,any,False
ph-application_1504131676014_21997,1506393170.0,885.0,1,any,False
ph-application_1504131676014_22022,1506393709.0,926.0,1,any,False
ph-application_1504131676014_22029,1506393852.0,915.0,1,any,False
ph-application_1504131676014_22221,1506400303.0,320.0,1,any,False
ph-application_1504131676014_22243,1506400867.0,516.0,1,any,False
ph-application_1504131676014_22245,1506400890.0,511.0,1,any,False
ph-application_1504131676014_22285,1506403917.0,75.0,1,any,False
ph-application_1504131676014_22351,1506416516.0,77.0,1,any,False
ph-application_1504131676014_22358,1506417717.0,78.0,1,any,False
ph-application_1504131676014_22390,1506423119.0,65.0,1,any,False
ph-application_1504131676014_22413,1506427517.0,221.0,4,any,True
ph-application_1504131676014_22471,1506432288.0,16567.0,1,any,True
ph-application_1504131676014_22487,1506434598.0,528.0,1,any,False
ph-application_1504131676014_22504,1506436127.0,72051.0,1,any,True
