job_id,arrival_time_s,duration_s,gpu_count,gpu_type,preemptible
ph-application_1508364558011_27835,0.0,6899.0,1,any,False
ph-application_1508364558011_27886,167.275,30.0,8,any,False
ph-application_1508364558011_27924,452.825,1699.0,1,any,False
ph-application_1508364558011_27933,531.5,56.0,1,any,False
ph-application_1508364558011_27953,621.525,1101.0,1,any,False
ph-application_1508364558011_27958,636.55,62.0,1,any,False
ph-application_1508364558011_28027,1086.55,63.0,1,any,False
ph-application_1508364558011_28089,1559.45,464.0,4,any,False
ph-application_1508364558011_28094,1583.125,21.0,2,any,False
ph-application_1508364558011_28136,1926.6,51.0,1,any,False
ph-application_1508364558011_28143,2001.55,59.0,1,any,False
ph-application_1508364558011_28153,2061.575,57.0,1,any,False
ph-application_1508364558011_28193,2286.525,64.0,1,any,False
ph-application_1508364558011_28201,2331.575,53.0,1,any,False
ph-application_1508364558011_28245,2451.575,63.0,1,any,False
ph-application_1508364558011_28257,2494.175,49.0,1,any,True
ph-application_1508364558011_28272,2556.575,71.0,1,any,False
ph-application_1508364558011_28319,2768.95,10.0,2,any,False
ph-application_1508364558011_28327,2811.575,75.0,1,any,False
ph-application_1508364558011_28399,2988.6,79.0,1,any,False
ph-application_1508364558011_28411,3026.3,60.0,1,any,False
ph-application_1508364558011_28494,3456.575,63.0,1,any,False
ph-application_1508364558011_28499,3516.55,71.0,1,any,False
ph-application_1508364558011_28507,3570.725,7077.0,1,any,True
ph-application_1508364558011_28520,3607.35,7169.0,1,any,False
ph-application_1508364558011_28529,3608.05,7198.0,1,any,False
ph-application_1508364558011_28545,3650.05,317.0,8,any,True
ph-application_1508364558011_28575,3764.275,1392.0,8,any,False
ph-application_1508364558011_28580,3770.725,175.0,1,any,False
ph-application_1508364558011_28614,3891.575,71.0,1,any,False
ph-application_1508364558011_28621,3951.6,66.0,1,any,False
ph-application_1508364558011_28654,4131.575,69.0,1,any,False
ph-application_1508364558011_28672,4168.25,36.0,8,any,False
ph-application_1508364558011_28695,4188.05,4497.0,8,any,False
ph-application_1508364558011_28711,4214.725,29.0,1,any,False
ph-application_1508364558011_28753,4289.825,29.0,8,any,False
ph-application_1508364558011_28806,4407.05,277.0,1,any,True
ph-application_1508364558011_28841,4461.55,200.0,1,any,False
ph-application_1508364558011_28939,4791.55,1659.0,1,any,False
ph-application_1508364558011_29004,5006.025,23.0,1,any,False
ph-application_1508364558011_29010,5006.2,122.0,4,any,False
ph-application_1508364558011_29174,5146.225,3535.0,8,any,False
ph-application_1508364558011_29183,5181.55,76.0,1,any,False
ph-application_1508364558011_29239,5320.925,785.0,4,any,False
ph-application_1508364558011_29284,5631.625,58.0,1,any,False
ph-application_1508364558011_29493,6238.2,1052.0,1,any,False
ph-application_1508364558011_29537,6261.55,70.0,1,any,False
ph-application_1508364558011_29567,6269.6,62.0,1,any,False
ph-application_1508364558011_29647,6315.875,81.0,1,any,False
ph-application_1508364558011_29741,6421.525,374.0,1,any,False
ph-application_1508364558011_29743,6421.625,42.0,1,any,False
ph-application_1508364558011_29797,6436.2,328.0,1,any,False
