group,run,policy,n,q_p50,q_p90,q_max,j_p50,j_p90,j_max,alloc_max
"사내 (in-house, 20 job, 1.5×)",base,default-FIFO,20,1.0,198.0,203.0,62.0,199.0,264.0,100.0
"사내 (in-house, 20 job, 1.5×)",sfqa,SFQA,20,3.0,175.0,175.0,64.0,176.0,186.0,100.0
"Alibaba v2023 (40 job, 2.2×)",a23_base,default-FIFO,40,12.0,90.0,215.0,62.0,152.0,277.0,100.0
"Alibaba v2023 (40 job, 2.2×)",a23_sfqa,SFQA,40,44.0,54.0,170.0,66.0,109.0,231.0,100.0
"Philly (40 job, 저부하)",ph_base,default-FIFO,40,0.0,0.0,52.0,21.0,22.0,73.0,100.0
"Philly (40 job, 저부하)",ph_sfqa,SFQA,40,2.0,3.0,48.0,23.0,24.0,62.0,62.5
"다정책 비교 (Alibaba v2023, 40 job, 2.2×) [age버그 버전]",m_base,default-FIFO,40,6.0,78.0,181.0,61.0,140.0,243.0,100.0
"다정책 비교 (Alibaba v2023, 40 job, 2.2×) [age버그 버전]",m_fifo,gate-FIFO,40,43.0,53.0,169.0,65.0,109.0,230.0,100.0
"다정책 비교 (Alibaba v2023, 40 job, 2.2×) [age버그 버전]",m_sjf,SJF,40,12.0,74.0,189.0,64.0,135.0,251.0,100.0
"다정책 비교 (Alibaba v2023, 40 job, 2.2×) [age버그 버전]",m_las,LAS(≈FIFO),40,43.0,53.0,168.0,65.0,109.0,230.0,100.0
"다정책 비교 (Alibaba v2023, 40 job, 2.2×) [age버그 버전]",m_sfqa,SFQA,40,44.0,55.0,170.0,67.0,110.0,232.0,100.0
"★최종: Philly 1000 층화샘플 다정책 (age·β 수정, peak 3.6×)",p_base,default-FIFO,1000,17.0,275.0,2450.0,28.0,287.0,2461.0,100.0
"★최종: Philly 1000 층화샘플 다정책 (age·β 수정, peak 3.6×)",p_fifo,gate-FIFO,1000,189.0,484.0,924.0,199.0,496.0,925.0,100.0
"★최종: Philly 1000 층화샘플 다정책 (age·β 수정, peak 3.6×)",p_sjf,SJF,1000,33.0,461.0,2265.0,43.0,472.0,2276.0,100.0
"★최종: Philly 1000 층화샘플 다정책 (age·β 수정, peak 3.6×)",p_las,LAS,1000,76.0,503.0,1779.0,87.0,514.0,1780.0,100.0
"★최종: Philly 1000 층화샘플 다정책 (age·β 수정, peak 3.6×)",p_sfqa,SFQA,1000,243.0,589.0,782.0,251.0,600.0,783.0,100.0
"★sfqa-auto v2 + SOTA 베이스라인 (Philly 1000 동일조건, 2026-06-04)",p_sfqa_auto,SFQA-auto(τ=10),1000,290.0,612.0,768.0,296.0,621.0,770.0,100.0
"★sfqa-auto v2 + SOTA 베이스라인 (Philly 1000 동일조건, 2026-06-04)",p_auto_t1,SFQA-auto(τ=1),1000,210.0,582.0,937.0,220.0,592.0,948.0,100.0
"★sfqa-auto v2 + SOTA 베이스라인 (Philly 1000 동일조건, 2026-06-04)",p_easy,EASY-backfill,1000,419.0,639.0,691.0,432.0,647.0,703.0,100.0
"★sfqa-auto v2 + SOTA 베이스라인 (Philly 1000 동일조건, 2026-06-04)",p_kueue,Kueue,1000,195.0,396.0,869.0,204.0,406.0,870.0,100.0
"κ=6000 적응성 (peak 5.4×, 무튜닝 적응 vs 고정 노브)",p_sfqa_k6000,SFQA 고정(κ3000 튜닝값),1000,1080.0,1613.0,1682.0,1091.0,1625.0,1695.0,100.0
"κ=6000 적응성 (peak 5.4×, 무튜닝 적응 vs 고정 노브)",p_auto_k6000,SFQA-auto(τ=1),1000,592.0,907.0,2087.0,603.0,918.0,2098.0,100.0
"충실 duration (JCT≤2h, 윈도우 d51~65, S=360, cap 없음)",f360_kueue,Kueue,500,0.0,12.0,45.0,7.0,19.0,52.0,100.0
"충실 duration (JCT≤2h, 윈도우 d51~65, S=360, cap 없음)",f360_auto,SFQA-auto(τ=10),500,5.0,20.0,52.0,11.0,27.0,60.0,100.0
"충실 duration (JCT≤2h, 윈도우 d51~65, S=360, cap 없음)",f360_easy,EASY(완벽추정),500,5.0,31.0,46.0,14.0,38.0,53.0,100.0
"충실 duration (JCT≤2h, 윈도우 d51~65, S=360, cap 없음)",f360_easyf1,EASY f=1,500,5.0,22.0,37.0,11.0,29.0,45.0,100.0
"충실 duration (JCT≤2h, 윈도우 d51~65, S=360, cap 없음)",f360_easyf3,EASY f=3,500,5.0,21.0,37.0,11.0,28.0,44.0,100.0
