config,makespan_min,alloc_avg,util_avg,age_mean,age_max,makespan_delta_pct
base,488929.0,77.1307,29.0857,17688.391304347828,147644,0.0
r_0.05,488970.0,77.1242,29.0118,18053.918478260868,151844,0.01
r_0.15,488929.0,77.1307,29.0857,17688.440217391304,147644,0.0
r_0.2,498792.0,75.6055,28.1547,18341.945652173912,176780,2.02
r_0.3,484913.0,77.7695,29.3642,17487.872282608696,148845,-0.82
p_1.5,494941.0,76.1938,28.7846,17826.179347826088,164211,1.23
p_3,497650.0,75.779,28.6232,18188.956521739132,177391,1.78
p_4,490628.0,76.8636,29.059,18460.019021739132,178608,0.35
m_1,532431.0,70.8287,26.4992,7415.513586956522,126511,8.9
m_2,495545.0,76.1009,28.3469,12680.630434782608,143332,1.35
m_5,484271.0,77.8726,29.3708,27538.722826086956,158814,-0.95
m_10,485831.0,77.6225,28.9721,47521.532608695656,278386,-0.63
