job_id,arrival_s,service_sec,gpu_count
ali-e292c9c65d286997da9c5b26-worker#384494,16670.0,167731.0,8
ali-5d38c14aee655bcc24221011-worker#319385,24488.0,172800.0,2
ali-158fbdbe6d37e59982476ffb-worker#499667,48458.0,172800.0,1
ali-51d01202d231f9fae85bceab-PyTorchWorker#554540,76966.0,154108.0,1
ali-e6fbc0b25267595b15fd9ce0-tensorflow#465467,81763.0,90209.0,1
ali-9a4e91d99ee6c5f0df8db2da-worker#297031,90855.0,133803.0,8
ali-f92eff9824837558a972da2c-tensorflow#494252,91171.0,81951.0,1
ali-273447ce5444db25dadb3e46-tensorflow#548132,105254.0,106090.0,1
ali-af891555f285b94e2dcd12a0-worker#319956,110240.0,60470.0,12
ali-9baed10f3fae55d16f903104-worker#371212,110944.0,82227.0,8
ali-d1538699e97a0d852c4d2f7b-tensorflow#198368,116507.0,150444.0,1
ali-e095b799cb964b110ef8d583-tensorflow#505645,119059.0,59373.0,1
ali-e3003b8ed862dcdcdd6f70b3-tensorflow#266424,119113.0,54719.0,1
ali-211ea7ce60c6c78756cf08a2-PyTorchWorker#207942,119269.0,69800.0,5
ali-1ddf2cb653fe6bb085802a2e-tensorflow#464165,120089.0,56951.0,1
ali-1ebbe9976e99cdcabcae4356-tensorflow#308324,120111.0,64526.0,1
ali-5deebf2ea19d3b4760d0c241-PyTorchWorker#528850,130823.0,116759.0,4
ali-3ccb1201450d985fe65c90cd-tensorflow#380977,141374.0,37731.0,1
ali-520a39f4a4227f7fde3bb235-tensorflow#231905,142072.0,42626.0,4
ali-897c038d63554407ed5e2226-worker#101432,142285.0,50113.0,20
ali-8ec840023029ad50820315cc-tensorflow#473462,143843.0,79586.0,1
ali-96021af72b884ef7f0e5254c-PyTorchWorker#13003,145152.0,27732.0,2
ali-15a15c8a0e3b913a3bc1b369-PyTorchWorker#514507,147703.0,31001.0,2
ali-ac3967fe8e4bcde2088659bb-tensorflow#368123,148330.0,18147.0,1
ali-85bd6dd1dda540bd75904e60-tensorflow#390202,150139.0,30447.0,4
ali-84fcb52c948416966233f42d-tensorflow#69609,150256.0,59964.0,1
