job_id,arrival_s,service_sec,gpu_count
363167#0,0.0,172800.0,32
394948#2,651507.0,172800.0,8
396689#3,726051.0,172800.0,4
396912#4,740189.0,172800.0,8
396913#5,740202.0,172800.0,8
396976#6,743052.0,172800.0,4
399428#9,856410.0,172800.0,24
399455#10,877980.0,172800.0,16
399469#11,887700.0,172800.0,2
399535#12,907426.0,172800.0,16
399536#13,907520.0,172800.0,16
399537#14,907575.0,172800.0,16
402451#15,934855.0,172800.0,1
402476#16,938030.0,172800.0,8
402481#17,938551.0,172800.0,8
402483#18,938724.0,172800.0,8
402484#19,939494.0,172800.0,8
402530#20,978021.0,172800.0,32
402744#21,1020350.0,172800.0,4
402781#22,1030805.0,172800.0,8
402819#23,1057182.0,172800.0,2
402830#24,1060522.0,172800.0,16
402929#25,1075288.0,172800.0,24
402939#26,1076570.0,135352.0,8
403092#27,1083717.0,172800.0,4
403140#28,1089478.0,172800.0,16
403214#29,1092967.0,168742.0,4
403257#30,1097311.0,109439.0,4
403285#31,1101338.0,159101.0,8
403287#32,1101346.0,172800.0,8
403995#33,1143221.0,172800.0,2
404408#34,1150155.0,63333.0,8
404412#35,1150543.0,50560.0,8
404438#36,1152328.0,172800.0,8
405016#37,1153903.0,125833.0,8
405185#38,1154628.0,75244.0,32
405266#39,1155983.0,172800.0,48
405274#40,1156484.0,53212.0,56
405275#41,1156616.0,75520.0,4
405600#42,1157919.0,141390.0,1
406068#43,1160662.0,35698.0,16
406072#44,1161024.0,56978.0,32
406090#45,1161705.0,172800.0,1
406094#46,1162228.0,172800.0,1
406095#47,1162231.0,158646.0,2
406128#48,1164348.0,31542.0,1
406144#49,1165183.0,172800.0,1
406146#50,1165256.0,172800.0,1
406162#51,1166191.0,32076.0,8
406201#52,1168055.0,29053.0,8
406214#53,1169027.0,32681.0,8
406228#54,1169860.0,81540.0,4
406232#55,1170000.0,111087.0,4
406247#56,1170511.0,39642.0,16
406285#57,1172919.0,70040.0,16
406304#58,1174246.0,56750.0,16
406316#59,1176123.0,64714.0,8
406325#60,1177903.0,62145.0,8
406351#61,1180735.0,27682.0,1
406352#62,1180763.0,27654.0,1
406353#63,1180828.0,170775.0,1
406358#64,1181288.0,27623.0,1
406359#65,1181351.0,49821.0,8
406360#66,1181528.0,18927.0,8
406362#67,1181572.0,45836.0,8
406371#68,1182286.0,33686.0,16
406372#69,1182303.0,33503.0,16
406373#70,1182317.0,33479.0,16
406374#71,1182352.0,28226.0,16
406375#72,1182368.0,34512.0,16
406376#73,1182381.0,34667.0,16
406386#74,1183043.0,58178.0,5
406391#75,1183402.0,75512.0,1
406395#76,1183727.0,35906.0,4
406396#77,1183772.0,30960.0,6
406406#78,1184966.0,69344.0,8
406411#79,1185388.0,27568.0,4
406414#80,1185593.0,53464.0,4
406429#81,1186665.0,571.0,16
406430#82,1186681.0,60.0,16
406431#83,1186702.0,4408.0,16
406439#84,1187518.0,172800.0,8
406444#85,1188059.0,23594.0,1
406447#86,1188315.0,44944.0,2
406450#87,1188852.0,172800.0,1
406454#88,1189461.0,42666.0,16
406475#89,1193108.0,23547.0,8
406481#90,1194049.0,5720.0,2
406482#91,1194064.0,172800.0,24
406486#93,1195252.0,40.0,1
406489#96,1195643.0,4.0,1
406490#97,1195683.0,839.0,1
406492#99,1195808.0,40.0,1
406493#100,1195932.0,122621.0,1
406494#101,1196276.0,35.0,1
406499#105,1196826.0,500.0,16
406500#106,1196842.0,47.0,4
406501#107,1196890.0,73.0,4
406502#108,1196964.0,266.0,4
406503#109,1197561.0,34710.0,16
406504#110,1197621.0,261.0,4
406505#111,1197813.0,33.0,1
406510#114,1198083.0,37.0,1
406512#116,1198218.0,107.0,4
406513#117,1198327.0,426.0,4
406514#118,1198345.0,35.0,1
406518#122,1198965.0,505.0,4
406520#124,1198997.0,36.0,1
406521#125,1199107.0,175.0,1
406523#127,1199282.0,12.0,2
406524#128,1199294.0,2.0,2
406526#130,1199355.0,28718.0,1
406527#131,1199415.0,38.0,1
406528#132,1199544.0,509.0,4
406529#133,1199939.0,51.0,1
406530#134,1200028.0,31248.0,2
406532#136,1200418.0,34497.0,16
406533#137,1200657.0,52.0,8
406534#138,1200763.0,44.0,1
406535#139,1200831.0,60.0,8
406537#141,1200973.0,59.0,8
406538#142,1200993.0,32.0,1
406539#143,1201104.0,60.0,8
406540#144,1201107.0,30.0,1
406541#145,1201395.0,551.0,4
406542#146,1201406.0,57.0,8
406543#147,1201517.0,290.0,8
406544#148,1201736.0,76.0,8
406545#149,1201830.0,63775.0,8
406546#150,1202294.0,22.0,4
406547#151,1202366.0,566.0,4
406548#152,1202572.0,28621.0,8
406549#153,1203055.0,283.0,8
406550#154,1203182.0,263.0,4
406551#155,1203798.0,558.0,4
406552#156,1204987.0,619.0,4
406553#157,1205948.0,628.0,4
406554#158,1208417.0,1025.0,2
406555#159,1208417.0,1151.0,2
406556#160,1208911.0,1149.0,2
406557#161,1209442.0,1131.0,2
406558#162,1209568.0,1125.0,2
406559#163,1210061.0,1162.0,2
406560#164,1211653.0,1130.0,2
406569#173,1224383.0,21493.0,4
406570#174,1224543.0,1.0,4
406571#175,1224581.0,29009.0,4
406572#176,1224854.0,38.0,4
406573#177,1226632.0,187.0,8
406575#178,1226672.0,169.0,8
406576#179,1226698.0,231.0,8
406577#180,1227116.0,18424.0,8
406578#181,1227154.0,186.0,8
