gpu,load,kind,policy,q_p50,q_max,alloc_avg,fair_mean,fair_p1,lt50_pct,bsld_p50,makespan_days
256,3.69x,single,fifo,994110,2054310,48.6,100.0,100.0,0.0,1227.72,34.85
256,3.69x,single,sjf,46,19759350,98.2,94.3,0.0,5.52,1.08,245.62
256,3.69x,single,las,12508,19443848,98.9,91.3,0.0,7.83,22.44,244.61
256,3.69x,single,kueue,12508,19443848,98.9,91.3,0.0,7.83,22.44,244.61
256,3.69x,single,easy,368516,18755462,98.2,87.8,0.0,11.15,432.7,244.23
256,3.69x,single,themis,142,20229584,98.6,94.4,0.0,5.13,1.26,248.99
256,3.69x,single,fgd,12508,19443848,98.9,91.3,0.0,7.83,22.44,244.61
256,3.69x,single,sfqa,683639,2377620,58.5,94.9,0.0,4.14,869.12,38.09
256,3.69x,single,sfqa-auto,926991,2015412,45.6,99.1,88.9,0.12,1110.94,34.41
256,3.69x,hetero,fifo,1936478,3915838,74.1,100.0,100.0,0.0,2374.64,56.09
256,3.69x,hetero,sjf,96,36499741,98.6,91.0,0.0,8.84,1.19,446.18
256,3.69x,hetero,las,23306,36194652,98.9,87.4,0.0,12.22,54.44,456.26
256,3.69x,hetero,kueue,23306,36194652,98.9,87.4,0.0,12.22,54.44,456.26
256,3.69x,hetero,easy,405358,34144309,98.4,80.8,0.0,15.34,475.98,437.23
256,3.69x,hetero,themis,298,36755669,98.8,91.8,0.0,7.65,1.65,442.26
256,3.69x,hetero,fgd,23306,36194652,98.9,87.4,0.0,12.22,54.44,456.26
256,3.69x,hetero,sfqa,1482212,4258620,80.5,95.7,7.9,3.36,1386.31,60.18
256,3.69x,hetero,sfqa-auto,1738877,3791974,69.5,98.5,69.4,0.02,1957.42,54.73
512,1.84x,single,fifo,2394404,4983163,93.1,100.0,100.0,0.0,2777.61,113.27
512,1.84x,single,sjf,2,9463442,98.1,98.6,0.0,1.31,1.02,122.46
512,1.84x,single,las,1842,9554507,99.3,96.1,0.0,3.37,3.25,121.31
512,1.84x,single,kueue,1842,9554507,99.3,96.1,0.0,3.37,3.25,121.31
512,1.84x,single,easy,898444,5701715,97.2,81.3,0.0,9.58,743.89,120.3
512,1.84x,single,themis,4,9706236,98.7,98.4,4.8,1.28,1.04,122.84
512,1.84x,single,fgd,1842,9554507,99.3,96.1,0.0,3.37,3.25,121.31
512,1.84x,single,sfqa,1245520,4967799,93.8,96.3,52.9,0.24,1698.65,113.04
512,1.84x,single,sfqa-auto,2422502,5018915,93.1,99.7,93.3,0.0,2556.25,113.77
512,1.84x,single,lucid,0,9366332,98.3,98.8,14.8,1.11,1.0,118.85
512,1.84x,hetero,fifo,5935810,11974253,93.7,100.0,100.0,0.0,6839.17,194.09
512,1.84x,hetero,sjf,22,17967280,98.9,95.7,0.0,4.19,1.05,218.87
512,1.84x,hetero,las,7810,18422418,99.4,92.2,0.0,7.32,13.84,224.98
512,1.84x,hetero,kueue,7810,18422418,99.4,92.2,0.0,7.32,13.84,224.98
512,1.84x,hetero,easy,180417,14486119,99.2,89.1,0.0,7.96,160.35,210.88
512,1.84x,hetero,themis,94,17959699,99.2,95.6,0.0,3.98,1.15,218.85
512,1.84x,hetero,fgd,7810,18422418,99.4,92.2,0.0,7.32,13.84,224.98
512,1.84x,hetero,sfqa,1902461,11921527,94.0,93.9,35.8,7.16,3248.97,193.48
512,1.84x,hetero,sfqa-auto,6052368,12085582,92.1,99.7,93.0,0.02,6514.72,195.43
1024,0.92x,single,fifo,20719,302556,94.1,100.0,100.0,0.0,24.0,66.32
1024,0.92x,single,sjf,2,1826516,94.2,99.9,99.3,0.03,1.01,65.97
1024,0.92x,single,las,2,1798302,94.4,99.8,97.8,0.08,1.02,65.95
1024,0.92x,single,kueue,2,1798302,94.4,99.8,97.8,0.08,1.02,65.95
1024,0.92x,single,easy,1287,246596,93.6,97.3,32.5,1.34,2.96,65.65
1024,0.92x,single,themis,2,1841813,94.2,99.9,99.3,0.03,1.01,66.01
1024,0.92x,single,fgd,2,1798302,94.4,99.8,97.8,0.08,1.02,65.95
1024,0.92x,single,sfqa,15606,317238,94.0,99.4,82.5,0.0,17.35,66.35
1024,0.92x,single,sfqa-auto,18300,301771,94.0,99.8,94.5,0.01,20.68,66.3
1024,0.92x,single,lucid,0,1726513,91.2,99.9,99.5,0.03,1.0,66.04
1024,0.92x,hetero,fifo,1867189,3858330,97.3,100.0,100.0,0.0,2273.4,108.44
1024,0.92x,hetero,sjf,2,8063013,98.8,99.1,84.8,0.84,1.02,108.07
1024,0.92x,hetero,las,1204,8290470,99.5,96.9,0.0,2.46,2.32,107.73
1024,0.92x,hetero,kueue,1204,8290470,99.5,96.9,0.0,2.46,2.32,107.73
1024,0.92x,hetero,easy,36465,3297513,98.9,86.5,0.0,9.96,72.93,101.04
1024,0.92x,hetero,themis,4,8128175,99.1,98.9,67.1,0.87,1.03,108.62
1024,0.92x,hetero,fgd,1204,8290470,99.5,96.9,0.0,2.46,2.32,107.73
1024,0.92x,hetero,sfqa,923670,3640791,97.4,97.4,62.3,0.0,1244.81,105.88
1024,0.92x,hetero,sfqa-auto,1431594,3651642,97.4,99.3,86.8,0.0,1766.43,106.03
1024,0.92x,hetero,lucid,0,8775488,98.9,99.1,82.4,0.85,1.0,114.4
