policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,111586,2.0,13572.5,50467.5,55891.5,1.0113960113960114,8.433997509339974,5367.95,100.0,75.85563211159368
sjf,111586,2.0,1812.5,14350.5,127280.5,1.0083333333333333,1.8529411764705883,505.0689655172414,100.0,75.51881307914351
las,111586,2.0,7751.5,30659.0,75536.5,1.0108108108108107,5.144513457556936,3088.65,100.0,75.42203758776583
kueue,111586,2.0,4061.5,21226.0,201070.5,1.0097323600973236,2.7422852376980815,4557.9,100.0,75.46313984960273
easy,111586,2.0,10302.0,50003.5,55663.5,1.0112994350282485,6.879310344827586,1478.472972972973,100.0,75.54780301626786
themis,111586,2.0,2456.0,13746.5,100793.5,1.0098522167487685,2.564432989690722,272.7758620689655,100.0,75.48524459048723
sfqa,111586,2.0,8979.5,37651.5,64710.5,1.011111111111111,6.339285714285714,5239.8,100.0,75.64591897591457
sfqa-auto,111586,2.0,9781.0,39580.5,61228.5,1.0112359550561798,6.727611940298507,5263.4,100.0,75.65145068382459
fgd,111586,2.0,7751.5,30659.0,75536.5,1.0108108108108107,5.144513457556936,3088.65,100.0,75.42203758776583
lucid,111586,0.0,2.0,3247.245098039508,44162.0,1.0,1.0093530787217595,72.3599033817325,100.0,62.50467402466253
sia,111586,168.0,267.0,298.0,301.0,1.091549295774648,1.7281879194630871,2.01006711409396,100.0,41.512299771406916
