policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,111586,3550051.400000004,7307552.900000006,7789311.3000000045,7806818.600000009,2303.7552083333335,94784.59322033908,779571.4100000005,100.0,99.0305855486357
sjf,111586,1110.0,36524.5,7898439.0,9264542.399999997,2.16,15.598540145985401,217314.05,100.0,99.08648729087757
las,111586,520981.5,2447024.5,6896085.0,6985747.0,384.2671102661597,15844.022222222222,693331.540000001,100.0,99.16087318407018
kueue,111586,13232.0,126556.5,8350305.6,9228537.5,9.363924050627016,313.2307692307692,882215.2,100.0,99.14396059832742
easy,111586,1631802.2000000002,5977826.299999999,7644963.799999997,7680391.000000007,1161.2390332014454,7108.801123595498,767161.3200000003,100.0,99.0418485228882
themis,111586,3651.899999999441,41775.09999999963,7701824.800000001,8685189.5,4.68335734870317,15.369565217391305,202191.6,100.0,99.12361732446786
sfqa,111586,1484001.3000000007,5705377.699999999,7336249.3999999985,7667116.800000001,862.9566110397943,42793.691935483876,763905.8300000004,100.0,98.99206893746704
sfqa-auto,111586,1759480.5,5844175.200000001,6928607.3999999985,7258056.199999999,1031.0953010279006,52999.4376344086,722945.0399999995,100.0,98.99854397928054
fgd,111586,520981.5,2447024.5,6896085.0,6985747.0,384.2671102661597,15844.022222222222,693331.540000001,100.0,99.16087318407018
lucid,111586,114.76613063458353,15252.30833333265,7324550.5,8365415.1074187495,1.091948051945505,5.14387689124461,14773.629770664727,100.0,99.03095283354871
sia,111586,210.0,787.0,2866.0,9949.0,1.0680453635757172,1.7651006711409396,31.909395973154364,100.0,74.53869207517079
