job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
394948#2,651507.0,651509.0,2.0,172800.0,8
396689#3,726051.0,726053.0,2.0,172800.0,4
396912#4,740189.0,740191.0,2.0,172800.0,8
399455#10,877980.0,877982.0,2.0,172800.0,16
399469#11,887700.0,887702.0,2.0,172800.0,2
399535#12,907426.0,907428.0,2.0,172800.0,16
399536#13,907520.0,907522.0,2.0,172800.0,16
402451#15,934855.0,934857.0,2.0,172800.0,1
402476#16,938030.0,938032.0,2.0,172800.0,8
402484#19,939494.0,939496.0,2.0,172800.0,8
406128#48,1164348.0,1164350.0,2.0,31542.0,1
406489#96,1195643.0,1195896.5,253.5,4.0,1
406486#93,1195252.0,1195905.0,653.0,40.0,1
402781#22,1030805.0,1030807.0,2.0,172800.0,8
406494#101,1196276.0,1203613.5,7337.5,35.0,1
406520#124,1198997.0,1203613.5,4616.5,36.0,1
406521#125,1199107.0,1203613.5,4506.5,175.0,1
406504#110,1197621.0,1203613.5,5992.5,261.0,4
406513#117,1198327.0,1203879.0,5552.0,426.0,4
406518#122,1198965.0,1204309.5,5344.5,505.0,4
406528#132,1199544.0,1204819.0,5275.0,509.0,4
406541#145,1201395.0,1205332.5,3937.5,551.0,4
406547#151,1202366.0,1205888.0,3522.0,566.0,4
406551#155,1203798.0,1206458.5,2660.5,558.0,4
406552#156,1204987.0,1207021.0,2034.0,619.0,4
406553#157,1205948.0,1207644.5,1696.5,628.0,4
406351#61,1180735.0,1180737.0,2.0,27682.0,1
406556#160,1208911.0,1208913.0,2.0,1149.0,2
406557#161,1209442.0,1210066.5,624.5,1131.0,2
402939#26,1076570.0,1076572.0,2.0,135352.0,8
406535#139,1200831.0,1211928.5,11097.5,60.0,8
406542#146,1201406.0,1211993.0,10587.0,57.0,8
406543#147,1201517.0,1212054.5,10537.5,290.0,8
406559#163,1210061.0,1211202.0,1141.0,1162.0,2
403257#30,1097311.0,1107661.5,10350.5,109439.0,4
406352#62,1180763.0,1195949.5,15186.5,27654.0,1
406582#185,1228073.0,1228075.0,2.0,1200.0,2
406526#130,1199355.0,1203613.5,4258.5,28718.0,1
406570#174,1224543.0,1232336.0,7793.0,1.0,4
406580#183,1227592.0,1232341.5,4749.5,42.0,4
406395#76,1183727.0,1208277.0,24550.0,35906.0,4
406623#221,1233328.0,1244187.5,10859.5,16.0,4
406718#309,1238071.0,1244210.0,6139.0,46.0,1
406685#281,1237065.0,1244210.0,7145.0,50.0,1
406682#278,1236871.0,1244210.0,7339.0,52.0,1
406688#284,1237182.0,1244210.0,7028.0,75.0,1
