job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
394948#2,651507.0,651509.0,2.0,172800.5,8
396689#3,726051.0,726053.0,2.0,172800.5,4
396912#4,740189.0,740191.0,2.0,172800.5,8
399455#10,877980.0,877982.0,2.0,172800.5,16
399469#11,887700.0,887702.0,2.0,172800.5,2
399535#12,907426.0,907428.0,2.0,172800.5,16
399536#13,907520.0,907522.0,2.0,172800.5,16
402451#15,934855.0,934857.0,2.0,172800.5,1
402476#16,938030.0,938032.0,2.0,191840.1,8
402484#19,939494.0,939494.0,0.0,191840.3,8
406486#93,1195252.0,1195254.0,2.0,40.5,1
406489#96,1195643.0,1195645.0,2.0,4.5,1
406494#101,1196276.0,1196276.0,0.0,41.4,1
406128#48,1164348.0,1164350.0,2.0,33160.8,1
406520#124,1198997.0,1198999.0,2.0,36.5,1
406521#125,1199107.0,1199107.0,0.0,196.9,1
406201#52,1168055.0,1168055.0,0.0,32283.6,8
406214#53,1169027.0,1169029.0,2.0,35526.5,8
406535#139,1200831.0,1204555.5,3724.5,69.2,8
406543#147,1201517.0,1204624.7,3107.7,324.7,8
406351#61,1180735.0,1180735.0,0.0,29141.4,1
406556#160,1208911.0,1208911.0,0.0,1279.2,2
406352#62,1180763.0,1180765.0,2.0,29830.6,1
406557#161,1209442.0,1210190.2,748.2,1259.2,2
403257#30,1097311.0,1097311.0,0.0,115201.4,4
406559#163,1210061.0,1211449.3,1388.3,1293.6,2
406504#110,1197621.0,1212512.4,14891.4,292.5,4
406513#117,1198327.0,1212804.9,14477.9,475.8,4
406518#122,1198965.0,1213280.8,14315.8,563.6,4
406528#132,1199544.0,1213844.4,14300.4,568.1,4
406541#145,1201395.0,1214412.4,13017.4,614.7,4
406551#155,1203798.0,1215027.2,11229.2,622.5,4
406547#151,1202366.0,1215649.7,13283.7,598.3,4
406552#156,1204987.0,1216248.0,11261.0,654.1,4
406553#157,1205948.0,1216902.0,10954.0,700.3,4
402781#22,1030805.0,1030807.0,2.0,186917.7,8
402939#26,1076570.0,1076570.0,0.0,150393.6,8
406575#178,1226672.0,1226963.6,291.6,190.3,8
406573#177,1226632.0,1227153.9,521.9,210.3,8
406578#181,1227154.0,1227364.2,210.2,209.2,8
406582#185,1228073.0,1228073.0,0.0,1335.8,2
406526#130,1199355.0,1199355.0,0.0,30232.0,1
406608#206,1232387.0,1232387.0,0.0,100.3,2
406618#216,1232982.0,1232982.0,0.0,82.5,2
406619#217,1233171.0,1233171.0,0.0,75.8,2
406626#224,1233463.0,1233463.0,0.0,88.1,2
406643#239,1234239.0,1234239.0,0.0,140.3,1
406645#241,1234419.0,1234419.0,0.0,125.8,1
406646#242,1234549.0,1234549.0,0.0,119.2,2
406650#246,1234702.0,1234702.0,0.0,121.4,2
406652#248,1234796.0,1234823.4,27.4,132.5,2
406666#262,1235415.0,1235415.0,0.0,109.2,1
406548#152,1202572.0,1204949.4,2377.4,31803.6,8
406610#208,1232430.0,1236753.0,4323.0,25.8,8
406682#278,1236871.0,1236871.0,0.0,60.3,1
406597#197,1231551.0,1236778.8,5227.8,213.6,8
406685#281,1237065.0,1237067.0,2.0,50.5,1
406598#198,1231580.0,1236992.4,5412.4,225.8,8
406688#284,1237182.0,1237182.0,0.0,85.8,1
406696#290,1237345.0,1237345.0,0.0,102.5,2
406615#213,1232617.0,1237218.3,4601.3,300.4,8
406709#301,1237795.0,1237797.0,2.0,208.5,1
406718#309,1238071.0,1238071.0,0.0,53.6,1
406742#327,1240806.0,1240806.0,0.0,122.5,1
406748#333,1240957.0,1240959.0,2.0,98.5,1
406750#334,1241002.0,1241002.0,0.0,96.9,1
