policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,368,5032383.499999999,7232952.999999998,7429483.999999998,7482761.999999998,43.36578993055554,293.5091468253967,1973.3381944444438,100.0,73.68227326266195
sjf,368,226938.5,7805297.5,11452754.5,11791863.0,4.8787996031746035,53.919322916666665,403.7029166666667,100.0,83.65811153358682
las,368,2042766.499999999,7278187.999999998,9109138.0,10271933.5,21.042805555555542,187.59412393162393,2430.924861111111,100.0,84.70394736842105
kueue,368,2042766.499999999,7278187.999999998,9109138.0,10271933.5,21.042805555555542,187.59412393162393,2430.924861111111,100.0,84.70394736842105
easy,368,3110598.0,5517849.0,5827442.5,5911684.5,31.79831886574074,112.13479797979798,1341.29625,100.0,77.26521164021165
themis,368,681960.0,6436454.0,10904724.5,11413751.0,11.762818287037037,56.08940393518518,284.4348611111111,100.0,83.00907911802854
sfqa,368,3783602.0,6460923.5,6665198.5,6769045.5,37.75502025462963,263.92315476190475,1669.4543055555555,100.0,76.16998792270532
sfqa-auto,368,4587869.0,6769696.5,6946121.0,7012312.0,40.25593364197531,276.49684523809526,1856.8581944444445,100.0,76.53076463560335
fgd,368,2042766.499999999,7278187.999999998,9109138.0,10271933.5,21.042805555555542,187.59412393162393,2430.924861111111,100.0,84.70394736842105
lucid,368,109765.99071207456,4248414.75,9792742.472222222,10103779.5,2.248151581404887,27.828868113696437,157.93631791467442,100.0,92.94804741980474
