policy,n,q_p50,q_p90,q_p99,q_max,sd_p50,sd_p90,sd_max,alloc_max,alloc_avg
fifo,368,54010.5,414078.5,680430.0,687630.0,1.4792274305555555,14.66929012345679,188.00833333333333,100.0,69.0643221574344
sjf,368,6.5,280857.5,626482.0,727228.5,1.0005555555555556,5.077724358974359,64.01472222222222,100.0,73.09936350777934
las,368,7206.5,370821.5,579639.5,687630.0,1.0417274305555555,10.616655982905982,151.00847222222222,100.0,72.04232995658467
kueue,368,7206.5,370821.5,579639.5,687630.0,1.0417274305555555,10.616655982905982,151.00847222222222,100.0,72.04232995658467
easy,368,36006.5,352821.5,669630.0,687630.0,1.3750491898148147,7.084091435185186,111.01819444444445,100.0,69.04717682020802
themis,368,4.0,280844.0,698434.5,727230.5,1.0003587962962963,7.667870370370371,100.01847222222223,100.0,72.19781205164993
sfqa,368,46806.5,406844.5,676834.5,684030.0,1.4376244212962963,14.336033950617283,188.00833333333333,100.0,69.90155346820809
sfqa-auto,368,50453.0,410434.5,673230.0,684030.0,1.4773137626262627,15.223117283950618,188.00833333333333,100.0,69.96477601156069
fgd,368,7206.5,370821.5,579639.5,687630.0,1.0417274305555555,10.616655982905982,151.00847222222222,100.0,72.04232995658467
lucid,368,2.0,194146.44078947324,716414.5,771770.9407894732,1.000024999843751,4.538743650649502,42.99541730315234,100.0,71.09774275979557
