time_s,used_gpu,total_gpu,alloc_pct
16670.0,8,256,3.12
48458.0,9,256,3.52
76966.0,10,256,3.91
90855.0,18,256,7.03
91171.0,19,256,7.42
105254.0,19,256,7.42
110240.0,31,256,12.11
110944.0,39,256,15.23
116507.0,40,256,15.62
119113.0,41,256,16.02
120089.0,42,256,16.41
120111.0,43,256,16.8
141374.0,44,256,17.19
142072.0,48,256,18.75
143843.0,49,256,19.14
145152.0,51,256,19.92
147703.0,51,256,19.92
150729.0,59,256,23.05
152505.0,60,256,23.44
152735.0,80,256,31.25
153637.0,130,256,50.78
154191.0,150,256,58.59
155905.0,150,256,58.59
160525.0,200,256,78.12
161977.0,200,256,78.12
163187.0,202,256,78.91
163205.5,200,256,78.12
163279.0,200,256,78.12
163425.0,200,256,78.12
163490.5,150,256,58.59
163595.0,150,256,58.59
163679.7,150,256,58.59
163867.0,150,256,58.59
163898.0,150,256,58.59
163913.1,150,256,58.59
163947.4,150,256,58.59
164002.6,150,256,58.59
164506.5,100,256,39.06
164559.0,130,256,50.78
164886.0,150,256,58.59
165089.0,150,256,58.59
165119.0,150,256,58.59
165300.0,157,256,61.33
165353.7,157,256,61.33
165373.0,157,256,61.33
165405.9,157,256,61.33
165408.0,159,256,62.11
165435.5,159,256,62.11
165456.0,159,256,62.11
165580.5,129,256,50.39
165867.0,129,256,50.39
166006.0,159,256,62.11
166062.5,129,256,50.39
166345.0,129,256,50.39
166429.0,129,256,50.39
166462.0,129,256,50.39
166463.0,149,256,58.2
166510.8,149,256,58.2
166561.5,129,256,50.39
166569.0,129,256,50.39
166613.0,129,256,50.39
166636.0,130,256,50.78
166652.0,130,256,50.78
166663.0,131,256,51.17
166787.7,131,256,51.17
166791.6,131,256,51.17
166800.0,131,256,51.17
166810.5,121,256,47.27
166821.5,111,256,43.36
166846.0,111,256,43.36
166863.5,111,256,43.36
166864.5,104,256,40.62
166888.9,104,256,40.62
166990.5,104,256,40.62
167013.6,104,256,40.62
167052.6,104,256,40.62
167330.4,104,256,40.62
167369.0,105,256,41.02
167386.2,104,256,40.62
167437.8,104,256,40.62
167441.2,104,256,40.62
167484.0,114,256,44.53
167520.0,114,256,44.53
167534.5,104,256,40.62
167586.2,104,256,40.62
167663.0,104,256,40.62
167825.0,105,256,41.02
167914.5,85,256,33.2
167935.5,85,256,33.2
168055.0,85,256,33.2
168092.0,85,256,33.2
168137.0,86,256,33.59
168140.1,86,256,33.59
168437.5,86,256,33.59
168601.3,86,256,33.59
168611.7,85,256,33.2
168613.1,85,256,33.2
168675.0,85,256,33.2
168835.0,85,256,33.2
168852.0,85,256,33.2
168861.0,85,256,33.2
168871.0,85,256,33.2
169079.4,85,256,33.2
169080.1,85,256,33.2
169119.0,85,256,33.2
169124.6,85,256,33.2
169148.0,88,256,34.38
169153.0,88,256,34.38
169194.5,85,256,33.2
169230.4,85,256,33.2
169444.0,85,256,33.2
169462.0,85,256,33.2
169625.5,85,256,33.2
169687.0,86,256,33.59
169852.5,85,256,33.2
169918.0,85,256,33.2
169979.0,86,256,33.59
170074.0,86,256,33.59
170258.0,87,256,33.98
170324.9,87,256,33.98
170354.0,87,256,33.98
170366.0,88,256,34.38
170403.0,88,256,34.38
170422.5,88,256,34.38
170447.6,88,256,34.38
170686.0,88,256,34.38
170692.5,88,256,34.38
170694.5,87,256,33.98
170712.5,75,256,29.3
170792.5,75,256,29.3
170796.7,73,256,28.52
170815.0,73,256,28.52
170830.5,73,256,28.52
170916.5,73,256,28.52
170944.0,74,256,28.91
171136.0,75,256,29.3
171346.5,75,256,29.3
171416.0,75,256,29.3
171457.0,75,256,29.3
171458.7,75,256,29.3
171459.5,74,256,28.91
171506.3,74,256,28.91
171506.5,74,256,28.91
171511.1,74,256,28.91
