job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
394948#2,651507.0,651509.0,2.0,172800.0,8
396689#3,726051.0,726053.0,2.0,172800.0,4
396912#4,740189.0,740191.0,2.0,172800.0,8
399455#10,877980.0,877982.0,2.0,172800.0,16
399469#11,887700.0,887702.0,2.0,172800.0,2
399535#12,907426.0,907428.0,2.0,172800.0,16
399536#13,907520.0,907522.0,2.0,172800.0,16
402451#15,934855.0,934857.0,2.0,172800.0,1
402476#16,938030.0,938032.0,2.0,172800.0,8
402484#19,939494.0,939496.0,2.0,172800.0,8
406486#93,1195252.0,1195254.0,2.0,40.0,1
406489#96,1195643.0,1195645.0,2.0,4.0,1
406494#101,1196276.0,1196278.0,2.0,35.0,1
406504#110,1197621.0,1197623.0,2.0,261.0,4
406520#124,1198997.0,1198999.0,2.0,36.0,1
406513#117,1198327.0,1198329.0,2.0,426.0,4
406521#125,1199107.0,1199109.0,2.0,175.0,1
406518#122,1198965.0,1198967.0,2.0,505.0,4
406528#132,1199544.0,1199546.0,2.0,509.0,4
406535#139,1200831.0,1200833.0,2.0,60.0,8
406542#146,1201406.0,1201408.0,2.0,57.0,8
406543#147,1201517.0,1201526.5,9.5,290.0,8
406541#145,1201395.0,1201397.0,2.0,551.0,4
406547#151,1202366.0,1202368.0,2.0,566.0,4
406551#155,1203798.0,1203800.0,2.0,558.0,4
406552#156,1204987.0,1204989.0,2.0,619.0,4
403257#30,1097311.0,1097313.0,2.0,109439.0,4
406553#157,1205948.0,1205950.0,2.0,628.0,4
406128#48,1164348.0,1164350.0,2.0,31542.0,1
406201#52,1168055.0,1168057.0,2.0,29053.0,8
406556#160,1208911.0,1208913.0,2.0,1149.0,2
406557#161,1209442.0,1209444.0,2.0,1131.0,2
406559#163,1210061.0,1210063.0,2.0,1162.0,2
406570#174,1224543.0,1224545.0,2.0,1.0,4
406573#177,1226632.0,1226634.0,2.0,187.0,8
406575#178,1226672.0,1226900.3,228.3,169.0,8
406578#181,1227154.0,1227156.0,2.0,186.0,8
406580#183,1227592.0,1227594.0,2.0,42.0,4
406582#185,1228073.0,1228075.0,2.0,1200.0,2
406587#187,1229577.0,1229759.5,182.5,1028.0,12
406597#197,1231551.0,1231820.0,269.0,190.0,8
406598#198,1231580.0,1232090.5,510.5,201.0,8
406610#208,1232430.0,1232432.0,2.0,21.0,8
406608#206,1232387.0,1232389.0,2.0,88.0,2
406615#213,1232617.0,1232619.0,2.0,283.0,8
406618#216,1232982.0,1232984.0,2.0,72.0,2
406619#217,1233171.0,1233173.0,2.0,66.0,2
