time_s,used_gpu,total_gpu,alloc_pct
651507.0,8,192,4.17
726051.0,12,192,6.25
740189.0,20,192,10.42
824311.5,12,192,6.25
877980.0,28,192,14.58
887700.0,30,192,15.62
898855.5,26,192,13.54
907426.0,42,192,21.88
907520.0,58,192,30.21
912993.5,50,192,26.04
934855.0,51,192,26.56
938030.0,59,192,30.73
939494.0,67,192,34.9
1030805.0,75,192,39.06
1050784.5,59,192,30.73
1060504.5,57,192,29.69
1075288.0,81,192,42.19
1076570.0,89,192,46.35
1080230.5,73,192,38.02
1080324.5,57,192,29.69
1089478.0,73,192,38.02
1092967.0,77,192,40.1
1097311.0,81,192,42.19
1107659.5,80,192,41.67
1110834.5,72,192,37.5
1153903.0,80,192,41.67
1161024.0,112,192,58.33
1161705.0,113,192,58.85
1162228.0,114,192,59.38
1162231.0,116,192,60.42
1164348.0,117,192,60.94
1165183.0,118,192,61.46
1165256.0,119,192,61.98
1168055.0,127,192,66.15
1169027.0,135,192,70.31
1169860.0,139,192,72.4
1170000.0,143,192,74.48
1176123.0,151,192,78.65
1180735.0,152,192,79.17
1180763.0,153,192,79.69
1181418.5,145,192,75.52
1182303.0,161,192,83.85
1182317.0,177,192,92.19
1182352.0,177,192,92.19
1182368.0,177,192,92.19
1182381.0,177,192,92.19
1183727.0,181,192,94.27
1184966.0,189,192,98.44
1185593.0,189,192,98.44
1186665.0,189,192,98.44
1186681.0,189,192,98.44
1187518.0,189,192,98.44
1188852.0,190,192,98.96
1189461.0,190,192,98.96
1194064.0,190,192,98.96
1195252.0,191,192,99.48
1195336.5,190,192,98.96
1195336.5,190,192,98.96
1195643.0,191,192,99.48
1195655.5,190,192,98.96
1195655.5,190,192,98.96
1195932.0,191,192,99.48
1196276.0,192,192,100.0
1196350.5,191,192,99.48
1196350.5,191,192,99.48
1196826.0,191,192,99.48
1197621.0,191,192,99.48
1198327.0,191,192,99.48
1198965.0,191,192,99.48
1198997.0,192,192,100.0
1199073.5,191,192,99.48
1199073.5,191,192,99.48
1199107.0,192,192,100.0
1199461.5,191,192,99.48
1199461.5,192,192,100.0
1206754.5,188,192,97.92
1206754.5,192,192,100.0
1207020.0,188,192,97.92
1207020.0,192,192,100.0
1207450.5,188,192,97.92
1207450.5,192,192,100.0
1207960.0,188,192,97.92
1207960.0,192,192,100.0
1208473.5,188,192,97.92
1208473.5,192,192,100.0
1208511.3,191,192,99.48
1208511.3,191,192,99.48
1208733.7,183,192,95.31
1208733.7,191,192,99.48
1208818.0,183,192,95.31
1208818.0,191,192,99.48
1208906.5,183,192,95.31
1208906.5,191,192,99.48
1208911.0,191,192,99.48
1209029.0,187,192,97.4
1209029.0,191,192,99.48
1209317.0,183,192,95.31
1209317.0,191,192,99.48
1209442.0,191,192,99.48
1209591.5,187,192,97.4
1209591.5,191,192,99.48
1210061.0,191,192,99.48
1210115.9,187,192,97.4
1210115.9,191,192,99.48
1210190.1,187,192,97.4
1210190.1,189,192,98.44
1210224.0,185,192,96.35
1210224.0,189,192,98.44
1211705.8,187,192,97.4
1211705.8,187,192,97.4
1211731.0,185,192,96.35
1211731.0,185,192,96.35
1211821.4,183,192,95.31
1211821.4,191,192,99.48
1224383.0,191,192,99.48
1224543.0,191,192,99.48
1226632.0,191,192,99.48
1226672.0,191,192,99.48
1227154.0,191,192,99.48
1227592.0,191,192,99.48
1227892.0,191,192,99.48
1228073.0,191,192,99.48
1229577.0,191,192,99.48
1229883.0,191,192,99.48
1231154.0,191,192,99.48
1231261.0,191,192,99.48
1231298.0,191,192,99.48
1231551.0,191,192,99.48
1231580.0,191,192,99.48
1231873.0,191,192,99.48
1232158.0,191,192,99.48
1232186.0,191,192,99.48
1232387.0,191,192,99.48
1232404.0,191,192,99.48
1232430.0,191,192,99.48
1232474.0,191,192,99.48
1232617.0,191,192,99.48
1232630.0,191,192,99.48
1232982.0,191,192,99.48
1233171.0,191,192,99.48
1233258.0,191,192,99.48
1233311.0,191,192,99.48
1233328.0,191,192,99.48
1233408.0,191,192,99.48
1233463.0,191,192,99.48
1233645.0,191,192,99.48
1234000.0,191,192,99.48
1234239.0,192,192,100.0
1234393.5,184,192,95.83
1234393.5,192,192,100.0
1234402.0,188,192,97.92
1234402.0,192,192,100.0
1234417.1,191,192,99.48
1234417.1,191,192,99.48
1234419.0,192,192,100.0
1234432.0,188,192,97.92
1234432.0,192,192,100.0
1234490.5,188,192,97.92
1234490.5,192,192,100.0
1234570.5,190,192,98.96
1234570.5,192,192,100.0
1234578.9,191,192,99.48
1234578.9,191,192,99.48
1234582.5,189,192,98.44
1234582.5,191,192,99.48
1234644.0,192,192,100.0
1234651.0,190,192,98.96
1234651.0,192,192,100.0
1234673.0,190,192,98.96
1234673.0,190,192,98.96
1234702.0,192,192,100.0
1234785.0,190,192,98.96
1234785.0,190,192,98.96
1234796.0,192,192,100.0
1234920.5,190,192,98.96
1234920.5,190,192,98.96
1235034.5,188,192,97.92
1235034.5,192,192,100.0
1235485.0,188,192,97.92
1235485.0,189,192,98.44
1235659.0,189,192,98.44
1235681.5,188,192,97.92
1235681.5,192,192,100.0
1236075.5,191,192,99.48
1236075.5,191,192,99.48
1236103.5,190,192,98.96
1236103.5,190,192,98.96
1236110.0,186,192,96.88
1236110.0,192,192,100.0
1236384.5,186,192,96.88
1236384.5,190,192,98.96
1236632.0,190,192,98.96
1236839.0,186,192,96.88
1236839.0,190,192,98.96
1236871.0,191,192,99.48
1236979.5,190,192,98.96
1236979.5,190,192,98.96
1236987.0,188,192,97.92
1236987.0,192,192,100.0
1237195.5,190,192,98.96
1237195.5,192,192,100.0
1237227.5,188,192,97.92
1237227.5,192,192,100.0
1237272.0,191,192,99.48
1237272.0,191,192,99.48
1237281.0,191,192,99.48
1237345.0,191,192,99.48
1237352.0,190,192,98.96
1237352.0,192,192,100.0
1237457.5,188,192,97.92
1237457.5,192,192,100.0
1237546.5,190,192,98.96
1237546.5,190,192,98.96
1237557.0,190,192,98.96
1237618.0,190,192,98.96
1237623.0,190,192,98.96
1237671.0,190,192,98.96
1237795.0,191,192,99.48
1237823.0,191,192,99.48
1237845.0,191,192,99.48
1237932.0,187,192,97.4
1237932.0,191,192,99.48
1238004.0,191,192,99.48
1238071.0,192,192,100.0
1238090.7,191,192,99.48
1238090.7,191,192,99.48
1238167.5,190,192,98.96
1238167.5,190,192,98.96
1238179.0,190,192,98.96
1239854.0,190,192,98.96
1239878.0,190,192,98.96
1240797.7,158,192,82.29
1240797.7,190,192,98.96
1240806.0,191,192,99.48
1240806.2,183,192,95.31
1240806.2,191,192,99.48
1240833.6,183,192,95.31
1240833.6,191,192,99.48
1240835.0,183,192,95.31
1240835.0,191,192,99.48
1240837.7,183,192,95.31
1240837.7,191,192,99.48
1240839.2,183,192,95.31
1240839.2,191,192,99.48
1240854.0,191,192,99.48
1240910.9,183,192,95.31
1240910.9,191,192,99.48
1240957.0,192,192,100.0
1240961.6,184,192,95.83
1240961.6,192,192,100.0
1240961.7,191,192,99.48
1240961.7,191,192,99.48
1241002.0,192,192,100.0
1241011.2,184,192,95.83
1241011.2,192,192,100.0
1241029.9,184,192,95.83
1241029.9,192,192,100.0
1241104.1,184,192,95.83
1241104.1,192,192,100.0
1241125.5,191,192,99.48
1241125.5,192,192,100.0
1241157.5,191,192,99.48
1241157.5,192,192,100.0
1241205.7,184,192,95.83
1241205.7,192,192,100.0
1241227.9,184,192,95.83
1241227.9,192,192,100.0
1241251.8,191,192,99.48
1241251.8,191,192,99.48
1241309.0,192,192,100.0
1241315.8,184,192,95.83
1241315.8,192,192,100.0
1241396.0,191,192,99.48
1241396.0,191,192,99.48
1241420.0,192,192,100.0
1241494.1,191,192,99.48
1241494.1,191,192,99.48
1241504.8,183,192,95.31
1241504.8,191,192,99.48
1241622.5,190,192,98.96
1241622.5,190,192,98.96
1241626.0,191,192,99.48
1241651.0,192,192,100.0
1241766.3,191,192,99.48
1241766.3,192,192,100.0
1241847.5,191,192,99.48
1241847.5,192,192,100.0
1241937.4,191,192,99.48
1241937.4,191,192,99.48
1241973.0,191,192,99.48
1241985.0,192,192,100.0
1242000.0,191,192,99.48
1242000.0,192,192,100.0
1242122.5,191,192,99.48
1242122.5,191,192,99.48
1242232.5,190,192,98.96
1242232.5,190,192,98.96
1242466.0,191,192,99.48
1242486.0,191,192,99.48
1242490.0,192,192,100.0
1242632.9,191,192,99.48
1242632.9,191,192,99.48
1242678.5,190,192,98.96
1242678.5,190,192,98.96
1242818.0,191,192,99.48
1242828.0,192,192,100.0
1242944.3,191,192,99.48
1242944.3,192,192,100.0
1242986.5,191,192,99.48
1242986.5,192,192,100.0
1243072.0,191,192,99.48
1243072.0,191,192,99.48
1243088.0,192,192,100.0
1243179.0,191,192,99.48
1243179.0,191,192,99.48
1243273.0,192,192,100.0
1243609.5,191,192,99.48
1243609.5,192,192,100.0
1243776.0,191,192,99.48
1243776.0,192,192,100.0
1243968.5,191,192,99.48
1243968.5,192,192,100.0
1244137.0,191,192,99.48
1244137.0,192,192,100.0
1244298.2,184,192,95.83
1244298.2,192,192,100.0
1244341.5,191,192,99.48
1244341.5,192,192,100.0
1244353.7,184,192,95.83
1244353.7,192,192,100.0
1244416.2,184,192,95.83
1244416.2,191,192,99.48
1244481.0,192,192,100.0
1244524.0,191,192,99.48
1244524.0,191,192,99.48
1244545.0,192,192,100.0
1244548.7,191,192,99.48
1244548.7,191,192,99.48
1244570.7,190,192,98.96
1244570.7,190,192,98.96
1244588.7,189,192,98.44
1244588.7,189,192,98.44
1244589.5,188,192,97.92
1244589.5,192,192,100.0
1244741.5,191,192,99.48
1244741.5,192,192,100.0
1244936.0,191,192,99.48
1244936.0,192,192,100.0
1245007.7,188,192,97.92
1245007.7,189,192,98.44
1245118.2,188,192,97.92
1245118.2,188,192,97.92
1245138.5,187,192,97.4
1245138.5,187,192,97.4
1245235.0,190,192,98.96
1245476.0,190,192,98.96
1245728.0,192,192,100.0
1245769.8,184,192,95.83
1245769.8,188,192,97.92
1245835.9,184,192,95.83
1245835.9,192,192,100.0
1245916.0,184,192,95.83
1245916.0,192,192,100.0
1246011.5,184,192,95.83
1246011.5,185,192,96.35
1246109.0,184,192,95.83
1246109.0,192,192,100.0
1246585.3,184,192,95.83
1246585.3,192,192,100.0
1246610.5,190,192,98.96
1246610.5,192,192,100.0
1246610.8,184,192,95.83
1246610.8,192,192,100.0
1246707.7,184,192,95.83
1246707.7,186,192,96.88
1246824.0,188,192,97.92
1246829.0,186,192,96.88
1246829.0,186,192,96.88
1246843.2,185,192,96.35
1246843.2,185,192,96.35
1246846.0,185,192,96.35
1246925.0,185,192,96.35
1246975.5,183,192,95.31
1246975.5,191,192,99.48
