job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
394948#2,651507.0,651509.0,2.0,172800.0,8
396689#3,726051.0,726053.0,2.0,172800.0,4
396912#4,740189.0,740191.0,2.0,172800.0,8
399455#10,877980.0,877982.0,2.0,172800.0,16
399469#11,887700.0,887702.0,2.0,172800.0,2
399535#12,907426.0,907428.0,2.0,172800.0,16
399536#13,907520.0,907522.0,2.0,172800.0,16
402451#15,934855.0,934857.0,2.0,172800.0,1
402476#16,938030.0,938032.0,2.0,172800.0,8
402484#19,939494.0,939496.0,2.0,172800.0,8
406486#93,1195252.0,1195254.0,2.0,40.0,1
406489#96,1195643.0,1195645.0,2.0,4.0,1
406494#101,1196276.0,1196278.0,2.0,35.0,1
406520#124,1198997.0,1198999.0,2.0,36.0,1
406521#125,1199107.0,1199109.0,2.0,175.0,1
403257#30,1097311.0,1097313.0,2.0,109439.0,4
406504#110,1197621.0,1206756.5,9135.5,261.0,4
406513#117,1198327.0,1207022.0,8695.0,426.0,4
406518#122,1198965.0,1207452.5,8487.5,505.0,4
406528#132,1199544.0,1207962.0,8418.0,509.0,4
406128#48,1164348.0,1164350.0,2.0,31542.0,1
406201#52,1168055.0,1168057.0,2.0,29053.0,8
406535#139,1200831.0,1208735.7,7904.7,60.0,8
406542#146,1201406.0,1208824.2,7418.2,57.0,8
406541#145,1201395.0,1208475.5,7080.5,551.0,4
406543#147,1201517.0,1208908.5,7391.5,290.0,8
406547#151,1202366.0,1209031.0,6665.0,566.0,4
406551#155,1203798.0,1209321.0,5523.0,558.0,4
406552#156,1204987.0,1209321.0,4334.0,619.0,4
406553#157,1205948.0,1209601.5,3653.5,628.0,4
406559#163,1210061.0,1210234.0,173.0,1162.0,2
406557#161,1209442.0,1210108.7,666.7,1131.0,2
406556#160,1208911.0,1210108.7,1197.7,1149.0,2
406214#53,1169027.0,1169029.0,2.0,32681.0,8
406570#174,1224543.0,1234397.5,9854.5,1.0,4
406643#239,1234239.0,1234241.0,2.0,124.0,1
406623#221,1233328.0,1234404.0,1076.0,16.0,4
406580#183,1227592.0,1234397.5,6805.5,42.0,4
406645#241,1234419.0,1234421.0,2.0,111.0,1
406618#216,1232982.0,1234442.5,1460.5,72.0,2
406608#206,1232387.0,1234442.5,2055.5,88.0,2
406619#217,1233171.0,1234488.0,1317.0,66.0,2
406626#224,1233463.0,1234488.0,1025.0,77.0,2
406646#242,1234549.0,1234624.5,75.5,105.0,2
406650#246,1234702.0,1234704.0,2.0,107.0,2
406652#248,1234796.0,1234839.0,43.0,117.0,2
