job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
394948#2,651507.0,651509.0,2.0,172800.0,8
396689#3,726051.0,726053.0,2.0,172800.0,4
396912#4,740189.0,740191.0,2.0,172800.0,8
399455#10,877980.0,877982.0,2.0,172800.0,16
399469#11,887700.0,887702.0,2.0,172800.0,2
402451#15,934855.0,934857.0,2.0,172800.0,1
399535#12,907426.0,907428.0,2.0,172800.0,16
399536#13,907520.0,907522.0,2.0,172800.0,16
402476#16,938030.0,938032.0,2.0,172800.0,8
402484#19,939494.0,939496.0,2.0,172800.0,8
406128#48,1164348.0,1284274.0,119926.0,31542.0,1
402939#26,1076570.0,1149352.5,72782.5,135352.0,8
406486#93,1195252.0,1339520.0,144268.0,40.0,1
406489#96,1195643.0,1339564.5,143921.5,4.0,1
406494#101,1196276.0,1339963.0,143687.0,35.0,1
406520#124,1198997.0,1340016.5,141019.5,36.0,1
406521#125,1199107.0,1340071.4,140964.4,175.0,1
406643#239,1234239.0,1340320.9,106081.9,124.0,1
406351#61,1180735.0,1285227.0,104492.0,27682.0,1
406645#241,1234419.0,1340499.0,106080.0,111.0,1
406666#262,1235415.0,1340658.9,105243.9,96.0,1
406682#278,1236871.0,1340797.8,103926.8,52.0,1
406685#281,1237065.0,1341748.0,104683.0,50.0,1
406352#62,1180763.0,1315820.5,135057.5,27654.0,1
406556#160,1208911.0,1343479.0,134568.0,1149.0,2
406688#284,1237182.0,1345092.1,107910.1,75.0,1
406557#161,1209442.0,1345171.6,135729.6,1131.0,2
406559#163,1210061.0,1346759.5,136698.5,1162.0,2
406709#301,1237795.0,1348390.8,110595.8,208.0,1
406582#185,1228073.0,1348603.3,120530.3,1200.0,2
406718#309,1238071.0,1350287.8,112216.8,46.0,1
406742#327,1240806.0,1350338.3,109532.3,108.0,1
406748#333,1240957.0,1350450.8,109493.8,98.0,1
406751#335,1241117.0,1350553.3,109436.3,87.0,1
406750#334,1241002.0,1350549.0,109547.0,85.0,1
406753#337,1241143.0,1350644.8,109501.8,117.0,1
406756#340,1241309.0,1350672.5,109363.5,129.0,1
406608#206,1232387.0,1350857.6,118470.6,88.0,2
406758#342,1241420.0,1350985.3,109565.3,99.0,1
406763#346,1241626.0,1351088.8,109462.8,97.0,1
406764#347,1241651.0,1351190.3,109539.3,96.0,1
406765#348,1241691.0,1351290.8,109599.8,119.0,1
406618#216,1232982.0,1351414.3,118432.3,72.0,2
406769#352,1241810.0,1351519.6,109709.6,74.0,1
406619#217,1233171.0,1351598.1,118427.1,66.0,2
