job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
394948#2,651507.0,651509.0,2.0,172800.0,8
396689#3,726051.0,726053.0,2.0,172800.0,4
396912#4,740189.0,740191.0,2.0,172800.0,8
399455#10,877980.0,877982.0,2.0,172800.0,16
399469#11,887700.0,887702.0,2.0,172800.0,2
402451#15,934855.0,934857.0,2.0,172800.0,1
399535#12,907426.0,907428.0,2.0,172800.0,16
403257#30,1097311.0,1097313.0,2.0,109439.0,4
406489#96,1195643.0,1206758.5,11115.5,4.0,1
406494#101,1196276.0,1206758.5,10482.5,35.0,1
406520#124,1198997.0,1206758.5,7761.5,36.0,1
406486#93,1195252.0,1206758.5,11506.5,40.0,1
406521#125,1199107.0,1206767.0,7660.0,175.0,1
402939#26,1076570.0,1076572.0,2.0,135352.0,8
406542#146,1201406.0,1211928.5,10522.5,57.0,8
406535#139,1200831.0,1211990.0,11159.0,60.0,8
406504#110,1197621.0,1212056.5,14435.5,261.0,4
406513#117,1198327.0,1212056.5,13729.5,426.0,4
406518#122,1198965.0,1212322.0,13357.0,505.0,4
406528#132,1199544.0,1212487.0,12943.0,509.0,4
406541#145,1201395.0,1212831.5,11436.5,551.0,4
406551#155,1203798.0,1213000.5,9202.5,558.0,4
406547#151,1202366.0,1213387.0,11021.0,566.0,4
406552#156,1204987.0,1213563.0,8576.0,619.0,4
406553#157,1205948.0,1213957.5,8009.5,628.0,4
406557#161,1209442.0,1214188.5,4746.5,1131.0,2
406556#160,1208911.0,1214188.5,5277.5,1149.0,2
406559#163,1210061.0,1214592.0,4531.0,1162.0,2
406352#62,1180763.0,1206798.0,26035.0,27654.0,1
406351#61,1180735.0,1206799.0,26064.0,27682.0,1
406645#241,1234419.0,1234456.5,37.5,111.0,1
406643#239,1234239.0,1234485.5,246.5,124.0,1
406619#217,1233171.0,1234614.0,1443.0,66.0,2
406618#216,1232982.0,1234684.5,1702.5,72.0,2
406626#224,1233463.0,1234761.0,1298.0,77.0,2
406608#206,1232387.0,1234842.5,2455.5,88.0,2
406646#242,1234549.0,1234935.0,386.0,105.0,2
406650#246,1234702.0,1235044.5,342.5,107.0,2
406652#248,1234796.0,1235156.0,360.0,117.0,2
406526#130,1199355.0,1206803.0,7448.0,28718.0,1
406666#262,1235415.0,1235525.5,110.5,96.0,1
406582#185,1228073.0,1235277.5,7204.5,1200.0,2
406622#220,1233311.0,1236482.0,3171.0,1270.0,2
406685#281,1237065.0,1237758.5,693.5,50.0,1
406682#278,1236871.0,1237758.5,887.5,52.0,1
406688#284,1237182.0,1237813.0,631.0,75.0,1
