time_s,used_gpu,total_gpu,alloc_pct
651507.0,8,80,10.0
726051.0,12,80,15.0
740189.0,20,80,25.0
824311.5,12,80,15.0
877980.0,28,80,35.0
887700.0,30,80,37.5
898855.5,26,80,32.5
907426.0,42,80,52.5
907520.0,58,80,72.5
912993.5,50,80,62.5
934855.0,51,80,63.75
938030.0,59,80,73.75
939494.0,67,80,83.75
1030805.0,75,80,93.75
1050784.5,59,80,73.75
1060504.5,57,80,71.25
1075288.0,57,80,71.25
1076570.0,65,80,81.25
1089478.0,65,80,81.25
1092967.0,69,80,86.25
1097311.0,73,80,91.25
1107659.5,72,80,90.0
1107659.5,72,80,90.0
1149350.5,56,80,70.0
1149350.5,80,80,100.0
1206754.5,76,80,95.0
1206754.5,80,80,100.0
1206765.0,79,80,98.75
1206765.0,80,80,100.0
1206796.0,79,80,98.75
1206796.0,80,80,100.0
1206797.0,79,80,98.75
1206797.0,80,80,100.0
1206801.0,79,80,98.75
1206801.0,80,80,100.0
1206944.5,79,80,98.75
1206944.5,80,80,100.0
1211926.5,72,80,90.0
1211926.5,80,80,100.0
1211991.0,72,80,90.0
1211991.0,80,80,100.0
1212052.5,72,80,90.0
1212052.5,80,80,100.0
1212320.0,76,80,95.0
1212320.0,80,80,100.0
1212485.0,76,80,95.0
1212485.0,80,80,100.0
1212829.5,76,80,95.0
1212829.5,80,80,100.0
1212998.5,76,80,95.0
1212998.5,80,80,100.0
1213385.0,76,80,95.0
1213385.0,80,80,100.0
1213569.0,76,80,95.0
1213569.0,80,80,100.0
1213947.5,76,80,95.0
1213947.5,80,80,100.0
1214192.5,76,80,95.0
1214192.5,80,80,100.0
1214580.0,76,80,95.0
1214580.0,80,80,100.0
1215330.0,78,80,97.5
1215330.0,80,80,100.0
1215348.0,78,80,97.5
1215348.0,80,80,100.0
1215748.5,78,80,97.5
1215748.5,80,80,100.0
1234459.5,79,80,98.75
1234459.5,80,80,100.0
1234483.5,79,80,98.75
1234483.5,80,80,100.0
1234588.0,79,80,98.75
1234588.0,79,80,98.75
1234599.0,78,80,97.5
1234599.0,80,80,100.0
1234691.5,78,80,97.5
1234691.5,80,80,100.0
1234768.0,78,80,97.5
1234768.0,80,80,100.0
1234838.5,78,80,97.5
1234838.5,80,80,100.0
1234920.0,78,80,97.5
1234920.0,80,80,100.0
1235667.0,79,80,98.75
1235667.0,80,80,100.0
1235767.5,79,80,98.75
1235767.5,80,80,100.0
1236124.5,78,80,97.5
1236124.5,80,80,100.0
1236234.0,78,80,97.5
1236234.0,80,80,100.0
1236345.5,78,80,97.5
1236345.5,80,80,100.0
1236467.0,78,80,97.5
1236467.0,80,80,100.0
1237741.5,78,80,97.5
1237741.5,80,80,100.0
1237798.0,79,80,98.75
1237798.0,80,80,100.0
1237800.0,79,80,98.75
1237800.0,80,80,100.0
1237877.5,79,80,98.75
1237877.5,79,80,98.75
1238004.0,79,80,98.75
1238012.5,78,80,97.5
1238012.5,80,80,100.0
1238112.0,78,80,97.5
1238112.0,79,80,98.75
1238162.5,78,80,97.5
1238162.5,78,80,97.5
1238179.0,78,80,97.5
1238342.5,77,80,96.25
1238342.5,77,80,96.25
1239854.0,77,80,96.25
1239878.0,77,80,96.25
1240806.0,78,80,97.5
1240854.0,78,80,97.5
1240918.5,77,80,96.25
1240918.5,77,80,96.25
1240957.0,78,80,97.5
1241002.0,79,80,98.75
1241059.5,78,80,97.5
1241059.5,78,80,97.5
1241091.5,77,80,96.25
1241091.5,77,80,96.25
1241117.0,78,80,97.5
1241143.0,79,80,98.75
1241208.5,78,80,97.5
1241208.5,78,80,97.5
1241264.5,77,80,96.25
1241264.5,77,80,96.25
1241309.0,78,80,97.5
1241420.0,79,80,98.75
1241442.5,78,80,97.5
1241442.5,78,80,97.5
1241459.0,78,80,97.5
1241523.5,77,80,96.25
1241523.5,77,80,96.25
1241626.0,78,80,97.5
1241651.0,79,80,98.75
1241691.0,80,80,100.0
1241727.5,79,80,98.75
1241727.5,79,80,98.75
1241751.5,78,80,97.5
1241751.5,78,80,97.5
1241810.0,79,80,98.75
1241814.5,78,80,97.5
1241814.5,78,80,97.5
1241888.5,77,80,96.25
1241888.5,77,80,96.25
1241973.0,77,80,96.25
1241985.0,78,80,97.5
1241998.0,79,80,98.75
1242084.5,78,80,97.5
1242084.5,78,80,97.5
1242116.5,77,80,96.25
1242116.5,77,80,96.25
1242466.0,78,80,97.5
1242486.0,78,80,97.5
1242490.0,79,80,98.75
1242586.5,78,80,97.5
1242586.5,77,80,96.25
1242586.5,77,80,96.25
1242818.0,78,80,97.5
1242828.0,79,80,98.75
1242837.0,80,80,100.0
1242909.5,79,80,98.75
1242909.5,78,80,97.5
1242909.5,78,80,97.5
1242929.5,77,80,96.25
1242929.5,77,80,96.25
1242981.0,78,80,97.5
1243079.5,77,80,96.25
1243079.5,77,80,96.25
1243088.0,78,80,97.5
1243273.0,79,80,98.75
1243375.0,79,80,98.75
1243443.5,78,80,97.5
1243443.5,78,80,97.5
1243576.0,79,80,98.75
1243630.0,80,80,100.0
1243661.5,79,80,98.75
1243661.5,79,80,98.75
1243728.5,78,80,97.5
1243728.5,78,80,97.5
1243765.0,79,80,98.75
1243818.0,80,80,100.0
1243895.5,79,80,98.75
1243895.5,79,80,98.75
1243922.5,78,80,97.5
1243922.5,78,80,97.5
1243952.0,79,80,98.75
1244038.5,78,80,97.5
1244038.5,78,80,97.5
1244045.0,79,80,98.75
1244200.0,79,80,98.75
1244215.5,78,80,97.5
1244215.5,78,80,97.5
1244216.0,79,80,98.75
1244248.0,79,80,98.75
1244309.5,78,80,97.5
1244309.5,78,80,97.5
1244370.0,79,80,98.75
1244481.0,80,80,100.0
1244522.5,79,80,98.75
1244522.5,79,80,98.75
1244545.0,80,80,100.0
1244589.5,79,80,98.75
1244589.5,79,80,98.75
1244644.0,80,80,100.0
1244645.5,79,80,98.75
1244645.5,79,80,98.75
1244710.0,79,80,98.75
1244729.0,79,80,98.75
1244743.5,78,80,97.5
1244743.5,78,80,97.5
1244761.0,79,80,98.75
1244823.0,79,80,98.75
1244864.5,78,80,97.5
1244864.5,78,80,97.5
1244991.0,79,80,98.75
1245101.5,78,80,97.5
1245101.5,78,80,97.5
1245235.0,78,80,97.5
1245476.0,78,80,97.5
1245728.0,80,80,100.0
1246171.5,78,80,97.5
1246171.5,80,80,100.0
1246271.0,79,80,98.75
1246271.0,79,80,98.75
1246276.0,79,80,98.75
1246298.0,80,80,100.0
1246307.0,79,80,98.75
1246307.0,79,80,98.75
1246439.0,79,80,98.75
1246617.0,79,80,98.75
1246784.5,78,80,97.5
1246784.5,80,80,100.0
1246896.0,78,80,97.5
1246896.0,80,80,100.0
1247005.5,78,80,97.5
1247005.5,78,80,97.5
1247181.0,80,80,100.0
1247290.5,78,80,97.5
1247290.5,78,80,97.5
1247296.0,78,80,97.5
1247449.0,78,80,97.5
1247466.0,78,80,97.5
1247550.0,78,80,97.5
1247722.5,77,80,96.25
1247722.5,80,80,100.0
1253124.5,64,80,80.0
1253124.5,80,80,100.0
1253132.4,76,80,95.0
1253132.4,75,80,93.75
1253132.4,80,80,100.0
1253133.8,72,80,90.0
1253133.8,80,80,100.0
1253161.3,76,80,95.0
1253161.3,80,80,100.0
1253168.3,78,80,97.5
1253168.3,80,80,100.0
1253171.0,78,80,97.5
1253171.0,80,80,100.0
1253178.6,79,80,98.75
1253178.6,80,80,100.0
1253189.3,78,80,97.5
1253189.3,80,80,100.0
1253199.1,76,80,95.0
1253199.1,80,80,100.0
1253223.2,78,80,97.5
1253223.2,80,80,100.0
1253227.4,76,80,95.0
1253227.4,80,80,100.0
1253284.5,79,80,98.75
1253284.5,80,80,100.0
1253338.5,79,80,98.75
1253338.5,80,80,100.0
1253393.2,79,80,98.75
1253393.2,80,80,100.0
1253403.5,79,80,98.75
1253403.5,80,80,100.0
1253411.7,79,80,98.75
1253411.7,80,80,100.0
1253463.5,79,80,98.75
1253463.5,80,80,100.0
1253471.6,79,80,98.75
1253471.6,80,80,100.0
1253472.4,76,80,95.0
1253472.4,80,80,100.0
1253529.2,79,80,98.75
1253529.2,80,80,100.0
1253544.1,76,80,95.0
1253544.1,80,80,100.0
1253569.9,79,80,98.75
1253569.9,80,80,100.0
1253577.4,79,80,98.75
1253577.4,80,80,100.0
1253606.3,79,80,98.75
1253606.3,80,80,100.0
1253630.1,79,80,98.75
1253630.1,79,80,98.75
1253633.7,78,80,97.5
1253633.7,80,80,100.0
1253680.0,79,80,98.75
1253680.0,80,80,100.0
1253728.3,79,80,98.75
1253728.3,80,80,100.0
1253752.0,79,80,98.75
1253752.0,79,80,98.75
1253773.7,75,80,93.75
1253773.7,79,80,98.75
