job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
394948#2,651507.0,651509.0,2.0,172800.5,8
396689#3,726051.0,726053.0,2.0,172800.5,4
396912#4,740189.0,740191.0,2.0,172800.5,8
399455#10,877980.0,877982.0,2.0,172800.5,16
399469#11,887700.0,887702.0,2.0,172800.5,2
399535#12,907426.0,907428.0,2.0,172800.5,16
399536#13,907520.0,907522.0,2.0,172800.5,16
402451#15,934855.0,934857.0,2.0,172800.5,1
402476#16,938030.0,938032.0,2.0,172800.5,8
402484#19,939494.0,939496.0,2.0,172800.5,8
406486#93,1195252.0,1195254.0,2.0,40.5,1
406489#96,1195643.0,1195645.0,2.0,4.5,1
406494#101,1196276.0,1196276.0,0.0,41.4,1
406128#48,1164348.0,1164350.0,2.0,33160.8,1
406520#124,1198997.0,1198999.0,2.0,36.5,1
406521#125,1199107.0,1199107.0,0.0,196.9,1
402781#22,1030805.0,1030807.0,2.0,172800.5,8
406542#146,1201406.0,1203609.5,2203.5,57.5,8
406535#139,1200831.0,1203669.0,2838.0,60.5,8
406504#110,1197621.0,1203731.5,6110.5,261.5,4
406513#117,1198327.0,1203731.5,5404.5,473.8,4
406518#122,1198965.0,1203729.5,4764.5,563.6,4
406528#132,1199544.0,1203995.0,4451.0,509.5,4
406541#145,1201395.0,1204205.3,2810.3,614.7,4
406551#155,1203798.0,1204293.1,495.1,622.5,4
406547#151,1202366.0,1204506.5,2140.5,566.5,4
406552#156,1204987.0,1205075.0,88.0,619.5,4
406351#61,1180735.0,1180735.0,0.0,29141.4,1
406352#62,1180763.0,1180765.0,2.0,29830.6,1
402939#26,1076570.0,1076572.0,2.0,135352.5,8
403257#30,1097311.0,1097311.0,0.0,115201.4,4
406553#157,1205948.0,1211926.5,5978.5,628.5,4
406559#163,1210061.0,1211926.5,1865.5,1162.5,2
406557#161,1209442.0,1211926.5,2484.5,1257.2,2
406556#160,1208911.0,1211924.5,3013.5,1277.4,2
406543#147,1201517.0,1213203.9,11686.9,290.5,8
406526#130,1199355.0,1199355.0,0.0,30232.0,1
406643#239,1234239.0,1234239.0,0.0,140.3,1
406645#241,1234419.0,1234419.0,0.0,125.8,1
406666#262,1235415.0,1235415.0,0.0,109.2,1
406682#278,1236871.0,1236871.0,0.0,60.3,1
406685#281,1237065.0,1237067.0,2.0,50.5,1
406688#284,1237182.0,1237182.0,0.0,85.8,1
406709#301,1237795.0,1237797.0,2.0,208.5,1
406718#309,1238071.0,1238071.0,0.0,53.6,1
406742#327,1240806.0,1240806.0,0.0,122.5,1
406748#333,1240957.0,1240959.0,2.0,98.5,1
406750#334,1241002.0,1241002.0,0.0,96.9,1
406751#335,1241117.0,1241117.0,0.0,99.2,1
406753#337,1241143.0,1241143.0,0.0,132.5,1
406756#340,1241309.0,1241309.0,0.0,138.3,1
406758#342,1241420.0,1241420.0,0.0,112.5,1
406763#346,1241626.0,1241628.0,2.0,97.5,1
406764#347,1241651.0,1241651.0,0.0,109.2,1
406765#348,1241691.0,1241691.0,0.0,134.7,1
406769#352,1241810.0,1241810.0,0.0,84.7,1
406773#356,1241985.0,1241985.0,0.0,108.1,1
406774#357,1241998.0,1242000.0,2.0,114.5,1
406548#152,1202572.0,1213496.4,10924.4,28621.5,8
406570#174,1224543.0,1242119.9,17576.9,1.5,4
406623#221,1233328.0,1242119.9,8791.9,18.3,4
406580#183,1227592.0,1242117.9,14525.9,46.5,4
406680#276,1236632.0,1242117.9,5485.9,205.0,4
406661#257,1235124.0,1242121.4,6997.4,224.6,4
406641#237,1234000.0,1242138.2,8138.2,237.2,4
406653#249,1234831.0,1242164.4,7333.4,238.0,4
