time_s,used_gpu,total_gpu,alloc_pct
651507.0,8,80,10.0
726051.0,12,80,15.0
740189.0,20,80,25.0
824311.5,12,80,15.0
877980.0,28,80,35.0
887700.0,30,80,37.5
898855.5,26,80,32.5
907426.0,42,80,52.5
907520.0,58,80,72.5
912993.5,50,80,62.5
934855.0,51,80,63.75
938030.0,59,80,73.75
939494.0,67,80,83.75
1030805.0,75,80,93.75
1050784.5,59,80,73.75
1060504.5,57,80,71.25
1075288.0,57,80,71.25
1076570.0,65,80,81.25
1080230.5,49,80,61.25
1080230.5,73,80,91.25
1080324.5,57,80,71.25
1089478.0,73,80,91.25
1092967.0,77,80,96.25
1097311.0,77,80,96.25
1107659.5,76,80,95.0
1107659.5,80,80,100.0
1110834.5,72,80,90.0
1112298.5,64,80,80.0
1153903.0,72,80,90.0
1161024.0,72,80,90.0
1161705.0,73,80,91.25
1162228.0,74,80,92.5
1162231.0,76,80,95.0
1164348.0,77,80,96.25
1165183.0,78,80,97.5
1165256.0,79,80,98.75
1168055.0,79,80,98.75
1169027.0,79,80,98.75
1169860.0,79,80,98.75
1170000.0,79,80,98.75
1176123.0,79,80,98.75
1180735.0,80,80,100.0
1195894.5,79,80,98.75
1195894.5,80,80,100.0
1195903.0,79,80,98.75
1195903.0,80,80,100.0
1195947.5,79,80,98.75
1195947.5,80,80,100.0
1203609.5,72,80,90.0
1203609.5,80,80,100.0
1203651.0,79,80,98.75
1203651.0,80,80,100.0
1203652.0,79,80,98.75
1203652.0,80,80,100.0
1203791.0,79,80,98.75
1203791.0,79,80,98.75
1203798.0,79,80,98.75
1203877.0,75,80,93.75
1203877.0,79,80,98.75
1204307.5,75,80,93.75
1204307.5,79,80,98.75
1204817.0,75,80,93.75
1204817.0,79,80,98.75
1204987.0,79,80,98.75
1205330.5,75,80,93.75
1205330.5,79,80,98.75
1205886.0,75,80,93.75
1205886.0,79,80,98.75
1205948.0,79,80,98.75
1206448.5,75,80,93.75
1206448.5,79,80,98.75
1207019.0,75,80,93.75
1207019.0,79,80,98.75
1207642.5,75,80,93.75
1207642.5,79,80,98.75
1208275.0,75,80,93.75
1208275.0,79,80,98.75
1208421.5,78,80,97.5
1208421.5,78,80,97.5
1208911.0,80,80,100.0
1210064.5,78,80,97.5
1210064.5,80,80,100.0
1211200.0,78,80,97.5
1211200.0,80,80,100.0
1211926.5,72,80,90.0
1211926.5,80,80,100.0
1211988.0,72,80,90.0
1211988.0,80,80,100.0
1212052.5,72,80,90.0
1212052.5,80,80,100.0
1212347.0,72,80,90.0
1212347.0,80,80,100.0
1212366.5,78,80,97.5
1212366.5,78,80,97.5
1217103.0,74,80,92.5
1217103.0,78,80,97.5
1223606.0,77,80,96.25
1223606.0,77,80,96.25
1224383.0,77,80,96.25
1224543.0,77,80,96.25
1226632.0,77,80,96.25
1226672.0,77,80,96.25
1227154.0,77,80,96.25
1227592.0,77,80,96.25
1227892.0,77,80,96.25
1228073.0,79,80,98.75
1229277.5,77,80,96.25
1229277.5,77,80,96.25
1229577.0,77,80,96.25
1229883.0,77,80,96.25
1231154.0,77,80,96.25
1231261.0,77,80,96.25
1231298.0,77,80,96.25
1231551.0,77,80,96.25
1231580.0,77,80,96.25
1231873.0,77,80,96.25
1232158.0,77,80,96.25
1232186.0,77,80,96.25
1232334.0,76,80,95.0
1232334.0,80,80,100.0
1232339.5,76,80,95.0
1232339.5,80,80,100.0
1232386.0,76,80,95.0
1232386.0,80,80,100.0
1240972.5,72,80,90.0
1240972.5,80,80,100.0
1240979.0,72,80,90.0
1240979.0,80,80,100.0
1241001.5,76,80,95.0
1241001.5,80,80,100.0
1241031.5,79,80,98.75
1241031.5,80,80,100.0
1241035.5,79,80,98.75
1241035.5,80,80,100.0
1241037.5,79,80,98.75
1241037.5,80,80,100.0
1241060.5,79,80,98.75
1241060.5,80,80,100.0
1241074.0,78,80,97.5
1241074.0,80,80,100.0
1241080.0,78,80,97.5
1241080.0,80,80,100.0
1241121.0,79,80,98.75
1241121.0,80,80,100.0
1241136.0,79,80,98.75
1241136.0,80,80,100.0
1241140.0,79,80,98.75
1241140.0,80,80,100.0
1241155.5,78,80,97.5
1241155.5,80,80,100.0
1241172.5,78,80,97.5
1241172.5,80,80,100.0
1241173.0,79,80,98.75
1241173.0,80,80,100.0
1241212.5,79,80,98.75
1241212.5,80,80,100.0
1241251.5,79,80,98.75
1241251.5,80,80,100.0
1241255.0,78,80,97.5
1241255.0,80,80,100.0
1241268.5,79,80,98.75
1241268.5,79,80,98.75
1241282.0,77,80,96.25
1241282.0,79,80,98.75
1241294.5,78,80,97.5
1241294.5,80,80,100.0
1241366.5,78,80,97.5
1241366.5,79,80,98.75
1241403.5,77,80,96.25
1241403.5,77,80,96.25
1241420.0,78,80,97.5
1241425.0,77,80,96.25
1241425.0,77,80,96.25
1241459.0,77,80,96.25
1241500.0,76,80,95.0
1241500.0,80,80,100.0
1241523.5,79,80,98.75
1241523.5,79,80,98.75
1241626.0,80,80,100.0
1241696.5,76,80,95.0
1241696.5,78,80,97.5
1241703.0,78,80,97.5
1241727.5,77,80,96.25
1241727.5,77,80,96.25
1241799.0,76,80,95.0
1241799.0,80,80,100.0
1241822.0,79,80,98.75
1241822.0,80,80,100.0
1241900.5,79,80,98.75
1241900.5,79,80,98.75
1241973.0,79,80,98.75
1241985.0,80,80,100.0
1242015.5,76,80,95.0
1242015.5,77,80,96.25
1242084.5,76,80,95.0
1242084.5,80,80,100.0
1242134.0,79,80,98.75
1242134.0,79,80,98.75
1242312.0,75,80,93.75
1242312.0,79,80,98.75
1242466.0,80,80,100.0
1242541.5,76,80,95.0
1242541.5,77,80,96.25
1242569.0,75,80,93.75
1242569.0,79,80,98.75
1242586.5,78,80,97.5
1242586.5,78,80,97.5
1242638.0,77,80,96.25
1242638.0,77,80,96.25
1242806.5,73,80,91.25
1242806.5,79,80,98.75
1242818.0,80,80,100.0
1242909.5,79,80,98.75
1242909.5,80,80,100.0
1242946.0,74,80,92.5
1242946.0,79,80,98.75
1242981.0,80,80,100.0
1242991.0,79,80,98.75
1242991.0,79,80,98.75
1243040.5,78,80,97.5
1243040.5,78,80,97.5
1243079.5,77,80,96.25
1243079.5,77,80,96.25
1243088.0,78,80,97.5
1243187.5,74,80,92.5
1243187.5,78,80,97.5
1243273.0,79,80,98.75
1243375.0,79,80,98.75
1243443.5,78,80,97.5
1243443.5,78,80,97.5
1243576.0,79,80,98.75
1243630.0,80,80,100.0
1243661.5,79,80,98.75
1243661.5,79,80,98.75
1243728.5,78,80,97.5
1243728.5,78,80,97.5
1243765.0,79,80,98.75
1243777.0,75,80,93.75
1243777.0,79,80,98.75
1243818.0,80,80,100.0
1243895.5,79,80,98.75
1243895.5,79,80,98.75
1243922.5,78,80,97.5
1243922.5,78,80,97.5
1243952.0,79,80,98.75
1244038.5,78,80,97.5
1244038.5,78,80,97.5
1244045.0,79,80,98.75
1244185.5,75,80,93.75
1244185.5,79,80,98.75
1244200.0,79,80,98.75
1244215.5,78,80,97.5
1244215.5,78,80,97.5
1244216.0,79,80,98.75
1244248.0,79,80,98.75
1244309.5,78,80,97.5
1244309.5,78,80,97.5
1244370.0,79,80,98.75
1244481.0,80,80,100.0
1244522.5,79,80,98.75
1244522.5,79,80,98.75
1244545.0,80,80,100.0
1244589.5,79,80,98.75
1244589.5,79,80,98.75
1244644.0,80,80,100.0
1244645.5,79,80,98.75
1244645.5,79,80,98.75
1244710.0,79,80,98.75
1244729.0,79,80,98.75
1244743.5,78,80,97.5
1244743.5,78,80,97.5
1244761.0,79,80,98.75
1244823.0,79,80,98.75
1244864.5,78,80,97.5
1244864.5,78,80,97.5
1244991.0,79,80,98.75
1245101.5,78,80,97.5
1245101.5,78,80,97.5
1245235.0,78,80,97.5
1245476.0,78,80,97.5
1245728.0,80,80,100.0
1246171.5,78,80,97.5
1246171.5,80,80,100.0
1246271.0,79,80,98.75
1246271.0,79,80,98.75
1246276.0,79,80,98.75
1246298.0,80,80,100.0
1246307.0,79,80,98.75
1246307.0,79,80,98.75
1246439.0,79,80,98.75
1246617.0,79,80,98.75
1246784.5,78,80,97.5
1246784.5,80,80,100.0
1246896.0,78,80,97.5
1246896.0,80,80,100.0
1247005.5,78,80,97.5
1247005.5,78,80,97.5
1247181.0,80,80,100.0
1247290.5,78,80,97.5
1247290.5,78,80,97.5
1247296.0,78,80,97.5
1247449.0,78,80,97.5
1247466.0,78,80,97.5
1247550.0,78,80,97.5
1247722.5,77,80,96.25
1247722.5,80,80,100.0
1251426.5,76,80,95.0
1251426.5,80,80,100.0
1251434.0,79,80,98.75
1251434.0,80,80,100.0
1251453.0,78,80,97.5
1251453.0,80,80,100.0
