time_s,used_gpu,total_gpu,alloc_pct
0.0,16,16,100.0
172806.5,15,16,93.75
172806.5,12,16,75.0
172806.5,10,16,62.5
172806.5,9,16,56.25
172806.5,15,16,93.75
183613.0,13,16,81.25
183613.0,16,16,100.0
187217.5,13,16,81.25
187217.5,13,16,81.25
241926.5,5,16,31.25
241926.5,4,16,25.0
241926.5,16,16,100.0
345613.0,12,16,75.0
345613.0,16,16,100.0
347773.0,12,16,75.0
347773.0,16,16,100.0
362893.0,15,16,93.75
362893.0,15,16,93.75
388097.5,11,16,68.75
388097.5,15,16,93.75
442800.0,15,16,93.75
460800.0,15,16,93.75
483853.0,8,16,50.0
483853.0,16,16,100.0
518417.5,12,16,75.0
518417.5,16,16,100.0
529222.0,12,16,75.0
529222.0,16,16,100.0
615626.5,12,16,75.0
615626.5,14,16,87.5
626431.0,12,16,75.0
626431.0,12,16,75.0
630022.0,8,16,50.0
630022.0,15,16,93.75
656659.5,12,16,75.0
656659.5,16,16,100.0
725779.5,11,16,68.75
725779.5,16,16,100.0
742346.0,14,16,87.5
742346.0,14,16,87.5
792000.0,14,16,87.5
829466.0,12,16,75.0
829466.0,12,16,75.0
871946.5,5,16,31.25
871946.5,11,16,68.75
950400.0,11,16,68.75
967706.0,8,16,50.0
967706.0,6,16,37.5
967706.0,14,16,87.5
1040400.0,14,16,87.5
1044751.0,8,16,50.0
1044751.0,14,16,87.5
1051955.5,8,16,50.0
1051955.5,15,16,93.75
1209630.5,7,16,43.75
1209630.5,16,16,100.0
1293880.0,9,16,56.25
1293880.0,14,16,87.5
1324800.0,14,16,87.5
1451557.0,11,16,68.75
1451557.0,5,16,31.25
1451557.0,16,16,100.0
1466684.5,11,16,68.75
1466684.5,16,16,100.0
1639489.0,11,16,68.75
1639489.0,15,16,93.75
1648800.0,15,16,93.75
1650293.5,11,16,68.75
1650293.5,14,16,87.5
1663200.0,14,16,87.5
1668298.0,11,16,68.75
1668298.0,11,16,68.75
1688443.5,10,16,62.5
1688443.5,10,16,62.5
1693483.5,2,16,12.5
1693483.5,0,16,0.0
1693483.5,16,16,100.0
1866290.0,9,16,56.25
1866290.0,15,16,93.75
1918800.0,15,16,93.75
1935410.0,11,16,68.75
1935410.0,8,16,50.0
1935410.0,6,16,37.5
1935410.0,16,16,100.0
1945496.5,10,16,62.5
1945496.5,16,16,100.0
2036223.0,12,16,75.0
2036223.0,12,16,75.0
2039094.5,6,16,37.5
2039094.5,14,16,87.5
2046296.5,11,16,68.75
2046296.5,15,16,93.75
2056376.5,14,16,87.5
2056376.5,14,16,87.5
2066463.0,12,16,75.0
2066463.0,15,16,93.75
2071507.5,12,16,75.0
2071507.5,12,16,75.0
2075099.0,4,16,25.0
2075099.0,15,16,93.75
2160000.0,15,16,93.75
2170800.0,15,16,93.75
2178000.0,15,16,93.75
2181600.0,15,16,93.75
2237105.5,8,16,50.0
2237105.5,14,16,87.5
2253600.0,14,16,87.5
2264400.0,14,16,87.5
2288221.0,10,16,62.5
2288221.0,16,16,100.0
2293265.5,10,16,62.5
2293265.5,14,16,87.5
2298310.0,10,16,62.5
2298310.0,13,16,81.25
2303354.5,10,16,62.5
2303354.5,10,16,62.5
2317025.5,7,16,43.75
2317025.5,6,16,37.5
2317025.5,15,16,93.75
2343600.0,15,16,93.75
2372400.0,15,16,93.75
2409910.0,9,16,56.25
2409910.0,16,16,100.0
2427912.0,9,16,56.25
2427912.0,14,16,87.5
2433600.0,14,16,87.5
2437992.0,12,16,75.0
2437992.0,16,16,100.0
2582716.5,12,16,75.0
2582716.5,16,16,100.0
2647521.0,12,16,75.0
2647521.0,12,16,75.0
2649676.5,7,16,43.75
2649676.5,12,16,75.0
2651836.5,9,16,56.25
2651836.5,16,16,100.0
2679916.5,12,16,75.0
2679916.5,16,16,100.0
2742563.0,15,16,93.75
2742563.0,16,16,100.0
2770643.0,15,16,93.75
2770643.0,15,16,93.75
2782800.0,15,16,93.75
2797200.0,15,16,93.75
2800883.0,12,16,75.0
2800883.0,16,16,100.0
2808087.5,15,16,93.75
2808087.5,15,16,93.75
2821047.5,11,16,68.75
2821047.5,11,16,68.75
2822481.0,6,16,37.5
2822481.0,14,16,87.5
2854800.0,14,16,87.5
2858483.0,9,16,56.25
2858483.0,16,16,100.0
2883683.0,15,16,93.75
2883683.0,16,16,100.0
3064405.5,8,16,50.0
3064405.5,15,16,93.75
3100407.5,8,16,50.0
3100407.5,16,16,100.0
3125607.5,15,16,93.75
3125607.5,16,16,100.0
3191134.0,15,16,93.75
3191134.0,16,16,100.0
3306330.0,9,16,56.25
3306330.0,16,16,100.0
3311374.5,9,16,56.25
3311374.5,9,16,56.25
3312098.5,8,16,50.0
3312098.5,16,16,100.0
3342334.0,12,16,75.0
3342334.0,9,16,56.25
3342334.0,16,16,100.0
3352420.5,15,16,93.75
3352420.5,15,16,93.75
3367532.0,14,16,87.5
3367532.0,14,16,87.5
3369600.0,14,16,87.5
3387600.0,14,16,87.5
