job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
run-pipeline-gpu-8z2pg-3801962406#4,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5k6vd-106796021#11,0.0,4.0,4.0,172800.0,3
run-pipeline-gpu-m46vh-3517775556#18,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-kb27t-3379495359#19,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-9w7hx-1761467166#366,7200.0,172810.5,165610.5,10800.0,2
run-pipeline-gpu-lhkgw-780639444#229,18000.0,183615.0,165615.0,3600.0,3
run-pipeline-gpu-5rxcj-280418497#28,0.0,4.0,4.0,172800.0,8
run-pipeline-gpu-qg98v-1803363110#362,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-fsvst-120632241#31,0.0,172810.5,172810.5,172800.0,4
run-pipeline-gpu-d4g2l-1314559116#70,0.0,241930.5,241930.5,75600.0,4
run-pipeline-gpu-mdx4s-1168587679#138,18000.0,241930.5,223930.5,86400.0,1
run-pipeline-gpu-rvpms-439587089#93,0.0,347775.0,347775.0,28800.0,4
run-pipeline-gpu-5brzp-577411358#64,0.0,241930.5,241930.5,172800.0,7
run-pipeline-gpu-hndcn-327083716#83,0.0,345615.0,345615.0,172800.0,4
run-pipeline-gpu-4vk2f-731439944#171,7200.0,518419.5,511219.5,10800.0,4
run-pipeline-gpu-jlbhf-3234668083#140,288000.0,529224.0,241224.0,86400.0,4
run-pipeline-gpu-flk62-1199582912#86,525600.0,615628.5,90028.5,10800.0,2
run-pipeline-gpu-9cb4p-1757353259#152,0.0,388099.5,388099.5,172800.0,4
run-pipeline-gpu-7bm6z-4041400377#154,0.0,483857.0,483857.0,172800.0,3
run-pipeline-gpu-clhnk-1829672999#172,0.0,483857.0,483857.0,172800.0,5
run-pipeline-gpu-7bv8q-4225584551#246,547200.0,656663.5,109463.5,61200.0,2
run-pipeline-gpu-9tnd8-1865815998#193,0.0,656663.5,656663.5,172800.0,2
run-pipeline-gpu-qzc8m-3277043400#180,0.0,630024.0,630024.0,172800.0,7
run-pipeline-gpu-btkf5-859327339#202,0.0,725783.5,725783.5,172800.0,3
run-pipeline-gpu-swq2n-3049610790#223,0.0,725783.5,725783.5,172800.0,2
run-pipeline-gpu-fds9m-4227584090#238,0.0,871948.5,871948.5,172800.0,6
run-pipeline-gpu-24kd7-1782892583#253,0.0,1044753.0,1044753.0,7200.0,6
run-pipeline-gpu-jhwg5-3735731488#247,0.0,967708.0,967708.0,172800.0,8
run-pipeline-gpu-g45q7-144219255#265,0.0,1051957.5,1051957.5,172800.0,7
run-pipeline-gpu-4tpsr-3420120526#289,0.0,1209634.5,1209634.5,172800.0,3
run-pipeline-gpu-5wkkh-1873314351#294,0.0,1209634.5,1209634.5,172800.0,6
run-pipeline-gpu-plv42-3561070837#303,0.0,1293882.0,1293882.0,172800.0,5
run-pipeline-gpu-qgdht-488548089#13,3600.0,1466686.5,1463086.5,172800.0,5
run-pipeline-gpu-s59wn-196915659#333,1573200.0,1639491.0,66291.0,10800.0,4
run-pipeline-gpu-p9zqk-3668461244#219,1648800.0,1650295.5,1495.5,18000.0,3
run-pipeline-gpu-2zm9z-2928502513#24,1040400.0,1451561.0,411161.0,169200.0,1
run-pipeline-gpu-fkkf5-2466719574#322,0.0,1451561.0,1451561.0,172800.0,8
run-pipeline-gpu-rr99f-3748743721#344,0.0,1451561.0,1451561.0,172800.0,2
run-pipeline-gpu-wt6nc-1871726909#351,0.0,1693487.5,1693487.5,172800.0,7
run-pipeline-gpu-g4qgc-2834592541#160,3600.0,1693487.5,1689887.5,172800.0,4
run-pipeline-gpu-5zvpv-747118082#190,21600.0,1693487.5,1671887.5,172800.0,3
run-pipeline-gpu-zwfd5-1679737841#76,950400.0,1693487.5,743087.5,172800.0,2
run-pipeline-gpu-4vppl-989390375#262,10800.0,1935414.0,1924614.0,7200.0,6
run-pipeline-gpu-2bswz-48392133#114,1573200.0,1945500.5,372300.5,64800.0,4
run-pipeline-gpu-wh6w8-2576682873#304,3600.0,1866292.0,1862692.0,172800.0,6
run-pipeline-gpu-z4hc6-3142920312#75,1562400.0,1935414.0,373014.0,79200.0,3
run-pipeline-gpu-4pbf4-2042923357#55,1648800.0,1935414.0,286614.0,86400.0,1
run-pipeline-gpu-z69vt-1590214906#127,1746000.0,1945500.5,199500.5,86400.0,2
run-pipeline-gpu-htrtb-3514714329#67,1731600.0,2066465.0,334865.0,3600.0,3
run-pipeline-gpu-cwpcn-377226272#34,21600.0,2039096.5,2017496.5,36000.0,8
run-pipeline-gpu-6gscd-4052565872#10,460800.0,2075103.0,1614303.0,162000.0,7
run-pipeline-gpu-82jgn-3511824822#92,442800.0,2046298.5,1603498.5,172800.0,4
run-pipeline-gpu-gmthr-2443386175#301,1731600.0,2288223.0,556623.0,3600.0,6
run-pipeline-gpu-rq2cx-1072744327#343,1731600.0,2293267.5,561667.5,3600.0,4
run-pipeline-gpu-5pv6q-1924182953#87,2181600.0,2298312.0,116712.0,3600.0,3
run-pipeline-gpu-w8jb5-714416263#240,522000.0,2075103.0,1553103.0,172800.0,3
run-pipeline-gpu-5j9bc-3339071754#297,1324800.0,2075103.0,750303.0,172800.0,1
run-pipeline-gpu-cgbdn-2299830279#242,529200.0,2237107.5,1707907.5,172800.0,6
run-pipeline-gpu-72s79-3342733295#206,612000.0,2317029.5,1705029.5,79200.0,7
