job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
run-pipeline-gpu-8z2pg-3801962406#4,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5k6vd-106796021#11,0.0,4.0,4.0,172800.0,3
run-pipeline-gpu-m46vh-3517775556#18,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-kb27t-3379495359#19,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5rxcj-280418497#28,0.0,4.0,4.0,172800.0,8
run-pipeline-gpu-qg98v-1803363110#362,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-fsvst-120632241#31,0.0,172810.5,172810.5,172800.0,4
run-pipeline-gpu-7bm6z-4041400377#154,0.0,172810.5,172810.5,172800.0,3
run-pipeline-gpu-d4g2l-1314559116#70,0.0,345617.0,345617.0,75600.0,4
run-pipeline-gpu-5brzp-577411358#64,0.0,241930.5,241930.5,172800.0,7
run-pipeline-gpu-9tnd8-1865815998#193,0.0,241930.5,241930.5,172800.0,2
run-pipeline-gpu-btkf5-859327339#202,0.0,345617.0,345617.0,172800.0,3
run-pipeline-gpu-rvpms-439587089#93,0.0,483857.0,483857.0,28800.0,4
run-pipeline-gpu-hndcn-327083716#83,0.0,421221.5,421221.5,172800.0,4
run-pipeline-gpu-mdx4s-1168587679#138,18000.0,483857.0,465857.0,86400.0,1
run-pipeline-gpu-swq2n-3049610790#223,0.0,518421.5,518421.5,172800.0,2
run-pipeline-gpu-9w7hx-1761467166#366,7200.0,691226.0,684026.0,10800.0,2
run-pipeline-gpu-flk62-1199582912#86,525600.0,702030.5,176430.5,10800.0,2
run-pipeline-gpu-9cb4p-1757353259#152,0.0,483857.0,483857.0,172800.0,4
run-pipeline-gpu-clhnk-1829672999#172,0.0,524181.5,524181.5,172800.0,5
run-pipeline-gpu-4tpsr-3420120526#289,0.0,594026.0,594026.0,172800.0,3
run-pipeline-gpu-lhkgw-780639444#229,18000.0,766830.5,748830.5,3600.0,3
run-pipeline-gpu-7bv8q-4225584551#246,547200.0,712835.0,165635.0,61200.0,2
run-pipeline-gpu-rr99f-3748743721#344,0.0,604821.5,604821.5,172800.0,2
run-pipeline-gpu-4vk2f-731439944#171,7200.0,846746.0,839546.0,10800.0,4
run-pipeline-gpu-5zvpv-747118082#190,21600.0,770435.0,748835.0,172800.0,3
run-pipeline-gpu-g4qgc-2834592541#160,3600.0,725781.5,722181.5,172800.0,4
run-pipeline-gpu-jlbhf-3234668083#140,288000.0,861870.5,573870.5,86400.0,4
run-pipeline-gpu-plv42-3561070837#303,0.0,766106.0,766106.0,172800.0,5
run-pipeline-gpu-w8jb5-714416263#240,522000.0,943239.5,421239.5,172800.0,3
run-pipeline-gpu-82jgn-3511824822#92,442800.0,967706.0,524906.0,172800.0,4
run-pipeline-gpu-9mw92-3717946137#178,694800.0,982835.0,288035.0,172800.0,4
run-pipeline-gpu-qgdht-488548089#13,3600.0,1008030.5,1004430.5,172800.0,5
run-pipeline-gpu-hbbgm-1746798765#205,694800.0,1116044.0,421244.0,172800.0,3
run-pipeline-gpu-2zm9z-2928502513#24,1040400.0,1209632.5,169232.5,169200.0,1
run-pipeline-gpu-9tzlh-1719621050#84,792000.0,1224759.5,432759.5,158400.0,5
run-pipeline-gpu-zwfd5-1679737841#76,950400.0,1209632.5,259232.5,172800.0,2
run-pipeline-gpu-lpcvm-2207421033#197,1216800.0,1249955.0,33155.0,172800.0,4
run-pipeline-gpu-5j9bc-3339071754#297,1324800.0,1324802.0,2.0,172800.0,1
run-pipeline-gpu-9bdds-2661085165#364,1324800.0,1446517.0,121717.0,172800.0,4
run-pipeline-gpu-8sq5w-318761477#271,1216800.0,1446524.0,229724.0,172800.0,5
run-pipeline-gpu-24kd7-1782892583#253,0.0,1688448.5,1688448.5,7200.0,6
run-pipeline-gpu-fds9m-4227584090#238,0.0,1491879.5,1491879.5,172800.0,6
run-pipeline-gpu-4pbf4-2042923357#55,1648800.0,1648802.0,2.0,86400.0,1
run-pipeline-gpu-jms8w-3551857596#192,1508400.0,1688441.5,180041.5,172800.0,3
run-pipeline-gpu-5wkkh-1873314351#294,0.0,1698533.0,1698533.0,172800.0,6
run-pipeline-gpu-wh6w8-2576682873#304,3600.0,1733804.0,1730204.0,172800.0,6
run-pipeline-gpu-4vppl-989390375#262,10800.0,1975728.5,1964928.5,7200.0,6
run-pipeline-gpu-z4hc6-3142920312#75,1562400.0,1930366.0,367966.0,79200.0,3
run-pipeline-gpu-p9zqk-3668461244#219,1648800.0,2009570.5,360770.5,18000.0,3
run-pipeline-gpu-htrtb-3514714329#67,1731600.0,2027575.0,295975.0,3600.0,3
run-pipeline-gpu-z69vt-1590214906#127,1746000.0,2031179.5,285179.5,86400.0,2
run-pipeline-gpu-qzc8m-3277043400#180,0.0,1940457.5,1940457.5,172800.0,7
run-pipeline-gpu-cgbdn-2299830279#242,529200.0,1985813.0,1456613.0,172800.0,6
run-pipeline-gpu-5fx6d-1307008704#90,1800000.0,2117584.0,317584.0,172800.0,3
run-pipeline-gpu-x5md5-3046812994#145,1836000.0,2290390.5,454390.5,86400.0,2
run-pipeline-gpu-g45q7-144219255#265,0.0,2182382.0,2182382.0,172800.0,7
run-pipeline-gpu-29bzk-2417305075#131,1220400.0,2227739.5,1007339.5,147600.0,5
run-pipeline-gpu-ff44j-3079852243#35,2372400.0,2376797.0,4397.0,64800.0,1
