time_s,used_gpu,total_gpu,alloc_pct
0.0,15,16,93.75
3600.0,15,16,93.75
7200.0,15,16,93.75
7202.5,15,16,93.75
7604.7,15,16,93.75
10800.0,15,16,93.75
18000.0,15,16,93.75
21600.0,15,16,93.75
40322.5,16,16,100.0
45365.0,15,16,93.75
55445.0,15,16,93.75
56240.8,15,16,93.75
152402.5,15,16,93.75
176803.0,15,16,93.75
195602.5,15,16,93.75
199207.0,15,16,93.75
199607.2,15,16,93.75
203205.5,16,16,100.0
203605.0,16,16,100.0
214008.0,16,16,100.0
214576.4,16,16,100.0
241922.5,14,16,87.5
255364.7,16,16,100.0
266804.7,16,16,100.0
268404.7,16,16,100.0
272003.0,14,16,87.5
272402.5,14,16,87.5
279376.5,14,16,87.5
282786.9,14,16,87.5
283040.9,15,16,93.75
287287.5,13,16,81.25
288000.0,13,16,81.25
294977.6,13,16,81.25
376008.0,13,16,81.25
390789.4,13,16,81.25
395208.0,14,16,87.5
395210.5,14,16,87.5
396473.6,14,16,87.5
396473.6,14,16,87.5
442800.0,14,16,87.5
460800.0,14,16,87.5
461273.8,14,16,87.5
464684.2,14,16,87.5
468473.5,14,16,87.5
497287.2,15,16,93.75
497289.7,15,16,93.75
516170.5,16,16,100.0
522000.0,16,16,100.0
524963.4,16,16,100.0
525121.4,16,16,100.0
525600.0,16,16,100.0
529200.0,16,16,100.0
547200.0,16,16,100.0
576476.1,16,16,100.0
582160.3,16,16,100.0
588476.1,16,16,100.0
612000.0,16,16,100.0
646960.3,14,16,87.5
650370.7,14,16,87.5
657762.8,14,16,87.5
658962.8,14,16,87.5
694800.0,14,16,87.5
709363.1,16,16,100.0
714962.8,16,16,100.0
739209.7,12,16,75.0
758093.0,15,16,93.75
764078.6,15,16,93.75
771775.9,15,16,93.75
776655.1,15,16,93.75
792000.0,15,16,93.75
808495.5,14,16,87.5
882165.6,15,16,93.75
919378.0,13,16,81.25
944420.1,15,16,93.75
950400.0,15,16,93.75
963602.5,15,16,93.75
1040400.0,16,16,100.0
1103928.1,13,16,81.25
1161300.5,14,16,87.5
1186342.6,15,16,93.75
1216800.0,15,16,93.75
1220400.0,15,16,93.75
1234800.0,15,16,93.75
1238400.0,15,16,93.75
1242000.0,15,16,93.75
1277282.5,14,16,87.5
1324800.0,15,16,93.75
1345850.6,13,16,81.25
1403223.0,15,16,93.75
1428265.1,14,16,87.5
1497602.5,13,16,81.25
1508400.0,16,16,100.0
1562400.0,16,16,100.0
1573200.0,16,16,100.0
1584000.0,16,16,100.0
1589118.3,16,16,100.0
1609200.0,16,16,100.0
1634907.6,14,16,87.5
1645145.5,16,16,100.0
1645943.4,16,16,100.0
1648800.0,16,16,100.0
1648934.0,16,16,100.0
1652257.0,16,16,100.0
1663200.0,16,16,100.0
1668802.5,16,16,100.0
1681202.5,16,16,100.0
1683204.8,14,16,87.5
1684804.7,14,16,87.5
1686154.7,16,16,100.0
1689920.8,16,16,100.0
1731600.0,16,16,100.0
1735868.0,13,16,81.25
1739470.5,14,16,87.5
1742400.0,14,16,87.5
1744513.0,16,16,100.0
1745790.1,13,16,81.25
1746000.0,15,16,93.75
1749555.5,16,16,100.0
1753200.0,16,16,100.0
1754598.0,16,16,100.0
1769607.2,15,16,93.75
1776877.2,15,16,93.75
1800000.0,15,16,93.75
1830200.5,16,16,100.0
1836000.0,16,16,100.0
1843200.0,16,16,100.0
1866962.5,16,16,100.0
1885643.0,16,16,100.0
1887759.7,15,16,93.75
1918800.0,15,16,93.75
1941085.5,14,16,87.5
1987925.0,16,16,100.0
2023842.2,15,16,93.75
2072123.0,12,16,75.0
2160000.0,13,16,81.25
2170800.0,13,16,81.25
2178000.0,13,16,81.25
2181600.0,16,16,100.0
2183008.0,16,16,100.0
2186642.5,13,16,81.25
2229847.5,13,16,81.25
2253600.0,16,16,100.0
2264400.0,16,16,100.0
2265764.7,16,16,100.0
2332802.5,16,16,100.0
2341330.9,16,16,100.0
2343600.0,16,16,100.0
2344929.0,15,16,93.75
2345118.3,15,16,93.75
2372400.0,16,16,100.0
2374562.5,16,16,100.0
2376194.1,16,16,100.0
2414850.5,16,16,100.0
2419202.5,16,16,100.0
2422800.0,16,16,100.0
2427461.3,16,16,100.0
2433600.0,16,16,100.0
2440800.0,16,16,100.0
2445165.0,16,16,100.0
2445461.7,16,16,100.0
2448000.0,16,16,100.0
2448637.8,16,16,100.0
2450472.8,16,16,100.0
2455780.5,16,16,100.0
2456112.2,16,16,100.0
2459560.8,16,16,100.0
2459826.1,16,16,100.0
2460091.5,16,16,100.0
2460318.3,16,16,100.0
2460851.8,16,16,100.0
2461583.7,16,16,100.0
2461712.4,16,16,100.0
2471770.0,16,16,100.0
2476812.5,16,16,100.0
2479653.0,15,16,93.75
2480373.0,15,16,93.75
2481143.4,15,16,93.75
2482166.0,15,16,93.75
2483821.4,15,16,93.75
2483823.9,15,16,93.75
2483971.9,15,16,93.75
2484572.0,15,16,93.75
2496975.0,16,16,100.0
2502017.5,16,16,100.0
2505600.0,16,16,100.0
2507687.2,16,16,100.0
2509200.0,16,16,100.0
2512100.0,16,16,100.0
2512800.0,16,16,100.0
2522182.5,15,16,93.75
2523600.0,15,16,93.75
2527200.0,15,16,93.75
2527849.7,15,16,93.75
2528257.6,15,16,93.75
2530683.4,15,16,93.75
2533378.6,15,16,93.75
2542345.0,15,16,93.75
2552809.8,15,16,93.75
2554968.5,15,16,93.75
2574543.9,15,16,93.75
2607867.5,15,16,93.75
2613602.5,15,16,93.75
2614252.2,15,16,93.75
2617919.7,14,16,87.5
2618572.2,14,16,87.5
2620800.0,16,16,100.0
2622318.3,16,16,100.0
2623852.2,16,16,100.0
2626260.1,16,16,100.0
2628652.2,16,16,100.0
2629518.4,15,16,93.75
2629897.2,15,16,93.75
2630012.2,15,16,93.75
2632802.5,15,16,93.75
2634181.1,15,16,93.75
2653852.4,16,16,100.0
2656652.2,16,16,100.0
2656800.0,16,16,100.0
2673390.0,16,16,100.0
2679683.2,16,16,100.0
2682297.3,16,16,100.0
2696400.0,16,16,100.0
2707202.5,14,16,87.5
2710252.4,16,16,100.0
2719852.2,16,16,100.0
2738912.5,16,16,100.0
2757054.9,16,16,100.0
2782800.0,16,16,100.0
2797200.0,16,16,100.0
2816466.4,15,16,93.75
2825457.4,16,16,100.0
2829635.0,16,16,100.0
2854800.0,16,16,100.0
2862000.0,16,16,100.0
2874548.9,16,16,100.0
2876400.0,16,16,100.0
2878619.8,16,16,100.0
2883600.0,16,16,100.0
2884667.3,16,16,100.0
2890979.9,15,16,93.75
2895774.9,16,16,100.0
2896022.4,16,16,100.0
2902868.9,15,16,93.75
2927273.5,15,16,93.75
2929834.1,15,16,93.75
2941200.0,15,16,93.75
2950597.5,16,16,100.0
3016120.0,16,16,100.0
3038400.0,16,16,100.0
3042000.0,16,16,100.0
3049200.0,16,16,100.0
3081642.5,13,16,81.25
3114000.0,13,16,81.25
3123103.0,16,16,100.0
