time_s,used_gpu,total_gpu,alloc_pct
0.0,15,16,93.75
3600.0,15,16,93.75
7200.0,15,16,93.75
10800.0,15,16,93.75
18000.0,15,16,93.75
21600.0,15,16,93.75
172806.5,14,16,87.5
172806.5,11,16,68.75
172806.5,9,16,56.25
172806.5,8,16,50.0
172806.5,12,16,75.0
241926.5,4,16,25.0
241926.5,15,16,93.75
288000.0,15,16,93.75
345611.0,11,16,68.75
345611.0,15,16,93.75
347773.0,11,16,68.75
347773.0,15,16,93.75
388097.5,11,16,68.75
388097.5,15,16,93.75
442800.0,15,16,93.75
460800.0,15,16,93.75
483853.0,8,16,50.0
483853.0,16,16,100.0
518415.5,12,16,75.0
518415.5,14,16,87.5
522000.0,16,16,100.0
630022.0,12,16,75.0
630022.0,15,16,93.75
656659.5,12,16,75.0
656659.5,12,16,75.0
691220.0,10,16,62.5
691220.0,10,16,62.5
694800.0,10,16,62.5
694804.5,8,16,50.0
694804.5,15,16,93.75
725779.5,10,16,62.5
725779.5,16,16,100.0
867609.0,9,16,56.25
867609.0,9,16,56.25
871946.5,6,16,37.5
871946.5,14,16,87.5
950400.0,14,16,87.5
967704.0,8,16,50.0
967704.0,14,16,87.5
977788.5,8,16,50.0
977788.5,15,16,93.75
1040400.0,15,16,93.75
1113871.0,7,16,43.75
1113871.0,16,16,100.0
1219713.0,9,16,56.25
1219713.0,14,16,87.5
1220400.0,16,16,100.0
1286677.5,13,16,81.25
1286677.5,14,16,87.5
1324800.0,16,16,100.0
1335604.5,14,16,87.5
1335604.5,15,16,93.75
1355797.5,9,16,56.25
1355797.5,9,16,56.25
1422009.0,8,16,50.0
1422009.0,16,16,100.0
1459482.0,15,16,93.75
1459482.0,15,16,93.75
1461637.5,10,16,62.5
1461637.5,15,16,93.75
1462324.5,13,16,81.25
1462324.5,13,16,81.25
1508400.0,13,16,81.25
1562400.0,13,16,81.25
1573200.0,13,16,81.25
1584000.0,13,16,81.25
1609200.0,13,16,81.25
1648800.0,13,16,81.25
1663200.0,13,16,81.25
1663933.5,5,16,31.25
1663933.5,16,16,100.0
1703562.0,11,16,68.75
1703562.0,15,16,93.75
1718686.5,11,16,68.75
1718686.5,14,16,87.5
1723731.0,11,16,68.75
1723731.0,11,16,68.75
1731600.0,11,16,68.75
1742400.0,11,16,68.75
1746000.0,11,16,68.75
1753200.0,11,16,68.75
1800000.0,11,16,68.75
1836000.0,11,16,68.75
1843200.0,11,16,68.75
1905860.0,4,16,25.0
1905860.0,0,16,0.0
1905860.0,12,16,75.0
1915946.5,6,16,37.5
1915946.5,14,16,87.5
1918800.0,14,16,87.5
1966351.0,6,16,37.5
1966351.0,13,16,81.25
2078666.5,7,16,43.75
2078666.5,11,16,68.75
2087317.5,7,16,43.75
2087317.5,14,16,87.5
2160000.0,14,16,87.5
2170800.0,14,16,87.5
2178000.0,14,16,87.5
2181600.0,14,16,87.5
2208277.5,11,16,68.75
2208277.5,16,16,100.0
2223404.0,14,16,87.5
2223404.0,16,16,100.0
2251471.0,12,16,75.0
2251471.0,12,16,75.0
2253600.0,12,16,75.0
2264400.0,12,16,75.0
2309088.5,10,16,62.5
2309088.5,16,16,100.0
2314122.0,9,16,56.25
2314122.0,13,16,81.25
2343600.0,16,16,100.0
2450204.0,13,16,81.25
2450204.0,15,16,93.75
2505600.0,16,16,100.0
2551013.0,10,16,62.5
2551013.0,14,16,87.5
2556046.5,10,16,62.5
2556046.5,15,16,93.75
2585524.5,12,16,75.0
2585524.5,12,16,75.0
2620800.0,12,16,75.0
2623008.5,10,16,62.5
2623008.5,15,16,93.75
2656800.0,16,16,100.0
2723817.5,12,16,75.0
2723817.5,12,16,75.0
2742484.5,11,16,68.75
2742484.5,16,16,100.0
2777811.0,11,16,68.75
2777811.0,14,16,87.5
2782800.0,15,16,93.75
2797200.0,15,16,93.75
2854800.0,15,16,93.75
2862000.0,15,16,93.75
2864933.0,10,16,62.5
2864933.0,10,16,62.5
2876400.0,10,16,62.5
2883600.0,10,16,62.5
2898724.5,9,16,56.25
2898724.5,16,16,100.0
2903764.5,15,16,93.75
2903764.5,15,16,93.75
2941200.0,15,16,93.75
2949129.0,10,16,62.5
2949129.0,14,16,87.5
3009609.0,7,16,43.75
3009609.0,15,16,93.75
3019735.5,12,16,75.0
3019735.5,15,16,93.75
3038400.0,15,16,93.75
3042000.0,15,16,93.75
3049200.0,15,16,93.75
3114000.0,15,16,93.75
3121933.5,11,16,68.75
3121933.5,15,16,93.75
3128400.0,15,16,93.75
3130620.0,12,16,75.0
3130620.0,14,16,87.5
3135600.0,14,16,87.5
3186738.0,10,16,62.5
3186738.0,10,16,62.5
3217024.5,8,16,50.0
3217024.5,15,16,93.75
3251533.5,7,16,43.75
3251533.5,14,16,87.5
3369600.0,14,16,87.5
3387600.0,14,16,87.5
3412800.0,14,16,87.5
3458949.0,7,16,43.75
3458949.0,15,16,93.75
3466800.0,16,16,100.0
3493458.0,9,16,56.25
3493458.0,15,16,93.75
3499200.0,16,16,100.0
3549673.5,8,16,50.0
3549673.5,14,16,87.5
3564000.0,14,16,87.5
3567600.0,14,16,87.5
3578400.0,14,16,87.5
3584182.5,8,16,50.0
3584182.5,12,16,75.0
3599307.0,8,16,50.0
3599307.0,15,16,93.75
3614478.0,9,16,56.25
3614478.0,14,16,87.5
3654000.0,14,16,87.5
3664800.0,14,16,87.5
3674911.5,7,16,43.75
3674911.5,16,16,100.0
3692918.0,13,16,81.25
3692918.0,16,16,100.0
3696522.5,13,16,81.25
3696522.5,13,16,81.25
3708724.5,12,16,75.0
3708724.5,16,16,100.0
3711682.5,11,16,68.75
3711682.5,11,16,68.75
3713769.0,7,16,43.75
3713769.0,13,16,81.25
3717373.5,7,16,43.75
3717373.5,14,16,87.5
3720978.0,7,16,43.75
3720978.0,16,16,100.0
3731044.5,15,16,93.75
3731044.5,15,16,93.75
3736800.0,15,16,93.75
3747600.0,15,16,93.75
3785798.0,9,16,56.25
3785798.0,16,16,100.0
3893784.5,12,16,75.0
3893784.5,15,16,93.75
3920400.0,15,16,93.75
3962904.5,10,16,62.5
3962904.5,15,16,93.75
3974400.0,15,16,93.75
3988800.0,15,16,93.75
3992400.0,15,16,93.75
3996000.0,15,16,93.75
3999600.0,15,16,93.75
4002509.0,10,16,62.5
4002509.0,14,16,87.5
4027722.5,7,16,43.75
4027722.5,16,16,100.0
4066589.0,13,16,81.25
4066589.0,15,16,93.75
4078800.0,16,16,100.0
4083169.0,11,16,68.75
4083169.0,11,16,68.75
4089600.0,11,16,68.75
4143604.5,10,16,62.5
4143604.5,16,16,100.0
4152993.5,14,16,87.5
4152993.5,16,16,100.0
4175313.5,12,16,75.0
4175313.5,16,16,100.0
4217798.0,14,16,87.5
4217798.0,16,16,100.0
4264602.5,14,16,87.5
4264602.5,14,16,87.5
4269649.0,10,16,62.5
4269649.0,15,16,93.75
4345200.0,16,16,100.0
4348118.0,12,16,75.0
4348118.0,16,16,100.0
