job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
run-pipeline-gpu-8z2pg-3801962406#4,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5k6vd-106796021#11,0.0,4.0,4.0,172800.0,3
run-pipeline-gpu-m46vh-3517775556#18,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-kb27t-3379495359#19,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5rxcj-280418497#28,0.0,4.0,4.0,172800.0,8
run-pipeline-gpu-fsvst-120632241#31,0.0,172808.5,172808.5,172800.0,4
run-pipeline-gpu-d4g2l-1314559116#70,0.0,241930.5,241930.5,75600.0,4
run-pipeline-gpu-rvpms-439587089#93,0.0,347775.0,347775.0,28800.0,4
run-pipeline-gpu-5brzp-577411358#64,0.0,241930.5,241930.5,172800.0,7
run-pipeline-gpu-hndcn-327083716#83,0.0,345613.0,345613.0,172800.0,4
run-pipeline-gpu-9cb4p-1757353259#152,0.0,388099.5,388099.5,172800.0,4
run-pipeline-gpu-7bm6z-4041400377#154,0.0,483857.0,483857.0,172800.0,3
run-pipeline-gpu-9tnd8-1865815998#193,0.0,518417.5,518417.5,172800.0,2
run-pipeline-gpu-swq2n-3049610790#223,0.0,522002.0,522002.0,172800.0,2
run-pipeline-gpu-clhnk-1829672999#172,0.0,483857.0,483857.0,172800.0,5
run-pipeline-gpu-qzc8m-3277043400#180,0.0,694806.5,694806.5,172800.0,7
run-pipeline-gpu-btkf5-859327339#202,0.0,630024.0,630024.0,172800.0,3
run-pipeline-gpu-fds9m-4227584090#238,0.0,725781.5,725781.5,172800.0,6
run-pipeline-gpu-24kd7-1782892583#253,0.0,967706.0,967706.0,7200.0,6
run-pipeline-gpu-jhwg5-3735731488#247,0.0,871948.5,871948.5,172800.0,8
run-pipeline-gpu-g45q7-144219255#265,0.0,977790.5,977790.5,172800.0,7
run-pipeline-gpu-4tpsr-3420120526#289,0.0,1113875.0,1113875.0,172800.0,3
run-pipeline-gpu-9w7hx-1761467166#366,7200.0,1324802.0,1317602.0,10800.0,2
run-pipeline-gpu-5wkkh-1873314351#294,0.0,1113875.0,1113875.0,172800.0,6
run-pipeline-gpu-mdx4s-1168587679#138,18000.0,1335606.5,1317606.5,86400.0,1
run-pipeline-gpu-qg98v-1803363110#362,0.0,1286679.5,1286679.5,172800.0,1
run-pipeline-gpu-plv42-3561070837#303,0.0,1219715.0,1219715.0,172800.0,5
run-pipeline-gpu-rr99f-3748743721#344,0.0,1220402.0,1220402.0,172800.0,2
run-pipeline-gpu-fkkf5-2466719574#322,0.0,1422011.0,1422011.0,172800.0,8
run-pipeline-gpu-qgdht-488548089#13,3600.0,1461639.5,1458039.5,172800.0,5
run-pipeline-gpu-4vk2f-731439944#171,7200.0,1703564.0,1696364.0,10800.0,4
run-pipeline-gpu-lhkgw-780639444#229,18000.0,1718688.5,1700688.5,3600.0,3
run-pipeline-gpu-wt6nc-1871726909#351,0.0,1663937.5,1663937.5,172800.0,7
run-pipeline-gpu-g4qgc-2834592541#160,3600.0,1663937.5,1660337.5,172800.0,4
run-pipeline-gpu-4vppl-989390375#262,10800.0,1905864.0,1895064.0,7200.0,6
run-pipeline-gpu-cwpcn-377226272#34,21600.0,1915948.5,1894348.5,36000.0,8
run-pipeline-gpu-wh6w8-2576682873#304,3600.0,1905864.0,1902264.0,172800.0,6
run-pipeline-gpu-jlbhf-3234668083#140,288000.0,1966355.0,1678355.0,86400.0,4
run-pipeline-gpu-5zvpv-747118082#190,21600.0,1966355.0,1944755.0,172800.0,3
run-pipeline-gpu-flk62-1199582912#86,525600.0,2208281.5,1682681.5,10800.0,2
run-pipeline-gpu-82jgn-3511824822#92,442800.0,2078668.5,1635868.5,172800.0,4
run-pipeline-gpu-7bv8q-4225584551#246,547200.0,2223406.0,1676206.0,61200.0,2
run-pipeline-gpu-6gscd-4052565872#10,460800.0,2087319.5,1626519.5,162000.0,7
run-pipeline-gpu-w8jb5-714416263#240,522000.0,2208281.5,1686281.5,172800.0,3
run-pipeline-gpu-cgbdn-2299830279#242,529200.0,2309090.5,1779890.5,172800.0,6
run-pipeline-gpu-9mw92-3717946137#178,694800.0,2314124.0,1619324.0,172800.0,4
run-pipeline-gpu-hbbgm-1746798765#205,694800.0,2343602.0,1648802.0,172800.0,3
run-pipeline-gpu-zwfd5-1679737841#76,950400.0,2450206.0,1499806.0,172800.0,2
run-pipeline-gpu-lpcvm-2207421033#197,1216800.0,2551015.0,1334215.0,172800.0,4
run-pipeline-gpu-2zm9z-2928502513#24,1040400.0,2505602.0,1465202.0,169200.0,1
run-pipeline-gpu-9tzlh-1719621050#84,792000.0,2556048.5,1764048.5,158400.0,5
run-pipeline-gpu-8sq5w-318761477#271,1216800.0,2623010.5,1406210.5,172800.0,5
run-pipeline-gpu-5j9bc-3339071754#297,1324800.0,2656802.0,1332002.0,172800.0,1
run-pipeline-gpu-4pbf4-2042923357#55,1648800.0,2782802.0,1134002.0,86400.0,1
run-pipeline-gpu-29bzk-2417305075#131,1220400.0,2742486.5,1522086.5,147600.0,5
run-pipeline-gpu-72s79-3342733295#206,612000.0,2898726.5,2286726.5,79200.0,7
run-pipeline-gpu-jms8w-3551857596#192,1508400.0,2777813.0,1269413.0,172800.0,3
run-pipeline-gpu-9bdds-2661085165#364,1324800.0,2949131.0,1624331.0,172800.0,4
