time_s,used_gpu,total_gpu,alloc_pct
0.0,16,16,100.0
7206.5,10,16,62.5
7206.5,16,16,100.0
18013.0,12,16,75.0
18013.0,10,16,62.5
18013.0,16,16,100.0
21619.5,13,16,81.25
21619.5,16,16,100.0
40326.5,12,16,75.0
40326.5,16,16,100.0
104419.5,15,16,93.75
104419.5,16,16,100.0
105846.5,12,16,75.0
105846.5,16,16,100.0
190819.5,14,16,87.5
190819.5,16,16,100.0
194424.0,13,16,81.25
194424.0,16,16,100.0
241926.5,15,16,93.75
241926.5,14,16,87.5
241926.5,16,16,100.0
277224.0,15,16,93.75
277224.0,15,16,93.75
282251.0,11,16,68.75
282251.0,15,16,93.75
288000.0,15,16,93.75
347771.0,11,16,68.75
347771.0,15,16,93.75
363624.0,13,16,81.25
363624.0,16,16,100.0
367228.5,13,16,81.25
367228.5,16,16,100.0
468735.5,12,16,75.0
468735.5,14,16,87.5
483851.0,12,16,75.0
483851.0,16,16,100.0
524175.5,12,16,75.0
524175.5,15,16,93.75
525600.0,15,16,93.75
529200.0,15,16,93.75
540033.0,12,16,75.0
540033.0,14,16,87.5
547200.0,16,16,100.0
550837.5,14,16,87.5
550837.5,14,16,87.5
605548.5,11,16,68.75
605548.5,16,16,100.0
632884.5,14,16,87.5
632884.5,14,16,87.5
694800.0,14,16,87.5
696980.0,11,16,68.75
696980.0,16,16,100.0
710660.0,14,16,87.5
710660.0,14,16,87.5
725775.5,10,16,62.5
725775.5,16,16,100.0
735860.0,10,16,62.5
735860.0,16,16,100.0
847473.0,11,16,68.75
847473.0,16,16,100.0
938904.5,11,16,68.75
938904.5,16,16,100.0
977784.5,10,16,62.5
977784.5,16,16,100.0
1069237.5,11,16,68.75
1069237.5,16,16,100.0
1180829.0,11,16,68.75
1180829.0,16,16,100.0
1219709.0,10,16,62.5
1219709.0,16,16,100.0
1238444.0,15,16,93.75
1238444.0,15,16,93.75
1242000.0,15,16,93.75
1311164.0,11,16,68.75
1311164.0,16,16,100.0
1353635.5,13,16,81.25
1353635.5,16,16,100.0
1422755.5,14,16,87.5
1422755.5,15,16,93.75
1461633.5,9,16,56.25
1461633.5,16,16,100.0
1517808.5,11,16,68.75
1517808.5,15,16,93.75
1526440.0,12,16,75.0
1526440.0,16,16,100.0
1572518.0,9,16,56.25
1572518.0,16,16,100.0
1595560.0,15,16,93.75
1595560.0,15,16,93.75
1609200.0,15,16,93.75
1648800.0,16,16,100.0
1683404.5,13,16,81.25
1683404.5,16,16,100.0
1690613.0,12,16,75.0
1690613.0,16,16,100.0
1701417.5,12,16,75.0
1701417.5,16,16,100.0
1708609.0,13,16,81.25
1708609.0,16,16,100.0
1735204.5,15,16,93.75
1735204.5,15,16,93.75
1742400.0,15,16,93.75
1746000.0,15,16,93.75
1753200.0,15,16,93.75
1766222.0,11,16,68.75
1766222.0,16,16,100.0
1768364.5,12,16,75.0
1768364.5,16,16,100.0
1769828.5,13,16,81.25
1769828.5,13,16,81.25
1773409.0,9,16,56.25
1773409.0,15,16,93.75
1777013.5,9,16,56.25
1777013.5,16,16,100.0
1782058.0,9,16,56.25
1782058.0,16,16,100.0
1814444.5,12,16,75.0
1814444.5,16,16,100.0
1852628.5,14,16,87.5
1852628.5,16,16,100.0
1857662.5,9,16,56.25
1857662.5,14,16,87.5
1897267.0,9,16,56.25
1897267.0,14,16,87.5
1918800.0,14,16,87.5
1936871.5,9,16,56.25
1936871.5,15,16,93.75
1939033.0,13,16,81.25
1939033.0,16,16,100.0
1950533.5,13,16,81.25
1950533.5,13,16,81.25
2001676.0,7,16,43.75
2001676.0,15,16,93.75
2052080.5,7,16,43.75
2052080.5,15,16,93.75
2056369.0,11,16,68.75
2056369.0,16,16,100.0
2142805.0,8,16,50.0
2142805.0,14,16,87.5
2160000.0,15,16,93.75
2170800.0,16,16,100.0
2180957.5,13,16,81.25
2180957.5,13,16,81.25
2181600.0,16,16,100.0
2186644.5,13,16,81.25
2186644.5,13,16,81.25
2192453.5,8,16,50.0
2192453.5,14,16,87.5
2207609.5,8,16,50.0
2207609.5,14,16,87.5
2253600.0,14,16,87.5
2264400.0,14,16,87.5
2303338.0,8,16,50.0
2303338.0,14,16,87.5
2343600.0,14,16,87.5
2343662.5,8,16,50.0
2343662.5,14,16,87.5
2366014.0,8,16,50.0
2366014.0,15,16,93.75
2372400.0,16,16,100.0
2401924.5,15,16,93.75
2401924.5,16,16,100.0
2402644.5,15,16,93.75
2402644.5,16,16,100.0
2437924.5,15,16,93.75
2437924.5,16,16,100.0
