job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
run-pipeline-gpu-9w7hx-1761467166#366,7200.0,7202.0,2.0,10800.0,2
run-pipeline-gpu-mdx4s-1168587679#138,18000.0,22326.5,4326.5,86400.0,1
run-pipeline-gpu-8z2pg-3801962406#4,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-kb27t-3379495359#19,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-qg98v-1803363110#362,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-m46vh-3517775556#18,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-9tnd8-1865815998#193,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-lhkgw-780639444#229,18000.0,172810.5,154810.5,3600.0,3
run-pipeline-gpu-24kd7-1782892583#253,0.0,172810.5,172810.5,7200.0,6
run-pipeline-gpu-4vk2f-731439944#171,7200.0,182895.0,175695.0,10800.0,4
run-pipeline-gpu-4vppl-989390375#262,10800.0,193699.5,182899.5,7200.0,6
run-pipeline-gpu-rvpms-439587089#93,0.0,203784.0,203784.0,28800.0,4
run-pipeline-gpu-swq2n-3049610790#223,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-rr99f-3748743721#344,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-5k6vd-106796021#11,0.0,4.0,4.0,172800.0,3
run-pipeline-gpu-cwpcn-377226272#34,21600.0,241928.5,220328.5,36000.0,8
run-pipeline-gpu-d4g2l-1314559116#70,0.0,232588.5,232588.5,75600.0,4
run-pipeline-gpu-7bm6z-4041400377#154,0.0,176415.0,176415.0,172800.0,3
run-pipeline-gpu-fsvst-120632241#31,0.0,308193.0,308193.0,172800.0,4
run-pipeline-gpu-btkf5-859327339#202,0.0,292335.0,292335.0,172800.0,3
run-pipeline-gpu-4tpsr-3420120526#289,0.0,292335.0,292335.0,172800.0,3
run-pipeline-gpu-5zvpv-747118082#190,21600.0,292335.0,270735.0,172800.0,3
run-pipeline-gpu-hndcn-327083716#83,0.0,480997.5,480997.5,172800.0,4
run-pipeline-gpu-flk62-1199582912#86,525600.0,653804.0,128204.0,10800.0,2
run-pipeline-gpu-w8jb5-714416263#240,522000.0,522002.0,2.0,172800.0,3
run-pipeline-gpu-7bv8q-4225584551#246,547200.0,653804.0,106604.0,61200.0,2
run-pipeline-gpu-9cb4p-1757353259#152,0.0,534261.5,534261.5,172800.0,4
run-pipeline-gpu-g4qgc-2834592541#160,3600.0,534261.5,530661.5,172800.0,4
run-pipeline-gpu-jlbhf-3234668083#140,288000.0,715008.5,427008.5,86400.0,4
run-pipeline-gpu-hbbgm-1746798765#205,694800.0,694802.0,2.0,172800.0,3
run-pipeline-gpu-9mw92-3717946137#178,694800.0,801413.0,106613.0,172800.0,4
run-pipeline-gpu-clhnk-1829672999#172,0.0,776188.0,776188.0,172800.0,5
run-pipeline-gpu-82jgn-3511824822#92,442800.0,776188.0,333388.0,172800.0,4
run-pipeline-gpu-zwfd5-1679737841#76,950400.0,950402.0,2.0,172800.0,2
run-pipeline-gpu-plv42-3561070837#303,0.0,974217.5,974217.5,172800.0,5
run-pipeline-gpu-qgdht-488548089#13,3600.0,1018112.5,1014512.5,172800.0,5
run-pipeline-gpu-2zm9z-2928502513#24,1040400.0,1040402.0,2.0,169200.0,1
run-pipeline-gpu-9tzlh-1719621050#84,792000.0,1123206.5,331206.5,158400.0,5
run-pipeline-gpu-lpcvm-2207421033#197,1216800.0,1216802.0,2.0,172800.0,4
run-pipeline-gpu-fds9m-4227584090#238,0.0,1260037.0,1260037.0,172800.0,6
run-pipeline-gpu-29bzk-2417305075#131,1220400.0,1344971.0,124571.0,147600.0,5
run-pipeline-gpu-9bdds-2661085165#364,1324800.0,1389606.5,64806.5,172800.0,4
run-pipeline-gpu-5j9bc-3339071754#297,1324800.0,1324802.0,2.0,172800.0,1
run-pipeline-gpu-4pbf4-2042923357#55,1648800.0,1648802.0,2.0,86400.0,1
run-pipeline-gpu-jms8w-3551857596#192,1508400.0,1562411.0,54011.0,172800.0,3
run-pipeline-gpu-5wkkh-1873314351#294,0.0,1501961.5,1501961.5,172800.0,6
run-pipeline-gpu-s59wn-196915659#333,1573200.0,1735215.5,162015.5,10800.0,4
run-pipeline-gpu-p9zqk-3668461244#219,1648800.0,1746020.0,97220.0,18000.0,3
run-pipeline-gpu-htrtb-3514714329#67,1731600.0,1764024.5,32424.5,3600.0,3
run-pipeline-gpu-rq2cx-1072744327#343,1731600.0,1767629.0,36029.0,3600.0,4
run-pipeline-gpu-8sq5w-318761477#271,1216800.0,1551615.5,334815.5,172800.0,5
run-pipeline-gpu-gmthr-2443386175#301,1731600.0,1793540.0,61940.0,3600.0,6
run-pipeline-gpu-z4hc6-3142920312#75,1562400.0,1771233.5,208833.5,79200.0,3
run-pipeline-gpu-72s79-3342733295#206,612000.0,1743886.0,1131886.0,79200.0,7
run-pipeline-gpu-lq5c6-4242495716#41,1742400.0,1854770.5,112370.5,3600.0,7
run-pipeline-gpu-z69vt-1590214906#127,1746000.0,1850438.0,104438.0,86400.0,2
run-pipeline-gpu-x5md5-3046812994#145,1836000.0,1936842.5,100842.5,86400.0,2
run-pipeline-gpu-wh6w8-2576682873#304,3600.0,1798584.5,1794984.5,172800.0,6
run-pipeline-gpu-5brzp-577411358#64,0.0,1859815.0,1859815.0,172800.0,7
run-pipeline-gpu-2bswz-48392133#114,1573200.0,2040509.0,467309.0,64800.0,4
run-pipeline-gpu-qbd6p-1169999936#179,1800000.0,2131233.5,331233.5,39600.0,5
run-pipeline-gpu-jbthq-390385068#313,1800000.0,2186678.0,386678.0,39600.0,5
run-pipeline-gpu-5pv6q-1924182953#87,2181600.0,2242124.5,60524.5,3600.0,3
run-pipeline-gpu-5fx6d-1307008704#90,1800000.0,2023247.0,223247.0,172800.0,3
run-pipeline-gpu-qzc8m-3277043400#180,0.0,2101739.5,2101739.5,172800.0,7
run-pipeline-gpu-pxsr4-1340460384#201,2253600.0,2265171.5,11571.5,86400.0,3
run-pipeline-gpu-xpcxm-2778807119#347,2160000.0,2160002.0,2.0,172800.0,1
run-pipeline-gpu-fcvgd-3368581573#283,1584000.0,2343664.0,759664.0,54000.0,7
run-pipeline-gpu-c4ldk-126389565#302,2372400.0,2386138.0,13738.0,46800.0,1
run-pipeline-gpu-ff44j-3079852243#35,2372400.0,2386138.0,13738.0,64800.0,1
run-pipeline-gpu-nhq7k-719672536#218,2170800.0,2242124.5,71324.5,165600.0,1
run-pipeline-gpu-7w4v6-2132514135#266,2372400.0,2386138.0,13738.0,64800.0,1
run-pipeline-gpu-cj2dp-922712330#97,1753200.0,2245729.0,492529.0,172800.0,4
run-pipeline-gpu-4h88b-2132095031#338,2422800.0,2487653.5,64853.5,3600.0,3
run-pipeline-gpu-hch5g-240983488#358,2372400.0,2401926.5,29526.5,64800.0,1
run-pipeline-gpu-4gtq4-2472434307#209,2433600.0,2491258.0,57658.0,3600.0,3
run-pipeline-gpu-99pnm-2110579444#52,2372400.0,2432942.5,60542.5,46800.0,2
run-pipeline-gpu-z4pw9-3679841355#281,2433600.0,2494862.5,61262.5,3600.0,3
run-pipeline-gpu-jgdnh-544506832#233,2433600.0,2498467.0,64867.0,3600.0,4
run-pipeline-gpu-7d2d7-1767297611#282,2422800.0,2502071.5,79271.5,3600.0,5
run-pipeline-gpu-65995-2587903403#276,1573200.0,2419268.5,846068.5,64800.0,6
run-pipeline-gpu-nkzkv-3657696935#161,2422800.0,2507116.0,84316.0,7200.0,5
run-pipeline-gpu-xl8wt-1561883944#353,2422800.0,2509993.0,87193.0,7200.0,5
run-pipeline-gpu-7w7ts-3911879731#291,2422800.0,2520079.5,97279.5,14400.0,3
run-pipeline-gpu-q92dk-73489274#279,2372400.0,2492651.0,120251.0,46800.0,2
run-pipeline-gpu-l9s84-913604121#254,2372400.0,2534484.0,162084.0,64800.0,2
run-pipeline-gpu-gz9bd-2681504703#299,1573200.0,2517200.5,944000.5,64800.0,6
