time_s,used_gpu,total_gpu,alloc_pct
0.0,16,16,100.0
7206.5,10,16,62.5
7206.5,16,16,100.0
18013.0,12,16,75.0
18013.0,10,16,62.5
18013.0,16,16,100.0
21619.5,13,16,81.25
21619.5,16,16,100.0
28806.5,12,16,75.0
28806.5,16,16,100.0
75606.5,12,16,75.0
75606.5,16,16,100.0
104419.5,15,16,93.75
104419.5,16,16,100.0
172806.5,15,16,93.75
172806.5,14,16,87.5
172806.5,16,16,100.0
190819.5,14,16,87.5
190819.5,16,16,100.0
194424.0,13,16,81.25
194424.0,16,16,100.0
201611.0,12,16,75.0
201611.0,16,16,100.0
248411.0,12,16,75.0
248411.0,15,16,93.75
277224.0,14,16,87.5
277224.0,16,16,100.0
345611.0,14,16,87.5
345611.0,14,16,87.5
363624.0,12,16,75.0
363624.0,16,16,100.0
367228.5,13,16,81.25
367228.5,16,16,100.0
374415.5,12,16,75.0
374415.5,16,16,100.0
421215.5,13,16,81.25
421215.5,16,16,100.0
450028.5,14,16,87.5
450028.5,10,16,62.5
450028.5,16,16,100.0
457233.0,10,16,62.5
457233.0,15,16,93.75
460800.0,15,16,93.75
522000.0,15,16,93.75
525600.0,15,16,93.75
529200.0,15,16,93.75
540033.0,12,16,75.0
540033.0,14,16,87.5
547200.0,16,16,100.0
547220.0,12,16,75.0
547220.0,16,16,100.0
550837.5,14,16,87.5
550837.5,14,16,87.5
594020.0,11,16,68.75
594020.0,16,16,100.0
608404.5,14,16,87.5
608404.5,14,16,87.5
612000.0,14,16,87.5
630037.5,9,16,56.25
630037.5,16,16,100.0
709242.0,9,16,56.25
709242.0,16,16,100.0
720024.5,12,16,75.0
720024.5,15,16,93.75
766824.5,10,16,62.5
766824.5,16,16,100.0
871246.5,9,16,56.25
871246.5,14,16,87.5
892829.0,11,16,68.75
892829.0,16,16,100.0
939629.0,10,16,62.5
939629.0,16,16,100.0
1029651.0,11,16,68.75
1029651.0,15,16,93.75
1040400.0,16,16,100.0
1065633.5,11,16,68.75
1065633.5,16,16,100.0
1112433.5,10,16,62.5
1112433.5,16,16,100.0
1202455.5,12,16,75.0
1202455.5,12,16,75.0
1209604.5,11,16,68.75
1209604.5,11,16,68.75
1216800.0,15,16,93.75
1220400.0,15,16,93.75
1234800.0,15,16,93.75
1238400.0,15,16,93.75
1238440.0,12,16,75.0
1238440.0,10,16,62.5
1238440.0,15,16,93.75
1242000.0,15,16,93.75
1285238.0,9,16,56.25
1285238.0,16,16,100.0
1386044.5,11,16,68.75
1386044.5,16,16,100.0
1389604.5,12,16,75.0
1389604.5,13,16,81.25
1458042.5,6,16,37.5
1458042.5,14,16,87.5
1494047.0,6,16,37.5
1494047.0,14,16,87.5
1508400.0,14,16,87.5
1558849.0,9,16,56.25
1558849.0,16,16,100.0
1562409.0,15,16,93.75
1562409.0,15,16,93.75
1573200.0,15,16,93.75
1584000.0,15,16,93.75
1609200.0,15,16,93.75
1648800.0,16,16,100.0
1666851.5,8,16,50.0
1666851.5,15,16,93.75
1677658.0,11,16,68.75
1677658.0,15,16,93.75
1684858.0,12,16,75.0
1684858.0,15,16,93.75
1731600.0,15,16,93.75
1731653.5,8,16,50.0
1731653.5,15,16,93.75
1735204.5,14,16,87.5
1735204.5,14,16,87.5
1735260.0,11,16,68.75
1735260.0,7,16,43.75
1735260.0,16,16,100.0
1738866.5,10,16,62.5
1738866.5,16,16,100.0
1742462.5,12,16,75.0
1742462.5,16,16,100.0
1764062.5,13,16,81.25
1764062.5,15,16,93.75
1800000.0,15,16,93.75
1803671.0,9,16,56.25
1803671.0,16,16,100.0
1807275.5,9,16,56.25
1807275.5,14,16,87.5
1836000.0,16,16,100.0
1846880.0,11,16,68.75
1846880.0,16,16,100.0
1850467.0,14,16,87.5
1850467.0,14,16,87.5
1886484.5,9,16,56.25
1886484.5,16,16,100.0
1908066.5,13,16,81.25
1908066.5,16,16,100.0
1915267.0,12,16,75.0
1915267.0,16,16,100.0
1922404.5,14,16,87.5
1922404.5,14,16,87.5
1940489.0,7,16,43.75
1940489.0,15,16,93.75
2005293.5,7,16,43.75
2005293.5,13,16,81.25
2070098.0,7,16,43.75
2070098.0,13,16,81.25
2080871.0,10,16,62.5
2080871.0,15,16,93.75
2088071.5,11,16,68.75
2088071.5,16,16,100.0
2149302.5,10,16,62.5
2149302.5,16,16,100.0
2178075.5,11,16,68.75
2178075.5,16,16,100.0
2260876.0,11,16,68.75
2260876.0,15,16,93.75
2264400.0,15,16,93.75
2264482.5,12,16,75.0
