time_s,used_gpu,total_gpu,alloc_pct
0.0,32,32,100.0
151206.5,28,32,87.5
151206.5,32,32,100.0
172806.5,31,32,96.88
172806.5,28,32,87.5
172806.5,26,32,81.25
172806.5,25,32,78.12
172806.5,17,32,53.12
172806.5,32,32,100.0
201613.0,28,32,87.5
201613.0,32,32,100.0
241926.5,28,32,87.5
241926.5,32,32,100.0
345606.5,25,32,78.12
345606.5,23,32,71.88
345606.5,32,32,100.0
345613.0,28,32,87.5
345613.0,25,32,78.12
345613.0,22,32,68.75
345613.0,21,32,65.62
345613.0,32,32,100.0
356419.5,28,32,87.5
356419.5,30,32,93.75
362893.0,29,32,90.62
362893.0,32,32,100.0
367224.0,30,32,93.75
367224.0,30,32,93.75
367937.5,27,32,84.38
367937.5,32,32,100.0
374419.5,30,32,93.75
374419.5,28,32,87.5
374419.5,31,32,96.88
442800.0,31,32,96.88
460800.0,31,32,96.88
483853.0,28,32,87.5
483853.0,32,32,100.0
496811.0,28,32,87.5
496811.0,32,32,100.0
518419.5,25,32,78.12
518419.5,31,32,96.88
522000.0,31,32,96.88
525600.0,31,32,96.88
529200.0,31,32,96.88
547200.0,31,32,96.88
547224.0,28,32,87.5
547224.0,31,32,96.88
587533.0,26,32,81.25
587533.0,32,32,100.0
597617.5,26,32,81.25
597617.5,32,32,100.0
604817.5,28,32,87.5
604817.5,32,32,100.0
609862.0,27,32,84.38
609862.0,32,32,100.0
615624.0,30,32,93.75
615624.0,30,32,93.75
690504.0,28,32,87.5
690504.0,28,32,87.5
691213.0,24,32,75.0
691213.0,32,32,100.0
691224.0,26,32,81.25
691224.0,32,32,100.0
720028.5,29,32,90.62
720028.5,32,32,100.0
839542.0,26,32,81.25
839542.0,32,32,100.0
842415.5,28,32,87.5
842415.5,32,32,100.0
849626.5,26,32,81.25
849626.5,32,32,100.0
851786.5,27,32,84.38
851786.5,32,32,100.0
864028.5,26,32,81.25
864028.5,26,32,81.25
892833.0,23,32,71.88
892833.0,30,32,93.75
950400.0,32,32,100.0
1036817.5,24,32,75.0
1036817.5,32,32,100.0
1065637.5,25,32,78.12
1065637.5,32,32,100.0
1073551.0,27,32,84.38
1073551.0,28,32,87.5
1091551.0,22,32,68.75
1091551.0,30,32,93.75
1123204.5,28,32,87.5
1123204.5,28,32,87.5
1141955.5,20,32,62.5
1141955.5,27,32,84.38
1188020.0,23,32,71.88
1188020.0,30,32,93.75
1216800.0,30,32,93.75
1220400.0,30,32,93.75
1234800.0,30,32,93.75
1238400.0,30,32,93.75
1238442.0,23,32,71.88
1238442.0,32,32,100.0
1242755.5,31,32,96.88
