time_s,used_gpu,total_gpu,alloc_pct
0.0,31,32,96.88
3600.0,31,32,96.88
7200.0,31,32,96.88
10800.0,31,32,96.88
18000.0,32,32,100.0
151206.5,28,32,87.5
151206.5,31,32,96.88
158411.0,28,32,87.5
158411.0,30,32,93.75
172806.5,29,32,90.62
172806.5,28,32,87.5
172806.5,27,32,84.38
172806.5,25,32,78.12
172806.5,23,32,71.88
172806.5,21,32,65.62
172806.5,19,32,59.38
172806.5,16,32,50.0
172806.5,32,32,100.0
180013.0,26,32,81.25
180013.0,30,32,93.75
180015.5,28,32,87.5
180015.5,31,32,96.88
183613.0,27,32,84.38
183613.0,31,32,96.88
187213.0,25,32,78.12
187213.0,29,32,90.62
190804.5,28,32,87.5
190804.5,32,32,100.0
208817.5,28,32,87.5
208817.5,28,32,87.5
241926.5,25,32,78.12
241926.5,22,32,68.75
241926.5,19,32,59.38
241926.5,32,32,100.0
292333.0,24,32,75.0
292333.0,29,32,90.62
345606.5,25,32,78.12
345606.5,30,32,93.75
356417.5,26,32,81.25
356417.5,32,32,100.0
360017.5,28,32,87.5
360017.5,32,32,100.0
446422.0,28,32,87.5
446422.0,32,32,100.0
465137.5,27,32,84.38
465137.5,27,32,84.38
483853.0,22,32,68.75
483853.0,28,32,87.5
522000.0,31,32,96.88
525600.0,31,32,96.88
525620.0,28,32,87.5
525620.0,30,32,93.75
529200.0,30,32,93.75
536409.0,26,32,81.25
536409.0,32,32,100.0
536424.5,30,32,93.75
536424.5,30,32,93.75
547200.0,32,32,100.0
608404.5,30,32,93.75
608404.5,30,32,93.75
612000.0,30,32,93.75
619226.5,26,32,81.25
619226.5,32,32,100.0
691211.0,27,32,84.38
691211.0,27,32,84.38
694800.0,30,32,93.75
702022.0,24,32,75.0
702022.0,31,32,96.88
725777.5,25,32,78.12
725777.5,32,32,100.0
763924.5,29,32,90.62
763924.5,29,32,90.62
792000.0,29,32,90.62
792031.0,23,32,71.88
792031.0,30,32,93.75
882013.5,24,32,75.0
882013.5,31,32,96.88
936724.5,28,32,87.5
936724.5,32,32,100.0
1033955.5,25,32,78.12
1033955.5,32,32,100.0
1047626.5,25,32,78.12
1047626.5,32,32,100.0
1071382.0,25,32,78.12
1071382.0,32,32,100.0
1144840.0,25,32,78.12
1144840.0,26,32,81.25
1216800.0,30,32,93.75
1220400.0,30,32,93.75
1227618.0,23,32,71.88
1227618.0,31,32,96.88
1229788.5,26,32,81.25
1229788.5,31,32,96.88
1234800.0,31,32,96.88
1238400.0,31,32,96.88
1242000.0,31,32,96.88
1282329.0,27,32,84.38
1282329.0,32,32,100.0
1314044.5,31,32,96.88
1314044.5,31,32,96.88
1324800.0,32,32,100.0
1371631.0,25,32,78.12
1371631.0,32,32,100.0
1389604.5,28,32,87.5
1389604.5,32,32,100.0
1402593.0,27,32,84.38
1402593.0,27,32,84.38
1416988.5,25,32,78.12
1416988.5,32,32,100.0
1497604.5,31,32,96.88
1497604.5,31,32,96.88
1508400.0,31,32,96.88
1562400.0,31,32,96.88
1562409.0,27,32,84.38
1562409.0,30,32,93.75
1573200.0,30,32,93.75
1573222.5,22,32,68.75
1573222.5,30,32,93.75
1577533.5,25,32,78.12
1577533.5,32,32,100.0
1599140.0,28,32,87.5
1599140.0,32,32,100.0
1717235.5,25,32,78.12
1717235.5,29,32,90.62
1728744.5,25,32,78.12
1728744.5,31,32,96.88
1731600.0,31,32,96.88
1735213.5,28,32,87.5
1735213.5,31,32,96.88
1735242.0,28,32,87.5
1735242.0,32,32,100.0
1735940.0,29,32,90.62
1735940.0,29,32,90.62
1738818.0,26,32,81.25
1738818.0,32,32,100.0
1742446.5,28,32,87.5
1742446.5,28,32,87.5
1746000.0,30,32,93.75
1753200.0,30,32,93.75
1762593.0,23,32,71.88
1762593.0,29,32,90.62
1766197.5,23,32,71.88
1766197.5,31,32,96.88
1800000.0,31,32,96.88
1803642.0,30,32,93.75
1803642.0,30,32,93.75
1832404.5,28,32,87.5
1832404.5,31,32,96.88
1836000.0,31,32,96.88
1843200.0,31,32,96.88
1858349.0,25,32,78.12
1858349.0,32,32,100.0
1865553.5,25,32,78.12
1865553.5,32,32,100.0
1868422.5,26,32,81.25
1868422.5,31,32,96.88
1918800.0,31,32,96.88
1918827.0,23,32,71.88
1918827.0,30,32,93.75
1973558.0,23,32,71.88
1973558.0,32,32,100.0
1974273.5,27,32,84.38
1974273.5,31,32,96.88
2005209.0,28,32,87.5
2005209.0,32,32,100.0
2005233.5,30,32,93.75
2005233.5,30,32,93.75
2052764.5,25,32,78.12
2052764.5,31,32,96.88
2062827.0,26,32,81.25
2062827.0,31,32,96.88
2111802.0,23,32,71.88
2111802.0,31,32,96.88
2160000.0,32,32,100.0
2163649.0,26,32,81.25
2163649.0,31,32,96.88
2170800.0,32,32,100.0
2216198.0,28,32,87.5
2216198.0,31,32,96.88
2221242.5,28,32,87.5
2221242.5,32,32,100.0
2241406.5,24,32,75.0
2241406.5,32,32,100.0
2247133.5,28,32,87.5
2247133.5,32,32,100.0
2319164.5,28,32,87.5
2319164.5,31,32,96.88
2343600.0,31,32,96.88
2372400.0,32,32,100.0
2402644.5,31,32,96.88
2402644.5,32,32,100.0
2405573.5,27,32,84.38
2405573.5,31,32,96.88
2408431.5,26,32,81.25
2408431.5,32,32,100.0
2463167.0,28,32,87.5
2463167.0,32,32,100.0
2466036.0,26,32,81.25
2466036.0,32,32,100.0
2468169.0,31,32,96.88
2468169.0,32,32,100.0
2468213.5,29,32,90.62
2468213.5,32,32,100.0
2469642.5,29,32,90.62
2469642.5,32,32,100.0
2470380.0,31,32,96.88
2470380.0,30,32,93.75
2470380.0,32,32,100.0
2471100.0,30,32,93.75
2471100.0,32,32,100.0
2473242.5,29,32,90.62
2473242.5,32,32,100.0
2484047.0,29,32,90.62
2484047.0,32,32,100.0
2489058.0,28,32,87.5
2489058.0,32,32,100.0
2491969.0,29,32,90.62
2491969.0,32,32,100.0
2494102.5,28,32,87.5
2494102.5,32,32,100.0
2502004.5,31,32,96.88
2502004.5,31,32,96.88
2505600.0,31,32,96.88
2505604.5,30,32,93.75
2505604.5,32,32,100.0
2514267.0,28,32,87.5
2514267.0,32,32,100.0
2530851.5,29,32,90.62
2530851.5,32,32,100.0
2533740.0,30,32,93.75
2533740.0,32,32,100.0
2534431.5,28,32,87.5
2534431.5,32,32,100.0
2535184.5,30,32,93.75
2535184.5,32,32,100.0
2554596.0,28,32,87.5
2554596.0,32,32,100.0
2561824.5,30,32,93.75
2561824.5,32,32,100.0
2566847.0,29,32,90.62
2566847.0,32,32,100.0
2585573.5,29,32,90.62
2585573.5,32,32,100.0
2587011.0,24,32,75.0
2587011.0,32,32,100.0
2590617.5,27,32,84.38
2590617.5,32,32,100.0
2595656.0,29,32,90.62
2595656.0,32,32,100.0
2597822.0,27,32,84.38
2597822.0,32,32,100.0
2605026.5,27,32,84.38
2605026.5,31,32,96.88
2620120.5,27,32,84.38
2620120.5,31,32,96.88
2620800.0,31,32,96.88
2651831.0,27,32,84.38
2651831.0,31,32,96.88
2656800.0,31,32,96.88
2666925.0,27,32,84.38
2666925.0,32,32,100.0
2671209.0,30,32,93.75
2671209.0,32,32,100.0
2682789.0,30,32,93.75
2682789.0,30,32,93.75
2696400.0,30,32,93.75
2698635.5,26,32,81.25
2698635.5,32,32,100.0
2705093.5,31,32,96.88
2705093.5,31,32,96.88
2707989.0,29,32,90.62
2707989.0,29,32,90.62
2708720.0,23,32,71.88
2708720.0,30,32,93.75
2710093.5,29,32,90.62
2710093.5,29,32,90.62
2710140.0,28,32,87.5
2710140.0,32,32,100.0
2712324.5,25,32,78.12
2712324.5,32,32,100.0
2715929.0,25,32,78.12
2715929.0,32,32,100.0
2719533.5,25,32,78.12
2719533.5,32,32,100.0
2725251.5,29,32,90.62
2725251.5,29,32,90.62
2726738.0,22,32,68.75
2726738.0,30,32,93.75
2731782.5,22,32,68.75
2731782.5,32,32,100.0
2732449.5,27,32,84.38
2732449.5,32,32,100.0
2746189.0,26,32,81.25
2746189.0,31,32,96.88
2758378.0,28,32,87.5
2758378.0,32,32,100.0
2768460.5,29,32,90.62
2768460.5,29,32,90.62
2775664.5,27,32,84.38
2775664.5,32,32,100.0
2792993.5,27,32,84.38
2792993.5,32,32,100.0
2797974.0,27,32,84.38
2797974.0,32,32,100.0
2800864.5,28,32,87.5
2800864.5,32,32,100.0
2839798.0,27,32,84.38
2839798.0,32,32,100.0
2841189.0,27,32,84.38
2841189.0,31,32,96.88
2844013.5,29,32,90.62
2844013.5,32,32,100.0
2868589.0,28,32,87.5
2868589.0,32,32,100.0
2884380.5,31,32,96.88
2884380.5,31,32,96.88
2932617.5,28,32,87.5
2932617.5,32,32,100.0
2939822.0,28,32,87.5
2939822.0,32,32,100.0
3012602.5,27,32,84.38
3012602.5,31,32,96.88
3013993.5,27,32,84.38
3013993.5,31,32,96.88
3024018.0,28,32,87.5
3024018.0,31,32,96.88
3038400.0,31,32,96.88
3039900.5,27,32,84.38
3039900.5,32,32,100.0
3042789.0,28,32,87.5
3042789.0,30,32,93.75
3049200.0,30,32,93.75
3089582.5,26,32,81.25
3089582.5,32,32,100.0
3100398.0,28,32,87.5
3100398.0,28,32,87.5
3114000.0,28,32,87.5
3128400.0,29,32,90.62
3135600.0,29,32,90.62
3135604.5,28,32,87.5
3135604.5,32,32,100.0
3148633.5,30,32,93.75
3148633.5,30,32,93.75
3161587.0,24,32,75.0
3161587.0,31,32,96.88
3185407.0,27,32,84.38
3185407.0,32,32,100.0
3190391.5,25,32,78.12
3190391.5,31,32,96.88
3214193.5,27,32,84.38
3214193.5,32,32,100.0
3283996.0,26,32,81.25
3283996.0,32,32,100.0
3285426.5,28,32,87.5
3285426.5,28,32,87.5
3308409.0,24,32,75.0
3308409.0,31,32,96.88
3369600.0,32,32,100.0
3369622.5,29,32,90.62
3369622.5,29,32,90.62
3373933.5,22,32,68.75
3373933.5,29,32,90.62
3385505.0,24,32,75.0
3385505.0,32,32,100.0
3420738.0,25,32,78.12
3420738.0,32,32,100.0
3453142.5,25,32,78.12
3453142.5,31,32,96.88
3466800.0,32,32,100.0
3479109.5,24,32,75.0
3479109.5,32,32,100.0
3492747.0,26,32,81.25
3492747.0,32,32,100.0
3531011.5,27,32,84.38
3531011.5,32,32,100.0
3542404.5,31,32,96.88
3542404.5,31,32,96.88
3553204.5,30,32,93.75
3553204.5,32,32,100.0
3559798.0,27,32,84.38
3559798.0,31,32,96.88
3564000.0,31,32,96.88
3567600.0,31,32,96.88
3572714.0,23,32,71.88
3572714.0,31,32,96.88
3578400.0,31,32,96.88
3581402.5,27,32,84.38
3581402.5,32,32,100.0
3629600.5,26,32,81.25
3629600.5,32,32,100.0
3651151.5,26,32,81.25
3651151.5,32,32,100.0
3651205.0,26,32,81.25
3651205.0,31,32,96.88
3654000.0,31,32,96.88
3664800.0,31,32,96.88
3666318.5,23,32,71.88
3666318.5,31,32,96.88
3694358.0,27,32,84.38
3694358.0,31,32,96.88
3701562.5,27,32,84.38
3701562.5,32,32,100.0
3726009.0,30,32,93.75
3726009.0,30,32,93.75
3736800.0,30,32,93.75
3737558.0,28,32,87.5
3737558.0,31,32,96.88
3747600.0,31,32,96.88
3759923.0,23,32,71.88
3759923.0,31,32,96.88
3787969.0,28,32,87.5
3787969.0,32,32,100.0
3791562.5,29,32,90.62
3791562.5,32,32,100.0
3824727.5,24,32,75.0
3824727.5,31,32,96.88
3876616.0,26,32,81.25
3876616.0,32,32,100.0
3877967.0,29,32,90.62
3877967.0,32,32,100.0
3893129.5,27,32,84.38
3893129.5,31,32,96.88
3920400.0,31,32,96.88
3927007.0,26,32,81.25
3927007.0,32,32,100.0
3960773.5,28,32,87.5
3960773.5,32,32,100.0
3964371.5,29,32,90.62
3964371.5,29,32,90.62
3974400.0,31,32,96.88
3988800.0,31,32,96.88
3992400.0,31,32,96.88
3996000.0,31,32,96.88
3999600.0,31,32,96.88
4014094.0,27,32,84.38
4014094.0,31,32,96.88
4047169.0,29,32,90.62
4047169.0,29,32,90.62
4060804.5,27,32,84.38
4060804.5,31,32,96.88
4078800.0,31,32,96.88
4089600.0,31,32,96.88
4133578.0,27,32,84.38
4133578.0,31,32,96.88
4135058.5,27,32,84.38
4135058.5,31,32,96.88
4165200.0,31,32,96.88
4168800.0,31,32,96.88
4170332.0,24,32,75.0
4170332.0,30,32,93.75
4172400.0,30,32,93.75
4175376.5,24,32,75.0
4175376.5,31,32,96.88
4176000.0,31,32,96.88
4181769.0,27,32,84.38
4181769.0,31,32,96.88
4222220.5,25,32,78.12
4222220.5,31,32,96.88
4229425.0,25,32,78.12
4229425.0,32,32,100.0
4236629.5,25,32,78.12
4236629.5,32,32,100.0
4272611.5,26,32,81.25
4272611.5,32,32,100.0
4284782.5,28,32,87.5
4284782.5,32,32,100.0
4287016.0,26,32,81.25
4287016.0,32,32,100.0
4287613.5,28,32,87.5
4287613.5,32,32,100.0
4376983.0,28,32,87.5
4376983.0,32,32,100.0
4497947.5,28,32,87.5
4497947.5,32,32,100.0
4520981.0,25,32,78.12
4520981.0,32,32,100.0
4529538.0,28,32,87.5
4529538.0,32,32,100.0
4535385.5,25,32,78.12
4535385.5,32,32,100.0
4553434.0,25,32,78.12
4553434.0,32,32,100.0
4618912.0,28,32,87.5
4618912.0,32,32,100.0
4630387.0,28,32,87.5
4630387.0,32,32,100.0
4632620.5,26,32,81.25
4632620.5,32,32,100.0
4697425.0,26,32,81.25
4697425.0,32,32,100.0
4705318.5,31,32,96.88
4705318.5,31,32,96.88
4771462.5,27,32,84.38
4771462.5,32,32,100.0
4791718.5,31,32,96.88
4791718.5,31,32,96.88
4827029.5,25,32,78.12
4827029.5,32,32,100.0
4852190.0,25,32,78.12
4852190.0,32,32,100.0
4860838.5,30,32,93.75
4860838.5,30,32,93.75
4863600.0,31,32,96.88
4870800.0,31,32,96.88
4899038.5,24,32,75.0
4899038.5,32,32,100.0
4975991.5,28,32,87.5
4975991.5,32,32,100.0
5008347.0,27,32,84.38
5008347.0,32,32,100.0
5071843.0,24,32,75.0
5071843.0,30,32,93.75
5079047.5,24,32,75.0
5079047.5,32,32,100.0
5105524.5,31,32,96.88
5105524.5,31,32,96.88
5134396.0,27,32,84.38
5134396.0,32,32,100.0
5172634.0,25,32,78.12
5172634.0,31,32,96.88
5197794.5,24,32,75.0
5197794.5,32,32,100.0
5245231.5,27,32,84.38
5245231.5,32,32,100.0
5251852.0,24,32,75.0
5251852.0,32,32,100.0
5307200.5,27,32,84.38
5307200.5,32,32,100.0
5370599.0,24,32,75.0
5370599.0,32,32,100.0
5487156.0,27,32,84.38
5487156.0,32,32,100.0
5517400.5,27,32,84.38
