time_s,used_gpu,total_gpu,alloc_pct
0.0,30,32,93.75
3600.0,30,32,93.75
7200.0,30,32,93.75
10800.0,30,32,93.75
18000.0,30,32,93.75
21600.0,30,32,93.75
75606.5,26,32,81.25
75606.5,30,32,93.75
172806.5,29,32,90.62
172806.5,26,32,81.25
172806.5,24,32,75.0
172806.5,23,32,71.88
172806.5,15,32,46.88
172806.5,11,32,34.38
172806.5,4,32,12.5
172806.5,32,32,100.0
201613.0,28,32,87.5
201613.0,30,32,93.75
248411.0,26,32,81.25
248411.0,32,32,100.0
345613.0,28,32,87.5
345613.0,25,32,78.12
345613.0,20,32,62.5
345613.0,13,32,40.62
345613.0,11,32,34.38
345613.0,8,32,25.0
345613.0,32,32,100.0
352819.5,26,32,81.25
352819.5,32,32,100.0
374417.5,30,32,93.75
374417.5,30,32,93.75
421215.5,24,32,75.0
421215.5,29,32,90.62
442800.0,31,32,96.88
460800.0,32,32,100.0
518419.5,24,32,75.0
518419.5,17,32,53.12
518419.5,14,32,43.75
518419.5,29,32,90.62
522000.0,29,32,90.62
525600.0,29,32,90.62
525624.0,23,32,71.88
525624.0,32,32,100.0
594020.0,27,32,84.38
594020.0,27,32,84.38
612000.0,27,32,84.38
615604.5,25,32,78.12
615604.5,31,32,96.88
633604.5,30,32,93.75
633604.5,30,32,93.75
691226.0,22,32,68.75
691226.0,15,32,46.88
691226.0,31,32,96.88
694800.0,31,32,96.88
694832.5,28,32,87.5
694832.5,28,32,87.5
698430.5,23,32,71.88
698430.5,19,32,59.38
698430.5,30,32,93.75
698432.5,24,32,75.0
698432.5,32,32,100.0
702032.5,28,32,87.5
702032.5,26,32,81.25
702032.5,26,32,81.25
734437.0,18,32,56.25
734437.0,30,32,93.75
745243.5,28,32,87.5
745243.5,28,32,87.5
777632.5,27,32,84.38
777632.5,27,32,84.38
784839.0,23,32,71.88
784839.0,31,32,96.88
788409.0,25,32,78.12
788409.0,32,32,100.0
846045.5,30,32,93.75
846045.5,30,32,93.75
867613.5,23,32,71.88
867613.5,30,32,93.75
871237.0,27,32,84.38
871237.0,32,32,100.0
871239.0,28,32,87.5
896443.5,21,32,65.62
907243.5,18,32,56.25
950400.0,20,32,62.5
957645.5,14,32,43.75
1029641.5,9,32,28.12
1040400.0,10,32,31.25
1040420.0,6,32,18.75
1040420.0,3,32,9.38
1123204.5,1,32,3.12
1209604.5,0,32,0.0
1216800.0,9,32,28.12
1220400.0,14,32,43.75
1234800.0,22,32,68.75
1238400.0,29,32,90.62
1242000.0,29,32,90.62
1324800.0,29,32,90.62
1368004.5,24,32,75.0
1368004.5,32,32,100.0
1389606.5,28,32,87.5
1389606.5,23,32,71.88
1389606.5,27,32,84.38
1407604.5,19,32,59.38
1411204.5,12,32,37.5
1508400.0,15,32,46.88
1540811.0,8,32,25.0
1540811.0,7,32,21.88
1562400.0,10,32,31.25
1562411.0,6,32,18.75
1573200.0,30,32,93.75
1584000.0,30,32,93.75
1609200.0,30,32,93.75
1638006.5,26,32,81.25
1638006.5,18,32,56.25
1638006.5,12,32,37.5
1638006.5,6,32,18.75
1638006.5,22,32,68.75
1641604.5,19,32,59.38
1648800.0,23,32,71.88
1648813.0,19,32,59.38
1663200.0,25,32,78.12
1666806.5,22,32,68.75
1681204.5,19,32,59.38
1692013.0,12,32,37.5
1731600.0,25,32,78.12
1735206.5,24,32,75.0
1735206.5,21,32,65.62
1735206.5,15,32,46.88
1735206.5,11,32,34.38
1735213.0,6,32,18.75
1742400.0,13,32,40.62
1742404.5,7,32,21.88
1746000.0,9,32,28.12
1746004.5,2,32,6.25
1753200.0,18,32,56.25
1800000.0,30,32,93.75
1832404.5,28,32,87.5
1832404.5,28,32,87.5
1836000.0,28,32,87.5
1839606.5,23,32,71.88
1839606.5,32,32,100.0
1879213.0,27,32,84.38
1879213.0,29,32,90.62
1918800.0,29,32,90.62
1926006.5,25,32,78.12
1926006.5,20,32,62.5
1926006.5,13,32,40.62
1926006.5,31,32,96.88
1965617.5,29,32,90.62
1972806.5,26,32,81.25
1972806.5,22,32,68.75
2012413.0,18,32,56.25
2098813.0,12,32,37.5
2098813.0,5,32,15.62
2098813.0,0,32,0.0
2160000.0,22,32,68.75
2170800.0,31,32,96.88
2178000.0,31,32,96.88
2181600.0,31,32,96.88
2253600.0,31,32,96.88
2264400.0,31,32,96.88
2332806.5,27,32,84.38
2332806.5,22,32,68.75
2332806.5,18,32,56.25
2332806.5,14,32,43.75
2332806.5,10,32,31.25
2332806.5,9,32,28.12
2332806.5,26,32,81.25
2336406.5,18,32,56.25
2336406.5,17,32,53.12
2336406.5,30,32,93.75
2340013.0,27,32,84.38
2340013.0,27,32,84.38
2343600.0,27,32,84.38
2372400.0,30,32,93.75
2422800.0,31,32,96.88
2422813.0,28,32,87.5
2422813.0,32,32,100.0
2451604.5,29,32,90.62
2451604.5,31,32,96.88
2487604.5,30,32,93.75
2487604.5,32,32,100.0
2487617.5,28,32,87.5
2487617.5,28,32,87.5
2491213.0,22,32,68.75
