time_s,used_gpu,total_gpu,alloc_pct
0.0,7,8,87.5
3600.0,7,8,87.5
7200.0,7,8,87.5
10800.0,7,8,87.5
18000.0,7,8,87.5
21600.0,7,8,87.5
172806.5,6,8,75.0
172806.5,3,8,37.5
172806.5,1,8,12.5
172806.5,0,8,0.0
172806.5,8,8,100.0
345611.0,0,8,0.0
345611.0,4,8,50.0
442800.0,8,8,100.0
518404.5,4,8,50.0
518404.5,8,8,100.0
518415.5,4,8,50.0
518415.5,8,8,100.0
547220.0,4,8,50.0
547220.0,8,8,100.0
691209.0,4,8,50.0
691209.0,7,8,87.5
694800.0,7,8,87.5
720024.5,3,8,37.5
720024.5,3,8,37.5
792000.0,3,8,37.5
864013.5,0,8,0.0
864013.5,7,8,87.5
950400.0,7,8,87.5
1036818.0,0,8,0.0
1036818.0,5,8,62.5
1040400.0,7,8,87.5
1209622.5,2,8,25.0
1209622.5,2,8,25.0
1213204.5,0,8,0.0
1213204.5,7,8,87.5
1216800.0,7,8,87.5
1220400.0,7,8,87.5
1234800.0,7,8,87.5
1238400.0,7,8,87.5
1242000.0,7,8,87.5
1324800.0,7,8,87.5
1386009.0,0,8,0.0
1386009.0,5,8,62.5
1508400.0,8,8,100.0
1558815.5,5,8,62.5
1558815.5,3,8,37.5
1558815.5,3,8,37.5
1562400.0,3,8,37.5
1573200.0,3,8,37.5
1584000.0,3,8,37.5
1609200.0,3,8,37.5
1648800.0,3,8,37.5
1663200.0,3,8,37.5
1681204.5,0,8,0.0
1681204.5,6,8,75.0
1731600.0,8,8,100.0
1854009.0,2,8,25.0
1854009.0,8,8,100.0
1861213.5,2,8,25.0
1861213.5,8,8,100.0
1904404.5,6,8,75.0
1904404.5,7,8,87.5
1918800.0,8,8,100.0
2005204.5,7,8,87.5
2005204.5,7,8,87.5
2034018.0,1,8,12.5
2034018.0,8,8,100.0
2077209.0,7,8,87.5
2077209.0,7,8,87.5
2160000.0,7,8,87.5
2170800.0,7,8,87.5
2178000.0,7,8,87.5
2181600.0,7,8,87.5
2206822.5,0,8,0.0
2206822.5,8,8,100.0
2379627.0,0,8,0.0
2379627.0,5,8,62.5
2422800.0,7,8,87.5
2433600.0,8,8,100.0
2433604.5,6,8,75.0
2433604.5,8,8,100.0
2444409.0,6,8,75.0
2444409.0,8,8,100.0
2505613.5,6,8,75.0
2505613.5,6,8,75.0
2509200.0,6,8,75.0
2512800.0,6,8,75.0
2523600.0,6,8,75.0
2527200.0,8,8,100.0
2552431.5,3,8,37.5
2552431.5,8,8,100.0
2602804.5,7,8,87.5
2602804.5,8,8,100.0
2700004.5,6,8,75.0
2700004.5,6,8,75.0
2725236.0,1,8,12.5
2725236.0,8,8,100.0
2775609.0,7,8,87.5
2775609.0,7,8,87.5
2782800.0,7,8,87.5
2797200.0,7,8,87.5
2854800.0,7,8,87.5
2862000.0,7,8,87.5
2876400.0,7,8,87.5
2883600.0,7,8,87.5
2898040.5,0,8,0.0
2898040.5,8,8,100.0
3070845.0,0,8,0.0
3070845.0,4,8,50.0
3114000.0,8,8,100.0
3124804.5,4,8,50.0
3124804.5,7,8,87.5
3128400.0,7,8,87.5
3128409.0,4,8,50.0
3128409.0,7,8,87.5
3135600.0,8,8,100.0
3222004.5,7,8,87.5
3222004.5,7,8,87.5
3243649.5,3,8,37.5
3243649.5,7,8,87.5
3301213.5,4,8,50.0
3301213.5,8,8,100.0
3330054.0,4,8,50.0
3330054.0,7,8,87.5
3369600.0,7,8,87.5
3387600.0,7,8,87.5
3412800.0,7,8,87.5
3466800.0,7,8,87.5
3474018.0,3,8,37.5
3474018.0,3,8,37.5
3481200.0,3,8,37.5
3484800.0,3,8,37.5
3499200.0,3,8,37.5
3502858.5,0,8,0.0
