job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
run-pipeline-gpu-24kd7-1782892583#253,0.0,4.0,4.0,7200.0,6
run-pipeline-gpu-4vk2f-731439944#171,7200.0,7210.5,10.5,10800.0,4
run-pipeline-gpu-9w7hx-1761467166#366,7200.0,7210.5,10.5,10800.0,2
run-pipeline-gpu-lhkgw-780639444#229,18000.0,18017.0,17.0,3600.0,3
run-pipeline-gpu-mdx4s-1168587679#138,18000.0,18017.0,17.0,86400.0,1
run-pipeline-gpu-8z2pg-3801962406#4,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-kb27t-3379495359#19,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-m46vh-3517775556#18,0.0,18017.0,18017.0,172800.0,2
run-pipeline-gpu-5k6vd-106796021#11,0.0,21621.5,21621.5,172800.0,3
run-pipeline-gpu-qg98v-1803363110#362,0.0,104421.5,104421.5,172800.0,1
run-pipeline-gpu-9tnd8-1865815998#193,0.0,172808.5,172808.5,172800.0,2
run-pipeline-gpu-swq2n-3049610790#223,0.0,190821.5,190821.5,172800.0,2
run-pipeline-gpu-7bm6z-4041400377#154,0.0,194426.0,194426.0,172800.0,3
run-pipeline-gpu-btkf5-859327339#202,0.0,345613.0,345613.0,172800.0,3
run-pipeline-gpu-rr99f-3748743721#344,0.0,363626.0,363626.0,172800.0,2
run-pipeline-gpu-4tpsr-3420120526#289,0.0,367230.5,367230.5,172800.0,3
run-pipeline-gpu-flk62-1199582912#86,525600.0,536430.5,10830.5,10800.0,2
run-pipeline-gpu-7bv8q-4225584551#246,547200.0,547235.0,35.0,61200.0,2
run-pipeline-gpu-5zvpv-747118082#190,21600.0,518417.5,496817.5,172800.0,3
run-pipeline-gpu-w8jb5-714416263#240,522000.0,540035.0,18035.0,172800.0,3
run-pipeline-gpu-rvpms-439587089#93,0.0,691222.0,691222.0,28800.0,4
run-pipeline-gpu-d4g2l-1314559116#70,0.0,712839.5,712839.5,75600.0,4
run-pipeline-gpu-jlbhf-3234668083#140,288000.0,720026.5,432026.5,86400.0,4
run-pipeline-gpu-fsvst-120632241#31,0.0,788444.0,788444.0,172800.0,4
run-pipeline-gpu-hndcn-327083716#83,0.0,806431.0,806431.0,172800.0,4
run-pipeline-gpu-9cb4p-1757353259#152,0.0,961248.5,961248.5,172800.0,4
run-pipeline-gpu-g4qgc-2834592541#160,3600.0,979235.5,975635.5,172800.0,4
run-pipeline-gpu-2zm9z-2928502513#24,1040400.0,1134055.0,93655.0,169200.0,1
run-pipeline-gpu-hbbgm-1746798765#205,694800.0,1134055.0,439255.0,172800.0,3
run-pipeline-gpu-82jgn-3511824822#92,442800.0,1152040.0,709240.0,172800.0,4
run-pipeline-gpu-9mw92-3717946137#178,694800.0,1306859.5,612059.5,172800.0,4
run-pipeline-gpu-zwfd5-1679737841#76,950400.0,1324846.5,374446.5,172800.0,2
run-pipeline-gpu-5j9bc-3339071754#297,1324800.0,1324846.5,46.5,172800.0,1
run-pipeline-gpu-29bzk-2417305075#131,1220400.0,1479664.0,259264.0,147600.0,5
run-pipeline-gpu-s59wn-196915659#333,1573200.0,1627268.5,54068.5,10800.0,4
run-pipeline-gpu-jms8w-3551857596#192,1508400.0,1508402.0,2.0,172800.0,3
run-pipeline-gpu-p9zqk-3668461244#219,1648800.0,1681206.5,32406.5,18000.0,3
run-pipeline-gpu-2bswz-48392133#114,1573200.0,1638073.0,64873.0,64800.0,4
run-pipeline-gpu-4pbf4-2042923357#55,1648800.0,1648802.0,2.0,86400.0,1
run-pipeline-gpu-z4hc6-3142920312#75,1562400.0,1699211.0,136811.0,79200.0,3
run-pipeline-gpu-htrtb-3514714329#67,1731600.0,1778415.5,46815.5,3600.0,3
run-pipeline-gpu-rq2cx-1072744327#343,1731600.0,1782020.0,50420.0,3600.0,4
run-pipeline-gpu-z69vt-1590214906#127,1746000.0,1785624.5,39624.5,86400.0,2
run-pipeline-gpu-lpcvm-2207421033#197,1216800.0,1702877.5,486077.5,172800.0,4
run-pipeline-gpu-gmthr-2443386175#301,1731600.0,1875682.0,144082.0,3600.0,6
run-pipeline-gpu-4vppl-989390375#262,10800.0,1879286.5,1868486.5,7200.0,6
run-pipeline-gpu-x5md5-3046812994#145,1836000.0,1836002.0,2.0,86400.0,2
run-pipeline-gpu-qbd6p-1169999936#179,1800000.0,1886491.0,86491.0,39600.0,5
run-pipeline-gpu-jbthq-390385068#313,1800000.0,1926095.5,126095.5,39600.0,5
run-pipeline-gpu-5nwn5-2647425578#176,1609200.0,1965700.0,356500.0,97200.0,5
run-pipeline-gpu-5fx6d-1307008704#90,1800000.0,1922406.5,122406.5,172800.0,3
run-pipeline-gpu-9tzlh-1719621050#84,792000.0,2062904.5,1270904.5,158400.0,5
run-pipeline-gpu-5pv6q-1924182953#87,2181600.0,2221309.0,39709.0,3600.0,3
run-pipeline-gpu-65995-2587903403#276,1573200.0,2224913.5,651713.5,64800.0,6
run-pipeline-gpu-2jq54-1672485863#298,2264400.0,2289718.0,25318.0,28800.0,6
run-pipeline-gpu-xpcxm-2778807119#347,2160000.0,2160002.0,2.0,172800.0,1
run-pipeline-gpu-nhq7k-719672536#218,2170800.0,2170802.0,2.0,165600.0,1
run-pipeline-gpu-gz9bd-2681504703#299,1573200.0,2318522.5,745322.5,64800.0,6
run-pipeline-gpu-99pnm-2110579444#52,2372400.0,2372402.0,2.0,46800.0,2
run-pipeline-gpu-9fg4g-4198045470#0,2372400.0,2383329.0,10929.0,46800.0,5
run-pipeline-gpu-c4ldk-126389565#302,2372400.0,2383329.0,10929.0,46800.0,1
run-pipeline-gpu-7d2d7-1767297611#282,2422800.0,2430135.5,7335.5,3600.0,5
run-pipeline-gpu-4h88b-2132095031#338,2422800.0,2433742.0,10942.0,3600.0,3
run-pipeline-gpu-4gtq4-2472434307#209,2433600.0,2437346.5,3746.5,3600.0,3
run-pipeline-gpu-z4pw9-3679841355#281,2433600.0,2440951.0,7351.0,3600.0,3
run-pipeline-gpu-7w7ts-3911879731#291,2422800.0,2444555.5,21755.5,14400.0,3
run-pipeline-gpu-q92dk-73489274#279,2372400.0,2419206.5,46806.5,46800.0,2
run-pipeline-gpu-ff44j-3079852243#35,2372400.0,2430135.5,57735.5,64800.0,1
run-pipeline-gpu-6pclb-2524450674#46,2372400.0,2433742.0,61342.0,64800.0,2
run-pipeline-gpu-vdvrm-1573875290#168,2372400.0,2458960.0,86560.0,46800.0,3
run-pipeline-gpu-l9s84-913604121#254,2372400.0,2466011.0,93611.0,64800.0,2
run-pipeline-gpu-hxbvr-1622881279#208,2372400.0,2505764.5,133364.5,46800.0,3
run-pipeline-gpu-7w4v6-2132514135#266,2372400.0,2494940.0,122540.0,64800.0,1
run-pipeline-gpu-hch5g-240983488#358,2372400.0,2498548.5,126148.5,64800.0,1
run-pipeline-gpu-h6fqd-840725110#225,2372400.0,2552569.0,180169.0,46800.0,3
run-pipeline-gpu-qqw99-3610954670#200,2440800.0,2530815.5,90015.5,82800.0,2
run-pipeline-gpu-6dfwt-2996314336#274,2372400.0,2599373.5,226973.5,64800.0,3
run-pipeline-gpu-xnpsz-830121636#40,2440800.0,2498548.5,57748.5,172800.0,1
run-pipeline-gpu-99hp9-2279907390#195,2523600.0,2613620.0,90020.0,86400.0,2
run-pipeline-gpu-67q9p-1369228348#277,2440800.0,2559744.5,118944.5,172800.0,1
run-pipeline-gpu-2wk29-4114984326#332,2448000.0,2563353.0,115353.0,172800.0,1
run-pipeline-gpu-pwjj4-1201686976#203,2343600.0,2664178.0,320578.0,79200.0,3
