time_s,used_gpu,total_gpu,alloc_pct
0.0,8,8,100.0
172806.5,7,8,87.5
172806.5,4,8,50.0
172806.5,2,8,25.0
172806.5,1,8,12.5
172806.5,0,8,0.0
172806.5,8,8,100.0
345611.0,0,8,0.0
345611.0,8,8,100.0
421217.5,4,8,50.0
421217.5,8,8,100.0
450022.0,4,8,50.0
450022.0,8,8,100.0
460826.5,4,8,50.0
460826.5,6,8,75.0
471631.0,4,8,50.0
471631.0,7,8,87.5
475235.5,4,8,50.0
475235.5,4,8,50.0
518417.5,0,8,0.0
518417.5,8,8,100.0
604824.0,7,8,87.5
604824.0,7,8,87.5
612000.0,7,8,87.5
691224.0,0,8,0.0
691224.0,8,8,100.0
864030.5,4,8,50.0
864030.5,0,8,0.0
864030.5,8,8,100.0
1036837.0,5,8,62.5
1036837.0,0,8,0.0
1036837.0,7,8,87.5
1040400.0,8,8,100.0
1209604.5,7,8,87.5
1209604.5,7,8,87.5
1209641.5,0,8,0.0
1209641.5,7,8,87.5
1216800.0,7,8,87.5
1220400.0,7,8,87.5
1234800.0,7,8,87.5
1238400.0,7,8,87.5
1242000.0,7,8,87.5
1324800.0,7,8,87.5
1382448.0,5,8,62.5
1382448.0,2,8,25.0
1382448.0,0,8,0.0
1382448.0,8,8,100.0
1555254.5,2,8,25.0
1555254.5,0,8,0.0
1555254.5,8,8,100.0
1728059.0,0,8,0.0
1728059.0,8,8,100.0
1735265.5,2,8,25.0
1735265.5,5,8,62.5
1738865.5,3,8,37.5
1738865.5,3,8,37.5
1738870.0,0,8,0.0
1738870.0,8,8,100.0
1911676.5,1,8,12.5
1911676.5,0,8,0.0
1911676.5,8,8,100.0
2084483.0,5,8,62.5
2084483.0,0,8,0.0
2084483.0,8,8,100.0
2145689.5,6,8,75.0
2145689.5,7,8,87.5
2160000.0,7,8,87.5
2170800.0,7,8,87.5
2178000.0,7,8,87.5
2181600.0,7,8,87.5
2232094.0,6,8,75.0
2232094.0,6,8,75.0
2253600.0,6,8,75.0
2257289.5,0,8,0.0
2257289.5,8,8,100.0
2430094.0,0,8,0.0
2430094.0,8,8,100.0
2602900.5,1,8,12.5
2602900.5,0,8,0.0
2602900.5,8,8,100.0
2775707.0,3,8,37.5
2775707.0,0,8,0.0
2775707.0,8,8,100.0
2862113.5,4,8,50.0
2862113.5,8,8,100.0
2926920.0,7,8,87.5
2926920.0,7,8,87.5
2941200.0,7,8,87.5
2941320.0,4,8,50.0
2941320.0,8,8,100.0
2944924.5,4,8,50.0
2944924.5,4,8,50.0
2948513.5,0,8,0.0
2948513.5,8,8,100.0
3121320.0,2,8,25.0
3121320.0,0,8,0.0
3121320.0,8,8,100.0
3128526.5,2,8,25.0
3128526.5,8,8,100.0
3193333.0,4,8,50.0
3193333.0,2,8,25.0
3193333.0,7,8,87.5
3200539.5,6,8,75.0
3200539.5,6,8,75.0
3204139.5,2,8,25.0
3204139.5,2,8,25.0
3207726.5,0,8,0.0
3207726.5,8,8,100.0
3243731.0,0,8,0.0
3243731.0,8,8,100.0
3409337.5,7,8,87.5
3409337.5,7,8,87.5
3412800.0,7,8,87.5
3416537.5,3,8,37.5
3416537.5,0,8,0.0
3416537.5,8,8,100.0
3481344.0,7,8,87.5
3481344.0,8,8,100.0
3528148.5,7,8,87.5
3528148.5,7,8,87.5
3564000.0,7,8,87.5
3567600.0,7,8,87.5
3578400.0,7,8,87.5
3578544.0,0,8,0.0
3578544.0,8,8,100.0
3664950.5,6,8,75.0
3664950.5,8,8,100.0
3711755.0,6,8,75.0
3711755.0,6,8,75.0
3736800.0,6,8,75.0
3747600.0,6,8,75.0
3751350.5,0,8,0.0
3751350.5,8,8,100.0
3816157.0,7,8,87.5
3816157.0,7,8,87.5
3830557.0,0,8,0.0
3830557.0,8,8,100.0
4003363.5,4,8,50.0
4003363.5,1,8,12.5
4003363.5,0,8,0.0
4003363.5,8,8,100.0
4161770.0,3,8,37.5
4161770.0,8,8,100.0
4176170.0,5,8,62.5
4176170.0,8,8,100.0
4194174.5,5,8,62.5
4194174.5,8,8,100.0
4197779.0,5,8,62.5
4197779.0,8,8,100.0
4284183.5,5,8,62.5
4284183.5,8,8,100.0
4330988.0,5,8,62.5
4330988.0,5,8,62.5
4334576.5,1,8,12.5
4334576.5,0,8,0.0
4334576.5,8,8,100.0
4507383.0,3,8,37.5
4507383.0,0,8,0.0
4507383.0,8,8,100.0
4586589.5,5,8,62.5
4586589.5,8,8,100.0
4633394.0,5,8,62.5
4633394.0,8,8,100.0
4647798.5,5,8,62.5
4647798.5,8,8,100.0
4651403.0,5,8,62.5
4651403.0,5,8,62.5
4654989.5,0,8,0.0
4654989.5,8,8,100.0
4827794.0,0,8,0.0
4827794.0,8,8,100.0
5000600.5,1,8,12.5
5000600.5,0,8,0.0
5000600.5,8,8,100.0
5087007.0,7,8,87.5
5087007.0,8,8,100.0
5173407.0,1,8,12.5
5173407.0,8,8,100.0
5173411.5,7,8,87.5
5173411.5,8,8,100.0
5220213.5,5,8,62.5
5220213.5,8,8,100.0
5259816.0,7,8,87.5
5259816.0,7,8,87.5
5270400.0,7,8,87.5
5274000.0,7,8,87.5
5285020.0,5,8,62.5
5285020.0,7,8,87.5
5292000.0,7,8,87.5
5306620.0,6,8,75.0
5306620.0,6,8,75.0
5331824.5,4,8,50.0
5331824.5,7,8,87.5
5335429.0,4,8,50.0
5335429.0,8,8,100.0
5339033.5,4,8,50.0
5339033.5,7,8,87.5
5342638.0,4,8,50.0
5342638.0,4,8,50.0
5346213.5,0,8,0.0
5346213.5,8,8,100.0
5411018.0,0,8,0.0
5411018.0,8,8,100.0
5475824.5,2,8,25.0
5475824.5,8,8,100.0
5540629.0,2,8,25.0
5540629.0,8,8,100.0
5544233.5,2,8,25.0
5544233.5,8,8,100.0
5573038.0,2,8,25.0
5573038.0,7,8,87.5
5580242.5,2,8,25.0
5580242.5,2,8,25.0
5583824.5,0,8,0.0
5583824.5,8,8,100.0
5637831.0,1,8,12.5
5637831.0,8,8,100.0
5720637.5,6,8,75.0
5720637.5,6,8,75.0
5735037.5,1,8,12.5
5735037.5,8,8,100.0
5756631.0,7,8,87.5
5756631.0,7,8,87.5
5814244.0,1,8,12.5
5814244.0,8,8,100.0
5817848.5,1,8,12.5
5817848.5,8,8,100.0
5882655.0,5,8,62.5
5882655.0,8,8,100.0
5907844.0,7,8,87.5
5907844.0,7,8,87.5
5911200.0,7,8,87.5
5969059.5,4,8,50.0
5969059.5,8,8,100.0
5983464.0,4,8,50.0
5983464.0,8,8,100.0
5987068.5,4,8,50.0
5987068.5,4,8,50.0
5990655.0,0,8,0.0
5990655.0,8,8,100.0
6163461.5,3,8,37.5
6163461.5,1,8,12.5
6163461.5,0,8,0.0
6163461.5,8,8,100.0
6249868.0,7,8,87.5
6249868.0,8,8,100.0
6336268.0,1,8,12.5
6336268.0,8,8,100.0
6336272.5,7,8,87.5
6336272.5,7,8,87.5
6343200.0,7,8,87.5
6375874.5,2,8,25.0
6375874.5,8,8,100.0
6422674.5,6,8,75.0
6422674.5,8,8,100.0
6462281.0,6,8,75.0
6462281.0,8,8,100.0
6498279.0,6,8,75.0
6498279.0,6,8,75.0
6508800.0,6,8,75.0
6537600.0,6,8,75.0
6548681.0,2,8,25.0
6548681.0,8,8,100.0
6548685.5,6,8,75.0
6548685.5,6,8,75.0
6588287.5,1,8,12.5
6588287.5,8,8,100.0
6635087.5,7,8,87.5
6635087.5,8,8,100.0
6721492.0,7,8,87.5
6721492.0,8,8,100.0
6750296.5,7,8,87.5
6750296.5,7,8,87.5
6757200.0,8,8,100.0
6760804.5,7,8,87.5
6760804.5,7,8,87.5
6761094.0,3,8,37.5
6761094.0,0,8,0.0
6761094.0,8,8,100.0
6847500.5,6,8,75.0
6847500.5,8,8,100.0
6933900.5,2,8,25.0
6933900.5,2,8,25.0
6933905.0,0,8,0.0
6933905.0,8,8,100.0
7106711.5,1,8,12.5
7106711.5,0,8,0.0
7106711.5,8,8,100.0
7279518.0,3,8,37.5
7279518.0,0,8,0.0
