time_s,used_gpu,total_gpu,alloc_pct
0.0,7,8,87.5
3600.0,7,8,87.5
7200.0,7,8,87.5
10800.0,7,8,87.5
18000.0,7,8,87.5
21600.0,7,8,87.5
172806.5,6,8,75.0
172806.5,3,8,37.5
172806.5,1,8,12.5
172806.5,0,8,0.0
172806.5,8,8,100.0
345611.0,0,8,0.0
345611.0,4,8,50.0
442800.0,8,8,100.0
518404.5,4,8,50.0
518404.5,8,8,100.0
518415.5,4,8,50.0
518415.5,8,8,100.0
547220.0,4,8,50.0
547220.0,8,8,100.0
691209.0,4,8,50.0
691209.0,7,8,87.5
694800.0,7,8,87.5
720024.5,3,8,37.5
720024.5,3,8,37.5
792000.0,3,8,37.5
864013.5,0,8,0.0
864013.5,7,8,87.5
950400.0,7,8,87.5
1036818.0,0,8,0.0
1036818.0,5,8,62.5
1040400.0,7,8,87.5
1209622.5,2,8,25.0
1209622.5,2,8,25.0
1213204.5,0,8,0.0
1213204.5,7,8,87.5
1216800.0,7,8,87.5
1220400.0,7,8,87.5
1234800.0,7,8,87.5
1238400.0,7,8,87.5
1242000.0,7,8,87.5
1324800.0,7,8,87.5
1386009.0,0,8,0.0
1386009.0,5,8,62.5
1508400.0,5,8,62.5
1558815.5,2,8,25.0
1558815.5,0,8,0.0
1558815.5,6,8,75.0
1562400.0,6,8,75.0
1573200.0,6,8,75.0
1584000.0,6,8,75.0
1609200.0,6,8,75.0
1648800.0,6,8,75.0
1663200.0,6,8,75.0
1731600.0,6,8,75.0
1731620.0,0,8,0.0
1731620.0,8,8,100.0
1904424.5,0,8,0.0
1904424.5,6,8,75.0
1911629.0,0,8,0.0
1911629.0,7,8,87.5
1918800.0,7,8,87.5
2084433.5,0,8,0.0
2084433.5,3,8,37.5
2160000.0,3,8,37.5
2170800.0,3,8,37.5
2178000.0,3,8,37.5
2181600.0,3,8,37.5
2253600.0,3,8,37.5
2257238.0,0,8,0.0
2257238.0,6,8,75.0
2264400.0,8,8,100.0
2430042.5,2,8,25.0
2430042.5,7,8,87.5
2433600.0,8,8,100.0
2437204.5,6,8,75.0
2437204.5,8,8,100.0
2448009.0,6,8,75.0
2448009.0,7,8,87.5
2505600.0,8,8,100.0
2534413.5,7,8,87.5
2534413.5,7,8,87.5
2602847.0,2,8,25.0
2602847.0,2,8,25.0
2606404.5,1,8,12.5
2606404.5,1,8,12.5
2620800.0,1,8,12.5
2656800.0,1,8,12.5
2674804.5,0,8,0.0
2674804.5,8,8,100.0
2847609.0,0,8,0.0
2847609.0,7,8,87.5
2854800.0,7,8,87.5
2862000.0,7,8,87.5
2876400.0,7,8,87.5
2883600.0,7,8,87.5
2941200.0,7,8,87.5
3020413.5,0,8,0.0
3020413.5,5,8,62.5
3038400.0,5,8,62.5
3042000.0,5,8,62.5
3049200.0,5,8,62.5
3114000.0,5,8,62.5
3128400.0,5,8,62.5
3135600.0,5,8,62.5
3193218.0,0,8,0.0
3193218.0,4,8,50.0
3366022.5,0,8,0.0
3366022.5,6,8,75.0
3369600.0,6,8,75.0
3387600.0,6,8,75.0
3412800.0,6,8,75.0
3466800.0,6,8,75.0
3481200.0,6,8,75.0
3484800.0,6,8,75.0
3499200.0,6,8,75.0
3538827.0,0,8,0.0
3538827.0,4,8,50.0
3549631.5,0,8,0.0
3549631.5,6,8,75.0
3556836.0,0,8,0.0
3556836.0,3,8,37.5
3560440.5,0,8,0.0
3560440.5,8,8,100.0
3596445.0,0,8,0.0
3596445.0,7,8,87.5
3654000.0,7,8,87.5
3664800.0,7,8,87.5
3682851.5,3,8,37.5
3682851.5,7,8,87.5
3736800.0,7,8,87.5
3747600.0,7,8,87.5
3769251.5,4,8,50.0
3769251.5,7,8,87.5
3855656.0,3,8,37.5
