job_id,arrival_s,start_s,queue_sec,service_sec,gpu_count
run-pipeline-gpu-8z2pg-3801962406#4,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5k6vd-106796021#11,0.0,4.0,4.0,172800.0,3
run-pipeline-gpu-m46vh-3517775556#18,0.0,4.0,4.0,172800.0,2
run-pipeline-gpu-kb27t-3379495359#19,0.0,4.0,4.0,172800.0,1
run-pipeline-gpu-5rxcj-280418497#28,0.0,172808.5,172808.5,172800.0,8
run-pipeline-gpu-d4g2l-1314559116#70,0.0,442802.0,442802.0,75600.0,4
run-pipeline-gpu-fsvst-120632241#31,0.0,345613.0,345613.0,172800.0,4
run-pipeline-gpu-rvpms-439587089#93,0.0,518417.5,518417.5,28800.0,4
run-pipeline-gpu-hndcn-327083716#83,0.0,518406.5,518406.5,172800.0,4
run-pipeline-gpu-9cb4p-1757353259#152,0.0,547222.0,547222.0,172800.0,4
run-pipeline-gpu-7bm6z-4041400377#154,0.0,691211.0,691211.0,172800.0,3
run-pipeline-gpu-5brzp-577411358#64,0.0,864015.5,864015.5,172800.0,7
run-pipeline-gpu-clhnk-1829672999#172,0.0,1036820.0,1036820.0,172800.0,5
run-pipeline-gpu-9tnd8-1865815998#193,0.0,1040402.0,1040402.0,172800.0,2
run-pipeline-gpu-qzc8m-3277043400#180,0.0,1213206.5,1213206.5,172800.0,7
run-pipeline-gpu-btkf5-859327339#202,0.0,1386013.0,1386013.0,172800.0,3
run-pipeline-gpu-swq2n-3049610790#223,0.0,1386013.0,1386013.0,172800.0,2
run-pipeline-gpu-fds9m-4227584090#238,0.0,1558817.5,1558817.5,172800.0,6
run-pipeline-gpu-jhwg5-3735731488#247,0.0,1731622.0,1731622.0,172800.0,8
run-pipeline-gpu-24kd7-1782892583#253,0.0,1904426.5,1904426.5,7200.0,6
run-pipeline-gpu-g45q7-144219255#265,0.0,1911631.0,1911631.0,172800.0,7
run-pipeline-gpu-4tpsr-3420120526#289,0.0,2084435.5,2084435.5,172800.0,3
run-pipeline-gpu-5wkkh-1873314351#294,0.0,2257240.0,2257240.0,172800.0,6
run-pipeline-gpu-rr99f-3748743721#344,0.0,2264402.0,2264402.0,172800.0,2
run-pipeline-gpu-9w7hx-1761467166#366,7200.0,2437206.5,2430006.5,10800.0,2
run-pipeline-gpu-mdx4s-1168587679#138,18000.0,2448011.0,2430011.0,86400.0,1
run-pipeline-gpu-plv42-3561070837#303,0.0,2430044.5,2430044.5,172800.0,5
run-pipeline-gpu-qg98v-1803363110#362,0.0,2433602.0,2433602.0,172800.0,1
run-pipeline-gpu-2zm9z-2928502513#24,1040400.0,2505602.0,1465202.0,169200.0,1
run-pipeline-gpu-fkkf5-2466719574#322,0.0,2674806.5,2674806.5,172800.0,8
run-pipeline-gpu-wt6nc-1871726909#351,0.0,2847611.0,2847611.0,172800.0,7
run-pipeline-gpu-qgdht-488548089#13,3600.0,3020415.5,3016815.5,172800.0,5
run-pipeline-gpu-g4qgc-2834592541#160,3600.0,3193220.0,3189620.0,172800.0,4
run-pipeline-gpu-wh6w8-2576682873#304,3600.0,3366024.5,3362424.5,172800.0,6
run-pipeline-gpu-4vk2f-731439944#171,7200.0,3538829.0,3531629.0,10800.0,4
run-pipeline-gpu-4vppl-989390375#262,10800.0,3549633.5,3538833.5,7200.0,6
run-pipeline-gpu-lhkgw-780639444#229,18000.0,3556838.0,3538838.0,3600.0,3
run-pipeline-gpu-cwpcn-377226272#34,21600.0,3560442.5,3538842.5,36000.0,8
run-pipeline-gpu-jlbhf-3234668083#140,288000.0,3596449.0,3308449.0,86400.0,4
run-pipeline-gpu-5zvpv-747118082#190,21600.0,3596449.0,3574849.0,172800.0,3
run-pipeline-gpu-82jgn-3511824822#92,442800.0,3682853.5,3240053.5,172800.0,4
run-pipeline-gpu-flk62-1199582912#86,525600.0,3855658.0,3330058.0,10800.0,2
run-pipeline-gpu-w8jb5-714416263#240,522000.0,3769253.5,3247253.5,172800.0,3
run-pipeline-gpu-6gscd-4052565872#10,460800.0,3942058.0,3481258.0,162000.0,7
run-pipeline-gpu-7bv8q-4225584551#246,547200.0,4104064.5,3556864.5,61200.0,2
run-pipeline-gpu-cgbdn-2299830279#242,529200.0,4104064.5,3574864.5,172800.0,6
run-pipeline-gpu-zwfd5-1679737841#76,950400.0,4165269.0,3214869.0,172800.0,2
run-pipeline-gpu-72s79-3342733295#206,612000.0,4338073.5,3726073.5,79200.0,7
run-pipeline-gpu-5j9bc-3339071754#297,1324800.0,4345202.0,3020402.0,172800.0,1
run-pipeline-gpu-9mw92-3717946137#178,694800.0,4417280.0,3722480.0,172800.0,4
run-pipeline-gpu-hbbgm-1746798765#205,694800.0,4417280.0,3722480.0,172800.0,3
run-pipeline-gpu-4pbf4-2042923357#55,1648800.0,4518006.5,2869206.5,86400.0,1
run-pipeline-gpu-9tzlh-1719621050#84,792000.0,4590084.5,3798084.5,158400.0,5
run-pipeline-gpu-lpcvm-2207421033#197,1216800.0,4748489.0,3531689.0,172800.0,4
run-pipeline-gpu-8sq5w-318761477#271,1216800.0,4921293.5,3704493.5,172800.0,5
run-pipeline-gpu-29bzk-2417305075#131,1220400.0,5094098.0,3873698.0,147600.0,5
run-pipeline-gpu-q8vbq-2566611081#68,1234800.0,5241702.5,4006902.5,172800.0,8
run-pipeline-gpu-lj484-3628558047#79,1238400.0,5414507.0,4176107.0,172800.0,7
