gpu,kind,policy,q_p50,q_max,alloc_avg,fair_mean,fair_p1,lt50_pct
256,single,fifo,4932443,10933512,99.0,100.0,100.0,0.0
256,single,sjf,1766,11922028,99.4,93.5,0.0,5.97
256,single,las,1354310,10953150,99.5,92.3,0.0,7.51
256,single,kueue,1354310,10953150,99.5,92.3,0.0,7.51
256,single,easy,4424344,10805590,99.2,87.6,0.0,4.58
256,single,themis,4910,11701354,99.4,94.3,0.0,4.72
256,single,sfqa,2015459,11053462,99.1,96.2,42.3,4.3
256,single,sfqa-auto,2247620,11002220,99.0,97.0,57.2,0.03
256,single,lucid,385,10037399,99.6,97.3,0.0,2.25
256,hetero,fifo,9744937,22569846,99.0,100.0,100.0,0.0
256,hetero,sjf,2192,21747988,99.4,92.0,0.0,7.36
256,hetero,las,3582038,19718241,99.5,91.9,0.0,7.91
256,hetero,kueue,3582038,19718241,99.5,91.9,0.0,7.91
256,hetero,easy,4603949,21909358,99.3,74.0,0.0,14.04
256,hetero,themis,8716,22046031,99.4,91.7,0.0,7.48
256,hetero,sfqa,2711292,21561338,99.1,96.0,41.0,4.9
256,hetero,sfqa-auto,3818476,21104100,99.1,96.8,54.1,0.16
256,hetero,lucid,970,20824397,99.7,96.0,0.0,3.42
512,single,fifo,1216822,2179961,98.9,100.0,100.0,0.0
512,single,sjf,643,4691310,98.9,98.6,64.1,0.95
512,single,las,111429,2604273,99.0,96.6,35.4,2.94
512,single,kueue,111429,2604273,99.0,96.6,35.4,2.94
512,single,easy,991478,2159460,98.8,91.5,0.0,3.27
512,single,themis,1986,3709546,98.9,98.0,21.1,1.54
512,single,sfqa,491452,2596544,98.8,97.2,39.4,2.12
512,single,sfqa-auto,605114,2518832,98.8,97.6,53.6,0.38
512,single,lucid,78,3241524,98.7,99.0,74.9,0.78
512,single,sia,1071881,2570199,65.4,94.5,62.6,0.64
512,hetero,fifo,3520912,7725609,99.0,100.0,100.0,0.0
512,hetero,sjf,1066,9245522,99.1,96.4,0.0,3.12
512,hetero,las,330010,7119416,99.2,93.4,0.0,7.21
512,hetero,kueue,330010,7119416,99.2,93.4,0.0,7.21
512,hetero,easy,1592545,7589191,99.0,80.2,0.0,9.92
512,hetero,themis,3112,8469808,99.1,95.9,0.0,3.75
512,hetero,sfqa,1429291,7499758,99.0,96.2,37.6,4.02
512,hetero,sfqa-auto,1765014,7240902,99.0,96.8,50.3,0.95
512,hetero,lucid,150,8085485,99.0,98.2,0.7,1.45
512,hetero,sia,200,473761,72.8,99.8,96.4,0.03
1024,single,fifo,2,55880,75.9,100.0,100.0,0.0
1024,single,sjf,2,127280,75.5,99.9,98.6,0.0
1024,single,las,2,74870,75.4,100.0,99.9,0.0
1024,single,kueue,2,74870,75.4,100.0,99.9,0.0
1024,single,easy,2,55648,75.6,100.0,99.7,0.0
1024,single,themis,2,100179,75.5,100.0,99.1,0.0
1024,single,sfqa,2,64624,75.6,100.0,100.0,0.0
1024,single,sfqa-auto,2,63809,75.6,100.0,100.0,0.0
1024,single,lucid,0,45826,63.2,100.0,99.5,0.0
1024,single,sia,145,8492,34.2,100.0,100.0,0.0
1024,hetero,fifo,602913,981795,96.7,100.0,100.0,0.0
1024,hetero,sjf,319,2252992,95.9,99.1,74.9,0.59
1024,hetero,las,45865,1144160,95.3,98.2,58.1,0.48
1024,hetero,kueue,45865,1144160,95.3,98.2,58.1,0.48
1024,hetero,easy,152959,948385,95.8,94.5,47.9,1.09
1024,hetero,themis,1249,1635882,96.0,99.0,66.3,0.57
1024,hetero,sfqa,204862,1077368,95.5,98.7,71.9,0.16
1024,hetero,sfqa-auto,251208,1027889,95.9,98.8,76.0,0.0
1024,hetero,lucid,2,666783,90.0,99.8,95.1,0.0
1024,hetero,sia,157,365,45.6,100.0,100.0,0.0
